Gene = kin17
index = 1739
Annotated 5SS: [1062]
Annotated 3SS: [1133]
SMsplice 5SS: [1062]
SMsplice 3SS: [1133]
top_k =  1000
Partition function (log Z): -5.01538869912496

Sorted 5' Splice Sites (High to Low Probability):
Position 1062: 0.9925995409244331
Position 105: 0.010053237670508378
Position 21: 0.008130558002187427
Position 925: 0.0037802967969496476
Position 500: 0.002512742552709678
Position 471: 0.0024492030552087348
Position 167: 0.0009297102285384891
Position 1395: 0.0007661000067360096
Position 1053: 0.000584804349180977
Position 1362: 0.0002816930289129351
Position 109: 0.00025805476765994285
Position 996: 0.00023007009937559445
Position 179: 0.00015419485457631392
Position 444: 0.00013744983899376654
Position 845: 0.00012710390176475338
Position 1365: 0.00012530928593236585
Position 668: 0.00010127580772766513
Position 1287: 8.774536674796564e-05
Position 1245: 7.626191462375371e-05
Position 731: 7.269104044059216e-05
Position 215: 7.147962590873298e-05
Position 380: 6.395937709429305e-05
Position 930: 6.12391129864401e-05
Position 338: 5.914908342179484e-05
Position 933: 5.002814688182112e-05
Position 1349: 4.7681438870869265e-05
Position 148: 4.492113700902057e-05
Position 1267: 4.487338301999347e-05
Position 434: 2.536125114267201e-05
Position 449: 2.0079681954410292e-05
Position 965: 1.5689568255528755e-05
Position 1296: 1.460537052659606e-05
Position 1025: 1.391286712933517e-05
Position 60: 1.1074424248472152e-05
Position 233: 1.0815346458167792e-05
Position 248: 1.0673700523559497e-05
Position 747: 9.167915740165323e-06
Position 8: 8.64215320313525e-06
Position 801: 8.20607419366614e-06
Position 1107: 5.354230091372332e-06
Position 984: 5.245236572491808e-06
Position 119: 3.2398849148573195e-06
Position 191: 2.566870922838151e-06
Position 892: 1.9143911081677483e-06
Position 1399: 1.8500241364336594e-06
Position 849: 1.8422428433564817e-06
Position 1251: 9.585555611239134e-07
Position 39: 8.944472808253675e-07
Position 1149: 6.39510897791083e-07
Position 45: 5.916489482858917e-07
Position 94: 5.276011723917151e-07
Position 1182: 5.254099272746826e-07
Position 1179: 4.71158653672285e-07
Position 323: 4.3434614924713274e-07
Position 302: 3.336414630601952e-07
Position 803: 4.9539837071930974e-08
Position 523: 2.683629212379928e-08
Position 822: 1.181706539750844e-11
Position 504: 1.1740814597149886e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1133: 0.9984655861203995
Position 81: 0.00717671958481781
Position 155: 0.0034969242140877915
Position 523: 0.0026692218177371283
Position 981: 0.0020060202087540087
Position 158: 0.0018483259033624413
Position 835: 0.001111963598662583
Position 289: 0.000876638033359398
Position 768: 0.0008359105910409253
Position 1443: 0.0007078562203458137
Position 1106: 0.0006782136544131303
Position 1006: 0.0006306886161792886
Position 789: 0.0006277333994157654
Position 1427: 0.000594849730116835
Position 1145: 0.0004330696855563223
Position 528: 0.000299143737015819
Position 1169: 0.0002491262699410676
Position 295: 0.00010989286888801008
Position 731: 9.219364477450274e-05
Position 551: 9.191533729561489e-05
Position 617: 8.591989800608205e-05
Position 176: 8.516767236586679e-05
Position 614: 8.488430119235572e-05
Position 1492: 8.327195910169381e-05
Position 800: 7.131795954655732e-05
Position 809: 7.103047143707016e-05
Position 449: 6.66088679352911e-05
Position 563: 6.338195674804297e-05
Position 1362: 4.8704443174574126e-05
Position 134: 4.48715386047913e-05
Position 545: 3.8213825726333095e-05
Position 753: 3.3824678776335635e-05
Position 569: 3.368019785613409e-05
Position 1013: 2.634846029825428e-05
Position 965: 2.44133434618959e-05
Position 1399: 2.3761122105182683e-05
Position 398: 2.3183381257590892e-05
Position 795: 1.753102998394753e-05
Position 1025: 1.701426168826643e-05
Position 773: 1.291626347992204e-05
Position 108: 1.0872078990593353e-05
Position 707: 1.0646583975758241e-05
Position 215: 9.279596569980353e-06
Position 530: 8.97375391080872e-06
Position 146: 8.3983101797692e-06
Position 242: 8.221216494574263e-06
Position 380: 8.019175051393867e-06
Position 566: 7.791286587262738e-06
Position 1349: 4.866441610476329e-06
Position 395: 4.268089628484521e-06
Position 188: 3.9400126926405935e-06
Position 1308: 3.4922375019947764e-06
Position 737: 3.486883916942338e-06
Position 905: 2.8973849895391573e-06
Position 638: 2.63675030202899e-06
Position 872: 2.6273568468709845e-06
Position 831: 2.2782882784358805e-06
Position 358: 2.1725975852573017e-06
Position 1423: 2.024522607014987e-06
Position 191: 1.4970583762477233e-06
Position 1334: 1.1302388062558704e-06
Position 1290: 9.883739617440816e-07
Position 477: 9.178431772474592e-07
Position 494: 8.65872557356334e-07
Position 350: 8.364909178060816e-07
Position 119: 8.116911275011196e-07
Position 377: 7.430415733865044e-07
Position 368: 7.25878673506488e-07
Position 1034: 6.578115192988682e-07
Position 248: 4.567986636253017e-07
Position 1278: 4.4922345895771526e-07
Position 300: 4.2718415530055723e-07
Position 1237: 4.082655859136068e-07
Position 725: 4.0506837010732435e-07
Position 632: 3.79833439375228e-07
Position 1046: 1.9586226875777413e-07
Position 1249: 1.2990944907681185e-07
Position 1282: 1.1047121068389118e-07
Position 185: 2.1157457123798083e-10
Position 104: 1.516216930878492e-10
Position 302: 1.8318615336553764e-11
Position 323: 1.2687371080645503e-11
Position 471: 2.8166215963898004e-12
Position 491: 1.1209806967941314e-12
Position 50: 3.7186830064965245e-14
Position 233: 4.668912007932742e-15
Position 229: 2.8854848308367045e-15
