Gene = psd
index = 1850
Annotated 5SS: [207]
Annotated 3SS: [528]
SMsplice 5SS: [207]
SMsplice 3SS: [528]
top_k =  1000
Partition function (log Z): -9.11192252980761

Sorted 5' Splice Sites (High to Low Probability):
Position 459: 0.2751768285597897
Position 207: 0.26493130649512564
Position 272: 0.1692446551745506
Position 244: 0.167377289001637
Position 81: 0.14940144140707912
Position 1170: 0.132794888793677
Position 871: 0.10771174356297074
Position 419: 0.05864680555725799
Position 612: 0.04516529589896753
Position 773: 0.012079813415808648
Position 868: 0.01152790782958626
Position 170: 0.009160594939488446
Position 277: 0.008494693244473099
Position 642: 0.005496857373520507
Position 821: 0.005375904484617204
Position 140: 0.0028006616277712684
Position 1174: 0.0026418621036222844
Position 1453: 0.0020734454255944734
Position 49: 0.001879819456727058
Position 165: 0.0016601728811656913
Position 813: 0.0014666829966072752
Position 628: 0.0012324213242996685
Position 404: 0.00044976915169056466
Position 818: 0.0004362671909820354
Position 391: 0.0004288923553074723
Position 393: 0.00032378279934935385
Position 1481: 0.0002688086393874628
Position 62: 0.00022250765597075101
Position 1570: 0.0001789499921043967
Position 606: 0.0001620921908554888
Position 1565: 0.00011330443275334997
Position 1485: 5.146083602182281e-05
Position 1149: 4.3389573465575076e-05
Position 582: 3.8917142918729735e-05
Position 566: 3.6802286371513326e-05
Position 615: 3.153318603393926e-05
Position 150: 1.8221906271767342e-05
Position 335: 1.785720668269216e-05
Position 1549: 1.7390008821902523e-05
Position 51: 1.6152231539945336e-05
Position 145: 1.0384287056122725e-05
Position 757: 6.81151459275448e-06
Position 143: 2.582552855721982e-06
Position 411: 2.4130369671967437e-06
Position 722: 1.8991478818345347e-06
Position 529: 1.6245612221399722e-06
Position 1065: 1.4808330360964693e-06
Position 934: 1.3515103152833236e-06
Position 385: 4.738104322880242e-07
Position 725: 4.6038032985934534e-07
Position 968: 3.9640963205660115e-07
Position 14: 1.8854668074962702e-07
Position 563: 1.420589676579546e-07
Position 560: 5.7341713953737145e-08
Position 1143: 3.090993702967204e-08
Position 495: 2.8542141410820195e-08
Position 568: 2.107923594184726e-09
Position 531: 1.8098937505833543e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 528: 0.7007613214548024
Position 340: 0.2818555864129826
Position 944: 0.15659780094525538
Position 1601: 0.05372405228335943
Position 1223: 0.050211354853195854
Position 1061: 0.04025021319637402
Position 684: 0.030956502378489577
Position 297: 0.027060460324757053
Position 359: 0.023538022030298235
Position 690: 0.013332043710013881
Position 1395: 0.00951304665816703
Position 1241: 0.009011035297610838
Position 1733: 0.007238655432769457
Position 143: 0.005703255744307574
Position 458: 0.004730223379437436
Position 1301: 0.004592473496103117
Position 1651: 0.0032787777151178023
Position 1412: 0.0031598215269651848
Position 1564: 0.0029761366009295248
Position 1271: 0.0013944691577027347
Position 1501: 0.0013601845488504518
Position 1232: 0.0013197291851341413
Position 351: 0.001196213062367496
Position 868: 0.0008926058776351919
Position 1433: 0.0006803854636779839
Position 1021: 0.00055105234329398
Position 582: 0.00039215766889517316
Position 130: 0.0003205223013663677
Position 1286: 0.0002852750718853231
Position 1549: 0.00022072660584573366
Position 994: 0.0001989573929662756
Position 579: 0.00019512099375365105
Position 140: 0.0001804827215677672
Position 1065: 0.00016436743961551438
Position 1513: 0.00015834459907469473
Position 1256: 0.0001394481987275073
Position 248: 0.00013827951157201885
Position 1855: 0.00010355882444672686
Position 1471: 0.00010138111741639044
Position 109: 8.461225098557149e-05
Position 1346: 7.409789398417166e-05
Position 1813: 6.615816701669347e-05
Position 1358: 6.360851237366446e-05
Position 1316: 6.120828406745959e-05
Position 277: 5.934321727749322e-05
Position 1639: 5.636467615916398e-05
Position 1328: 5.3215881950421946e-05
Position 1126: 5.072746989467881e-05
Position 1582: 2.9160115538809503e-05
Position 1450: 2.58227414830079e-05
Position 844: 1.977109544215238e-05
Position 272: 1.8479676498229323e-05
Position 364: 1.7322426788231378e-05
Position 1801: 9.459258338899652e-06
Position 1036: 7.450739620205135e-06
Position 740: 5.92991764229071e-06
Position 812: 5.309124792958839e-06
Position 1018: 5.303117343208694e-06
Position 118: 4.948417634208886e-06
Position 391: 4.489966861341776e-06
Position 372: 3.964505732190753e-06
Position 1078: 3.5931541481774524e-06
Position 385: 3.5022275113252506e-06
Position 1000: 3.3949264165723474e-06
Position 165: 3.1145760228047066e-06
Position 114: 1.3989096995759955e-06
Position 377: 8.68521602966486e-07
Position 615: 4.4836716991874867e-07
Position 150: 2.444180451319503e-07
Position 1099: 1.5803926360640982e-07
Position 77: 8.653562927912189e-10
Position 85: 4.0114323318842246e-10
Position 641: 3.8071858352109056e-10
Position 265: 3.022869730879572e-10
