Gene = tai
index = 1906
Annotated 5SS: [  661 25036 67880 68486 72985 74492 74772 76401 76768 77123 77809 78935]
Annotated 3SS: [24836 67209 68323 72179 73043 74597 74827 76456 76833 77484 78607 78998]
SMsplice 5SS: [  661  2514  2869 25036 60962 67880 68486 72985 74492 74772 76152 76401
 76768 77123 77809 78935]
SMsplice 3SS: [ 1755  2652 24836 60750 67209 68323 72179 73043 74597 74827 76214 76470
 76833 77484 78607 78998]
top_k =  1000
Partition function (log Z): -66.40533703383947

Sorted 5' Splice Sites (High to Low Probability):
Position 2869: 0.99955990485453
Position 25036: 0.9987812682437718
Position 2514: 0.9101050488889223
Position 661: 0.41059059575096535
Position 9: 0.1466116589918741
Position 1186: 0.1354147212498695
Position 1376: 0.10093429516915786
Position 1164: 0.08015401273691267
Position 2599: 0.034362818995326005
Position 605: 0.034273387722245495
Position 710: 0.026514091692327723
Position 714: 0.023536782591335226
Position 2386: 0.013044165906944105
Position 419: 0.010683540490530316
Position 2474: 0.00603961207282856
Position 1132: 0.005928494807711635
Position 609: 0.005831574470610983
Position 1432: 0.005663691178780603
Position 242: 0.0038659463141924415
Position 252: 0.003757302162961671
Position 736: 0.0034069294814116175
Position 1677: 0.003301547224235241
Position 1260: 0.0032486989530022153
Position 1608: 0.0030954648975975046
Position 5: 0.002914079258112239
Position 2242: 0.0029129359417699855
Position 840: 0.0028553108076158407
Position 35762: 0.0026438607267950487
Position 718: 0.0020931498942700576
Position 2108: 0.0017421811021899715
Position 1681: 0.0014110884014732943
Position 1938: 0.0013665970166724308
Position 216: 0.0012560712857748377
Position 30247: 0.0011335671892415149
Position 2469: 0.0010627885092022932
Position 256: 0.0008923791620365147
Position 1923: 0.000734214782411146
Position 1654: 0.0007214042751797204
Position 35712: 0.0006342396314966281
Position 1913: 0.0006254677768379646
Position 278: 0.0005996153798820252
Position 310: 0.0005853532123565378
Position 280: 0.0005825685369946273
Position 276: 0.000560228158590062
Position 613: 0.0005569743981998709
Position 274: 0.0005424950454373357
Position 694: 0.0005337154853722163
Position 2218: 0.00044742568104795614
Position 247: 0.0004190360084462744
Position 1663: 0.00041191661529621444
Position 2454: 0.0003781115983783446
Position 295: 0.0003234978480717976
Position 1144: 0.000314049761680094
Position 183: 0.00031359126810682255
Position 262: 0.0002701099256998203
Position 569: 0.0002555084370126635
Position 31: 0.0002515101050569799
Position 270: 0.0002458833820727704
Position 272: 0.00023676005881602264
Position 776: 0.00023383340201425944
Position 299: 0.00022300677502486136
Position 650: 0.00020378395954046938
Position 1417: 0.0001872133441583401
Position 161: 0.00018636824007004117
Position 301: 0.0001802179980141073
Position 2014: 0.00016434670585600264
Position 1289: 0.00013429977312735824
Position 1253: 0.00012836261274712577
Position 166: 0.0001144835435521132
Position 881: 0.00011408793144003524
Position 103: 0.00010772765305772398
Position 404: 0.00010502423541900344
Position 1822: 9.52491519367333e-05
Position 2304: 9.233106146787493e-05
Position 1180: 8.197944381418562e-05
