Gene = Mis12
index = 1280
Annotated 5SS: [184 540]
Annotated 3SS: [246 651]
SMsplice 5SS: [184 540]
SMsplice 3SS: [246 651]
top_k =  1000
Partition function (log Z): 3.2419657248357665

Sorted 5' Splice Sites (High to Low Probability):
Position 184: 0.9910324255211184
Position 540: 0.945109211175221
Position 20: 0.041439171706695775
Position 509: 0.04070691733028684
Position 570: 0.011784698506707193
Position 74: 0.007711539258157108
Position 547: 0.0010591036512095332
Position 802: 0.000542262687974557
Position 6: 0.0002824433499249136
Position 55: 0.00022248809410223906
Position 458: 0.00020705673184151968
Position 853: 9.957838654262807e-05
Position 66: 8.61538774664871e-05
Position 188: 7.25421721980858e-05
Position 49: 3.953604392971429e-05
Position 473: 2.9500388450651987e-05
Position 280: 2.6967971907769866e-05
Position 170: 1.4001914868038559e-05
Position 907: 1.3201152953450328e-05
Position 417: 1.1596186117524284e-05
Position 286: 1.0838155399201498e-05
Position 893: 1.071938743722077e-05
Position 358: 9.56447954554721e-06
Position 361: 8.063778435833527e-06
Position 693: 7.01657401210593e-06
Position 745: 6.265366903777081e-06
Position 98: 6.095965666320784e-06
Position 173: 6.090953340486315e-06
Position 217: 4.493036945582276e-06
Position 351: 3.3318670623599797e-06
Position 258: 2.8708723836920486e-06
Position 438: 2.768615187472553e-06
Position 419: 2.2151694904224467e-06
Position 462: 2.1538745455136752e-06
Position 426: 1.4730187130072247e-06
Position 101: 2.2058857498003484e-07
Position 146: 1.9914534907525104e-07
Position 108: 2.6883826766718053e-08
Position 620: 7.339936682167636e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 651: 0.9982579026537399
Position 246: 0.9608489921521903
Position 66: 0.024565220991738516
Position 127: 0.018348722756609905
Position 263: 0.015488698158205213
Position 290: 0.012008358065891081
Position 132: 0.003331510657078606
Position 162: 0.001953325285770861
Position 368: 0.0015674346884795088
Position 321: 0.001510422883341474
Position 678: 0.0011085028894545893
Position 893: 0.0004346706390541699
Position 143: 0.0002912710429268006
Position 970: 0.000282235828871289
Position 604: 0.00014438790221517605
Position 278: 9.547055431921686e-05
Position 275: 8.59854563031764e-05
Position 146: 7.550487056046759e-05
Position 302: 5.762235666737128e-05
Position 308: 2.339550725601603e-05
Position 344: 1.150339813565511e-05
Position 170: 1.0849125672685587e-05
Position 400: 1.0787172794704374e-05
Position 720: 8.55977612215778e-06
Position 853: 7.546578433592861e-06
Position 473: 6.0983361600815e-06
Position 347: 5.646401609639508e-06
Position 383: 5.261858735360066e-06
Position 750: 4.449426820272811e-06
Position 336: 3.2920159340535545e-06
Position 925: 2.5395256319697552e-06
Position 693: 2.3600752628714155e-06
Position 813: 2.34704494639674e-06
Position 180: 2.1831973423150704e-06
Position 723: 1.944877473864672e-06
Position 412: 1.62801951506544e-06
Position 738: 1.3148743441345482e-06
Position 690: 1.114907829806119e-06
Position 393: 9.510997764515608e-07
Position 907: 9.266559812974806e-07
Position 215: 9.090012808360775e-07
Position 452: 7.491174234799916e-07
Position 684: 6.257269962714812e-07
Position 486: 3.8744038668240395e-07
Position 726: 3.1635741761065094e-07
Position 708: 1.3788978102195663e-07
Position 780: 1.3348348964004986e-07
Position 687: 1.2271894414982325e-07
Position 341: 1.1480081281313216e-07
Position 417: 1.025543807964593e-07
Position 494: 5.273075630276242e-08
Position 802: 4.81141075361886e-08
Position 481: 4.137446843378728e-08
Position 755: 3.8216157549713805e-08
Position 491: 2.758165283815084e-08
Position 488: 1.9175652214468872e-08
Position 497: 1.2346513184567037e-08
Position 550: 8.278164763473725e-09
Position 535: 6.952990597183393e-09
Position 188: 3.5900159860570506e-09
Position 819: 2.3743547825324668e-09
Position 467: 1.5292446726216624e-09
Position 500: 9.812057968686169e-10
Position 515: 9.745525785286308e-10
Position 822: 5.073521233614269e-10
Position 524: 4.260915795659259e-10
Position 786: 2.997654130749362e-10
Position 825: 2.1538414811240516e-10
Position 508: 9.937332996142471e-11
Position 182: 6.578683077962221e-12
