Gene = Slmap
index = 1504
Annotated 5SS: [ 181 2062 5611]
Annotated 3SS: [ 748 5049 5669]
SMsplice 5SS: [ 181 5611]
SMsplice 3SS: [5049 5669]
top_k =  1000
Partition function (log Z): -5.681290997516118

Sorted 5' Splice Sites (High to Low Probability):
Position 5611: 0.824434755838177
Position 181: 0.693714521940214
Position 4821: 0.3951730536817227
Position 2062: 0.356695444791295
Position 210: 0.23881691454025095
Position 4943: 0.126764165279679
Position 5001: 0.11014853063950242
Position 5401: 0.06876932811677099
Position 5983: 0.06752707130089455
Position 1499: 0.05267144667749196
Position 4991: 0.04965385983829996
Position 1477: 0.04355552514105832
Position 5867: 0.028861114261936154
Position 1382: 0.02804063441197043
Position 4791: 0.0190333868835711
Position 1508: 0.014401676909213441
Position 4734: 0.009425541443591125
Position 1696: 0.00925003181923312
Position 5187: 0.009106447258998025
Position 5344: 0.009091380873460293
Position 1580: 0.008736839924258206
Position 5871: 0.008721391778463584
Position 749: 0.007608779525202026
Position 1123: 0.005327433850939095
Position 5823: 0.005148813398590598
Position 56: 0.004091714385616504
Position 5250: 0.004009911639745376
Position 3686: 0.003669244651708816
Position 85: 0.0035694333055130974
Position 6262: 0.0032043052958912357
Position 6227: 0.003020582892389982
Position 199: 0.0027676690136785326
Position 526: 0.002731212212814039
Position 522: 0.002705265130849783
Position 518: 0.0020656466615247403
Position 6109: 0.0019476488236843694
Position 514: 0.0018292170350426456
Position 5797: 0.0016849745157621226
Position 6424: 0.0015344600844016802
Position 142: 0.001523494962871984
Position 1720: 0.0013637286374488036
Position 697: 0.0012118840473924633
Position 510: 0.0011830109701043811
Position 6220: 0.0011823389567163511
Position 5626: 0.001038285832338063
Position 135: 0.0008367139847527464
Position 5209: 0.0007208157147097803
Position 476: 0.0006304277768382741
Position 5430: 0.00047395595008265597
Position 5895: 0.0004627448765053703
Position 315: 0.0004224675200305536
Position 1288: 0.0004034149801093082
Position 1210: 0.0003732062274407452
Position 6073: 0.0003691978889785531
Position 1222: 0.00032527444151237046
Position 3855: 0.00032011994440584964
Position 1058: 0.00030237041542363917
Position 1616: 0.0002986138812668006
Position 1643: 0.000262005755142581
Position 1532: 0.00022438071878619874
Position 5587: 0.00021917935079698343
Position 766: 0.0001793674209160946
Position 4271: 0.0001713366681146772
Position 530: 0.00016829413138819135
Position 5292: 0.00016233050133502655
Position 5565: 0.00015824162523413223
Position 93: 0.00015308316368877286
Position 3759: 0.00013954324020598575
Position 3523: 0.0001391501298569353
Position 546: 0.00013088715499407156
Position 3457: 0.0001157852999856121
Position 1537: 0.00010948629729497197
Position 952: 0.00010525952427402817
Position 695: 9.528178867951702e-05
Position 5113: 8.67576792896866e-05
Position 2695: 8.46772695546994e-05
Position 2855: 7.88322509227949e-05
Position 2674: 7.293757393799684e-05
Position 111: 7.271910834073704e-05
Position 2945: 7.109886792548158e-05
Position 4230: 6.700877176013024e-05
Position 1388: 5.6164377500677656e-05
Position 761: 5.456554235860526e-05
Position 2217: 5.2711210434351934e-05
Position 1258: 4.9311392438905966e-05
Position 1238: 4.880923073063518e-05
Position 2159: 4.400611066737462e-05
Position 2954: 4.319423851742342e-05
Position 4016: 3.851752336792874e-05
Position 1127: 3.822199762879721e-05
Position 367: 3.153861932634976e-05
Position 488: 2.9527603449765208e-05
Position 1566: 2.639309650278595e-05
Position 1342: 2.232866750866122e-05
Position 1431: 2.1653265807235825e-05
Position 434: 2.1299348080144193e-05
Position 258: 2.0844769260526226e-05
Position 1783: 1.9315136923181303e-05
Position 355: 1.723811389754958e-05
Position 2517: 1.6909942437798547e-05
Position 3023: 1.6836287685898893e-05
Position 22: 1.5649835690319986e-05
Position 192: 1.3886919388639542e-05
Position 275: 1.1182474991885399e-05
Position 652: 1.0366747218383375e-05
Position 1071: 9.956416338619468e-06
Position 104: 8.95322248522523e-06
Position 668: 8.335727441333274e-06
Position 658: 7.777769922207703e-06
Position 284: 5.946666933014937e-06
Position 610: 5.2375681414631e-06
Position 218: 5.181356404816377e-06
Position 677: 4.378199789213357e-06
Position 1216: 3.6686942272928037e-06
Position 5271: 2.4135292580377496e-06
Position 1109: 1.5494983755803614e-06
Position 1638: 1.4927987244081032e-06
Position 2932: 1.4116351790309048e-06
Position 1365: 1.3270808516778505e-06
Position 1271: 8.924510733339809e-07
Position 550: 7.800360954410041e-07
Position 5546: 7.468156744400676e-07
Position 361: 6.03980863541097e-07
Position 9: 4.989914510789492e-07
Position 441: 4.0557112986381793e-07
Position 564: 3.654052096424682e-07
Position 332: 2.7236191126313897e-07
Position 2247: 2.1650915437787156e-07
Position 11: 1.72360012033483e-07
Position 6080: 1.197846144361059e-07
Position 1150: 1.0197967435265462e-07
Position 2255: 7.133189594550432e-08
Position 792: 6.756693428199803e-08
Position 87: 5.0090154114522166e-08
Position 1242: 1.8771257954232457e-08
Position 717: 1.6540930511653723e-08
Position 561: 1.1894575514923894e-08
Position 737: 8.388673368182491e-09
Position 29: 5.974136569045662e-09
Position 4: 5.249245938686151e-09
Position 753: 4.143577551382796e-09
Position 778: 3.7544316560756204e-09
Position 548: 2.1312696797358862e-09
Position 827: 3.084197388325796e-10
Position 2642: 2.4279231604980585e-10
Position 364: 2.287650105834088e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5049: 0.9793657563050225
Position 5669: 0.5593814151152118
Position 748: 0.3424328934099345
Position 4659: 0.3151465114341871
Position 5697: 0.2330634470973284
Position 4627: 0.1910020569762065
Position 4868: 0.18260587154399338
Position 6197: 0.07493686810419409
Position 5476: 0.049861592758090816
Position 1576: 0.04822326505565123
Position 5672: 0.03418501836151841
Position 5940: 0.03340654256546619
Position 4703: 0.018528210309337045
