Gene = BtbVII
index = 56
Annotated 5SS: [  42 1508 2197 2527 2727 8496]
Annotated 3SS: [ 981 1568 2281 2617 7311 8553]
SMsplice 5SS: [1508 2197 2527 2727 8496]
SMsplice 3SS: [1568 2281 2617 7311 8553]
top_k =  1000
Partition function (log Z): 9.396139744780248

Sorted 5' Splice Sites (High to Low Probability):
Position 8496: 0.9992914926070084
Position 1508: 0.9982680407177101
Position 2727: 0.9800599015322851
Position 2197: 0.9549464738648561
Position 6098: 0.6870241402502217
Position 2527: 0.497549365005324
Position 42: 0.2488965743792034
Position 5103: 0.09759765545838986
Position 5371: 0.0968455710318491
Position 924: 0.0647882175184586
Position 7447: 0.06207464216315235
Position 8865: 0.061138917199976425
Position 5142: 0.06091314503244499
Position 515: 0.05936923571224378
Position 4799: 0.04779126265810721
Position 4372: 0.04051865042490643
Position 2212: 0.0364158915870113
Position 702: 0.02950367021801483
Position 722: 0.020476078918530392
Position 3745: 0.019681644724163023
Position 743: 0.01650634677601466
Position 2553: 0.015874521326937157
Position 1671: 0.014891800411969712
Position 749: 0.014284945438828196
Position 6115: 0.013605004837528377
Position 745: 0.013252445738091936
Position 747: 0.013178310039877227
Position 2789: 0.011879318547493939
Position 8203: 0.011366873591176229
Position 7512: 0.010997066340184393
Position 6559: 0.010532986314971694
Position 2544: 0.010506355320264404
Position 585: 0.009611973194270628
Position 35: 0.00943109955722297
Position 123: 0.009206375311166543
Position 741: 0.008885241328480368
Position 3758: 0.00831742922751021
Position 910: 0.008187798793494232
Position 5881: 0.007433976768939332
Position 511: 0.006482079415508287
Position 6964: 0.006252428168032035
Position 523: 0.006050567380598994
Position 8903: 0.005615204094918169
Position 1115: 0.005248468714083114
Position 2809: 0.004791220783227848
Position 834: 0.004474948009606513
Position 488: 0.004405098150860384
Position 276: 0.003603760245935977
Position 5341: 0.003597223262454182
Position 922: 0.0032984236523526706
Position 623: 0.0032768674680806716
Position 4385: 0.003266239013982377
Position 102: 0.00311668354160951
Position 907: 0.003100752151683279
Position 555: 0.003081864079796675
Position 4834: 0.0029910213682893226
Position 9001: 0.0027346709799111863
Position 4327: 0.002703720812233988
Position 3019: 0.0026753995100670187
