Gene = Atxn7
index = 39
Annotated 5SS: [ 303 2435]
Annotated 3SS: [1290 2494]
SMsplice 5SS: [ 303 2435]
SMsplice 3SS: [1290 2494]
top_k =  1000
Partition function (log Z): -8.001691968582106

Sorted 5' Splice Sites (High to Low Probability):
Position 2435: 0.950546114293266
Position 303: 0.623353516527991
Position 35: 0.25915171532910997
Position 30: 0.19941567345045808
Position 239: 0.1645453687811439
Position 2255: 0.09056877012334234
Position 591: 0.0707405262201018
Position 3729: 0.06553570146193154
Position 244: 0.05344625311550061
Position 2097: 0.02225401479363669
Position 252: 0.021685106578521702
Position 766: 0.010046469812905278
Position 2642: 0.009787042891691923
Position 1631: 0.007979015271403536
Position 770: 0.007811601411163743
Position 718: 0.007768575085753766
Position 290: 0.006147738196548439
Position 774: 0.005595102615217204
Position 828: 0.005374265984705265
Position 1805: 0.0051656321114718065
Position 4355: 0.0036713191385842497
Position 423: 0.002889813134492869
Position 2234: 0.002067038055073845
Position 1226: 0.0012914954189442143
Position 546: 0.0012622927710581491
Position 4444: 0.001035411145727587
Position 2101: 0.0009866156707615708
Position 1181: 0.0007952687627585391
Position 2915: 0.0007022762162782741
Position 2043: 0.0006990468276033111
Position 715: 0.0005465409776377426
Position 1232: 0.00043248808173321945
Position 2259: 0.00039117589629064403
Position 452: 0.00037249260682592716
Position 540: 0.00037010830118383315
Position 691: 0.0003664938395411406
Position 366: 0.0003417697860825811
Position 630: 0.00031721262686206094
Position 556: 0.00028871650914420006
Position 1079: 0.0002828141100261601
Position 431: 0.0002533992621134318
Position 1547: 0.0002443253045323539
Position 1116: 0.00018349635044379332
Position 1093: 0.0001762508549208762
Position 3818: 0.00011312639129797802
Position 2450: 0.00010508183657606236
Position 1065: 0.00010375183199810363
Position 868: 9.718704212317771e-05
Position 2558: 9.132490659563694e-05
Position 822: 6.998657964063062e-05
Position 1087: 6.502112482367769e-05
Position 787: 5.768284915277982e-05
Position 801: 4.999158024480067e-05
Position 816: 3.954220191937717e-05
Position 879: 3.694348864414914e-05
Position 427: 3.6567081269816815e-05
Position 1153: 3.162300936162898e-05
Position 1713: 2.559015206331558e-05
Position 2627: 2.34174146496226e-05
Position 729: 2.261490641501718e-05
Position 1174: 2.1096733450050974e-05
Position 1048: 2.035794900162422e-05
Position 891: 1.7547007700296387e-05
Position 1200: 1.0339987246561849e-05
Position 696: 9.438920910555165e-06
Position 744: 8.357262899073211e-06
Position 509: 7.748643937393114e-06
Position 1291: 7.472595144076009e-06
Position 722: 7.348169790948886e-06
Position 778: 7.188150763372246e-06
Position 3651: 3.4979933748056487e-06
Position 1529: 2.0825395495374773e-06
Position 1427: 1.339398420574232e-06
Position 309: 1.286166717688472e-06
Position 442: 1.1139367077293493e-06
Position 380: 1.082553664931036e-06
Position 634: 1.0580100317368769e-06
Position 503: 9.428738443557725e-07
Position 1062: 9.23318649094818e-07
Position 2354: 7.897329723099583e-07
Position 478: 2.838503559890411e-07
Position 294: 1.7321893514818462e-07
Position 727: 1.081281020341958e-07
Position 292: 1.0257564946087944e-07
Position 450: 1.0093418402212739e-07
Position 2366: 8.743879867031253e-08
Position 307: 8.015584194550501e-08
Position 832: 7.916094299156539e-08
