Gene = ORMDL
index = 1340
Annotated 5SS: [257 465]
Annotated 3SS: [312 681]
SMsplice 5SS: [257 465]
SMsplice 3SS: [312 681]
top_k =  1000
Partition function (log Z): -0.11320113562372347

Sorted 5' Splice Sites (High to Low Probability):
Position 257: 0.9854537880207048
Position 465: 0.5622304211165078
Position 500: 0.42651780938041584
Position 20: 0.018770122185750474
Position 823: 0.011484399514284371
Position 622: 0.004188916184944491
Position 469: 0.002476083536039326
Position 415: 0.0024006562571723374
Position 617: 0.0012500818301131441
Position 477: 0.00031005594946781324
Position 283: 0.00027433214450875426
Position 811: 0.00026283710511508003
Position 438: 0.0002561111969170085
Position 486: 0.00020390897584997566
Position 8: 0.00013041924773610135
Position 504: 8.751507236198594e-05
Position 460: 8.462911171186349e-05
Position 63: 5.925421532711924e-05
Position 175: 4.6319987968126744e-05
Position 135: 2.357717579170576e-05
Position 179: 2.2336301225269345e-05
Position 572: 1.9779757256256973e-05
Position 209: 1.774684487212679e-05
Position 595: 1.039566895941527e-05
Position 261: 8.206542741205057e-06
Position 788: 4.910953048985491e-06
Position 383: 4.056348037164357e-06
Position 603: 1.6747069466121457e-06
Position 46: 1.2821477267889395e-06
Position 562: 8.790926565015021e-07
Position 200: 5.314470291860377e-07
Position 451: 2.539574233774192e-07
Position 37: 2.2086364236947777e-07
Position 48: 1.8774231758528346e-07
Position 796: 1.8006123133857376e-07
Position 554: 1.4724536784083206e-07
Position 275: 1.1795903197856503e-07
Position 778: 1.0927681122102788e-07
Position 321: 7.885968484356137e-08
Position 696: 6.679484265494175e-08
Position 287: 5.574164354129454e-08
Position 700: 5.097089125597948e-08
Position 749: 1.120587804778895e-08
Position 85: 6.432821779047062e-09
Position 334: 4.365984468309767e-09
Position 752: 9.243085490792593e-10
Position 681: 2.8151865107290373e-12
Position 755: 1.8818685730864904e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 312: 0.9825221998934779
Position 681: 0.9600761686682427
Position 603: 0.027589490949635878
Position 75: 0.01384099711221767
Position 888: 0.011849119293154997
Position 651: 0.009822034228933808
Position 62: 0.004563814319727977
Position 342: 0.003188496953193443
Position 572: 0.0011362737829161433
Position 536: 0.0009999586575147777
Position 769: 0.0005391415121334692
Position 200: 9.990386559519527e-05
Position 123: 9.340435349402759e-05
Position 617: 8.660742805312781e-05
Position 213: 6.89609463562319e-05
Position 778: 6.790782655519567e-05
Position 155: 2.619785417191948e-05
Position 366: 1.326088061831302e-05
Position 817: 4.425252389908409e-06
Position 257: 4.179808940024722e-06
Position 469: 3.5531596856734546e-06
Position 402: 2.424155644618087e-06
Position 377: 2.024170971387202e-06
Position 811: 1.6776300282436485e-06
Position 420: 8.737870032022576e-07
Position 448: 4.963101583680924e-07
Position 486: 3.227952535115254e-07
Position 499: 3.0865672020004316e-07
Position 98: 1.229202882014595e-07
Position 135: 9.084360774357771e-08
Position 359: 6.760206648441191e-08
Position 109: 1.52730341091078e-08
Position 280: 7.258778066851672e-09
Position 438: 1.8311321124019228e-09
Position 261: 3.8905777705110937e-10
Position 287: 5.304303684783449e-11
Position 283: 2.7472051280894237e-13
