Gene = Edc3
index = 1148
Annotated 5SS: [ 953 2156 2379 2526]
Annotated 3SS: [1240 2217 2440 2580]
SMsplice 5SS: [  89  953 2156 2379 2526]
SMsplice 3SS: [ 141 1240 2217 2440 2580]
top_k =  1000
Partition function (log Z): 7.5519513137278205

Sorted 5' Splice Sites (High to Low Probability):
Position 2379: 0.998770699964121
Position 2156: 0.983940092436337
Position 2526: 0.8376082465597057
Position 89: 0.8205173782897696
Position 953: 0.7686402342716376
Position 3669: 0.15061984620219865
Position 2518: 0.13659835248367513
Position 2811: 0.13232843008712622
Position 228: 0.10477948908256557
Position 235: 0.05327743605509004
Position 1527: 0.04530813001833102
Position 2794: 0.026589441400415807
Position 2802: 0.022913746132346348
Position 242: 0.019140168267990573
Position 246: 0.013040144528665277
Position 2832: 0.010580703919295446
Position 3678: 0.008861798571959671
Position 2627: 0.008398624476106783
Position 1171: 0.00802344942592062
Position 1426: 0.00711978663468777
Position 4294: 0.005602697251575271
Position 1027: 0.0036503869942182666
Position 1350: 0.003385259171198081
Position 3544: 0.00308110032292322
Position 1124: 0.002962086301771993
Position 2171: 0.0029199474382208446
Position 834: 0.0028906135640612723
Position 3489: 0.002654451149895921
Position 72: 0.002611750901879773
Position 1662: 0.002222765942821051
Position 2848: 0.0021164549670997608
Position 507: 0.002068832714144339
Position 3101: 0.0019595281524170324
Position 1368: 0.0019383550769272897
Position 93: 0.0015931813092636452
Position 1189: 0.0015549836392299585
Position 3644: 0.001341756003327531
Position 3622: 0.0013278508985203647
Position 2553: 0.0012536165583593379
Position 3615: 0.0011624378736036852
Position 1003: 0.0010033731653554842
Position 3485: 0.000733956074440879
Position 2856: 0.0006287081226005589
Position 78: 0.0005435766724723172
Position 2383: 0.0005167979100983414
Position 3406: 0.00044968179131429486
Position 3529: 0.0004484945881935178
Position 3877: 0.00039607558953115156
Position 3178: 0.00030584327154701836
Position 3459: 0.00029767154039852584
Position 2784: 0.0002956647264899358
Position 3059: 0.00027030308041291326
Position 239: 0.00025579361430749727
Position 1344: 0.00023866737235548298
Position 555: 0.00022570848236185809
Position 1629: 0.00020318788312635746
Position 3144: 0.0001919017296879652
Position 3033: 0.0001858399997909379
Position 1192: 0.00017759378506824382
Position 263: 0.00014625603042680711
Position 2860: 0.00014269871886392604
Position 4207: 0.00013980028743321016
Position 3125: 0.0001365025022570707
Position 2530: 0.0001335124828282743
Position 2516: 0.0001048002292215643
Position 397: 9.663271174600615e-05
Position 2638: 9.384553663979066e-05
Position 1797: 9.002852912805036e-05
Position 232: 8.495376740870827e-05
Position 64: 8.171444969822618e-05
Position 1160: 8.012423177494188e-05
Position 3225: 7.61874048001024e-05
Position 976: 6.442157808565061e-05
Position 2372: 5.4481380134916785e-05
Position 2838: 4.880891030213654e-05
Position 2363: 4.371582386609106e-05
Position 1044: 4.1749032668663235e-05
Position 1205: 4.1143528984627303e-05
Position 352: 4.09361048076497e-05
Position 1258: 3.847613509321417e-05
Position 2876: 3.0505905574917608e-05
Position 3336: 2.8697068665964804e-05
Position 31: 2.8024254140471537e-05
Position 3351: 2.7346228352769486e-05
Position 566: 2.518357064416086e-05
Position 645: 1.7048367702755414e-05
Position 856: 1.6641054649407543e-05
Position 871: 1.6154669123808758e-05
Position 431: 1.463812455780479e-05
Position 199: 1.4288074716947879e-05
Position 1387: 1.2512117801189335e-05
Position 80: 1.2380224369917961e-05
Position 1904: 1.0718644083492396e-05
Position 450: 1.0516735998085203e-05
Position 528: 8.823165086927154e-06
Position 1157: 8.613870810581462e-06
Position 3047: 8.574009679225033e-06
Position 1809: 8.313984338953652e-06
Position 250: 7.835584134580067e-06
Position 2338: 5.732499236137463e-06
Position 1576: 5.144631884871806e-06
Position 1461: 4.554188689259624e-06
Position 2281: 4.383898293355127e-06
Position 2588: 4.285440493290248e-06
Position 3136: 4.027413698638103e-06
Position 2611: 3.899569045952256e-06
Position 3113: 3.7140950703380134e-06
Position 2570: 3.5978896128247144e-06
Position 1841: 2.999520178523641e-06
Position 375: 2.540191192516196e-06
Position 1926: 2.207794260745189e-06
Position 1794: 2.1026590669671153e-06
Position 1939: 1.3948388229575936e-06
Position 2546: 9.819037687583272e-07
Position 459: 8.603704843500894e-07
Position 558: 8.363274450072989e-07
Position 642: 7.337235470967997e-07
Position 2357: 6.69199645940644e-07
Position 1056: 5.15604845974058e-07
Position 3699: 4.6673104000919646e-07
Position 354: 4.0580152042499137e-07
