Gene = Pus7
index = 1394
Annotated 5SS: [ 201  449  882 1040]
Annotated 3SS: [ 260  509  936 1098]
SMsplice 5SS: [ 201  445  882 1040]
SMsplice 3SS: [ 273  509  936 1098]
top_k =  1000
Partition function (log Z): 3.657455097861431

Sorted 5' Splice Sites (High to Low Probability):
Position 1040: 0.9997386179438497
Position 882: 0.9339080280901869
Position 201: 0.7655242558882744
Position 445: 0.7399587857577593
Position 1430: 0.23650550727412237
Position 449: 0.16577910636588075
Position 857: 0.02183458230902461
Position 798: 0.020127327796997475
Position 1626: 0.016279585022219777
Position 188: 0.008773878977919898
Position 632: 0.004521750295768684
Position 453: 0.0032500228198350262
Position 827: 0.0032408888561933883
Position 403: 0.0026407605155522314
Position 1928: 0.0024783165456149035
Position 436: 0.0023394826681759034
Position 2527: 0.001480237301573648
Position 2063: 0.0012119719841302346
Position 2041: 0.0007567509660792527
Position 1723: 0.0007555827093218966
Position 152: 0.0006191852164939606
Position 182: 0.000578424245443325
Position 1199: 0.0005614231487644161
Position 354: 0.0005517029593571103
Position 1966: 0.000440871743964124
Position 425: 0.00043524704782751467
Position 1877: 0.00036812586769529654
Position 1396: 0.00035752508645172894
Position 107: 0.00034083153342426634
Position 1176: 0.00033954092144843106
Position 886: 0.0003093954138874427
Position 298: 0.00024462725570014473
Position 557: 0.00023274533653635496
Position 1585: 0.00020755060658892536
Position 376: 0.0001919036009984478
Position 3: 0.00018465643353416509
Position 1179: 0.00014439764470416543
Position 427: 0.00013110798920418307
Position 677: 0.00012037839867545295
Position 1044: 0.00011539431070796528
Position 2173: 0.00010595325672311994
Position 572: 7.907658711753333e-05
Position 1223: 7.832049933138272e-05
Position 755: 7.544114296834415e-05
Position 22: 2.9278866046704105e-05
Position 2158: 2.8413719602452405e-05
Position 644: 2.4958005285049193e-05
Position 34: 2.4889886203689908e-05
Position 2417: 2.1059696314250562e-05
Position 1434: 1.718716398865689e-05
Position 1115: 1.662021105046947e-05
Position 229: 1.3409704643256304e-05
Position 2518: 1.1795648040342355e-05
Position 1293: 7.39056918647006e-06
Position 149: 7.113923723426617e-06
Position 312: 3.5586727508237454e-06
Position 25: 2.8407291932270193e-06
Position 1162: 9.572131148039582e-07
Position 260: 3.026059129656728e-07
Position 249: 1.9692356282637024e-07
Position 1287: 1.677142038621347e-07
Position 232: 1.5862249604552744e-07
Position 999: 1.4616848634205025e-07
Position 1169: 1.308433103969065e-07
Position 937: 1.267341728812021e-07
Position 1534: 1.2405143736835404e-07
Position 1531: 1.1357989309801067e-07
Position 981: 1.1206443493018938e-07
Position 718: 9.091909629318711e-08
Position 1741: 7.166497619282641e-08
Position 1515: 5.664993678190265e-08
Position 1502: 3.431350022348197e-08
Position 1415: 1.6957823974772496e-08
Position 242: 3.644280671087335e-09
Position 1011: 1.902374375647492e-09
Position 1436: 1.1442761016764473e-09
Position 1507: 2.403114140206593e-10
Position 1413: 2.259534373414016e-11
Position 969: 1.968279948853356e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 936: 0.9824867611459762
Position 1098: 0.9587703784381323
Position 509: 0.9298467696288298
Position 273: 0.3795601067362382
Position 260: 0.37476887049857033
Position 1786: 0.09661337291620432
Position 1716: 0.0944606168510171
Position 1114: 0.040618827370201144
Position 1507: 0.01150983949123666
Position 1943: 0.011343189666186049
Position 2022: 0.009039849199658079
Position 1528: 0.006869781038742354
Position 1646: 0.005209580699499203
Position 2951: 0.004691583947167027
Position 1657: 0.004558678179596508
Position 1701: 0.0037876342303032693
Position 2243: 0.0029068821852573858
Position 2383: 0.0024047130081695854
Position 697: 0.0022684082445272088
Position 739: 0.0016271712428883945
Position 685: 0.0013226848178979332
Position 2148: 0.0012371516528407922
Position 1946: 0.0011864917478584464
Position 736: 0.0011486853756058053
Position 1949: 0.000883070907834786
Position 871: 0.0007603294246505294
Position 706: 0.0004176391728197406
Position 2344: 0.0004028482016974049
Position 2554: 0.0003824443268484373
Position 1927: 0.0003808013259987119
Position 2089: 0.00035125173092160434
Position 903: 0.00030181804875303425
Position 1721: 0.000281643401153915
