Gene = crim
index = 1658
Annotated 5SS: [166 379]
Annotated 3SS: [237 434]
SMsplice 5SS: [166 379]
SMsplice 3SS: [237 434]
top_k =  1000
Partition function (log Z): 0.5193806916969698

Sorted 5' Splice Sites (High to Low Probability):
Position 166: 0.9907337013296609
Position 379: 0.9904103388057225
Position 173: 0.004977154619607571
Position 668: 0.0037234499908847846
Position 360: 0.0023303557521464364
Position 30: 0.001247902418819395
Position 675: 0.0009434642380424961
Position 53: 0.0005240852985130151
Position 661: 0.00024296971774264375
Position 48: 6.624934267413756e-05
Position 59: 5.032077876901544e-05
Position 551: 4.061247138705909e-05
Position 578: 2.8756791769104274e-05
Position 10: 2.8047053514611438e-05
Position 68: 2.696672973917413e-05
Position 51: 1.9502926032624792e-05
Position 61: 1.389331187646389e-05
Position 585: 7.469713565121475e-06
Position 731: 7.459677131591929e-06
Position 612: 2.0942904729089944e-06
Position 207: 1.9007586447619493e-06
Position 726: 1.5603275835886963e-06
Position 453: 1.5141423187158627e-06
Position 739: 1.1192371472752037e-06
Position 354: 6.881663986593201e-07
Position 607: 8.329779262994131e-08
Position 293: 7.885740231776078e-08
Position 396: 7.091929550783749e-08
Position 516: 5.1774941704072655e-08
Position 513: 5.1397299082853044e-08
Position 251: 2.8874562766735185e-08
Position 211: 1.317830348873372e-08
Position 198: 1.0307616474298551e-08
Position 774: 9.956610168904366e-09
Position 283: 6.953483482951981e-09
Position 230: 4.696784380449373e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 237: 0.9956354743863174
Position 434: 0.9780822410454447
Position 438: 0.010886126056142765
Position 731: 0.005273917220012436
Position 135: 0.0014202510647785484
Position 509: 0.001299311608662596
Position 465: 0.0009976444326160586
Position 83: 0.0005343896142464109
Position 485: 0.0004586483091756232
Position 568: 0.00030665403769781585
Position 712: 0.0002181130083547881
Position 819: 0.0001821034815932801
Position 293: 3.9240581458427295e-05
Position 542: 2.6788303462560292e-05
Position 571: 1.9908424588225096e-05
Position 312: 1.9680855318160293e-05
Position 538: 1.8511294122967192e-05
Position 739: 6.61776066249531e-06
Position 726: 3.277126882855284e-06
Position 826: 1.3956357876146922e-06
Position 648: 1.3043808899787508e-06
Position 150: 1.0123704755333472e-07
Position 290: 9.848924265709242e-08
Position 359: 7.693934017261663e-08
Position 198: 7.608875978174892e-08
Position 474: 2.310077115507631e-08
Position 828: 4.246151357516336e-09
Position 405: 1.821927167839817e-09
Position 170: 1.8192083434464973e-09
Position 173: 7.837509737467402e-10
Position 368: 1.7337787697800318e-10
Position 164: 1.2643151832825304e-10
Position 326: 2.1633937562843268e-13
Position 383: 2.4374497484807208e-15
