Gene = qua
index = 1852
Annotated 5SS: [ 5407  7516  7778  8752  9807 10069]
Annotated 3SS: [ 7305  7574  7826  8807  9870 10133]
SMsplice 5SS: [  474  7516  7778  8752  9807 10069]
SMsplice 3SS: [ 7305  7574  7838  8807  9870 10133]
top_k =  1000
Partition function (log Z): 7.029978874947872

Sorted 5' Splice Sites (High to Low Probability):
Position 8752: 0.9921273355207694
Position 10069: 0.9898410399494044
Position 7516: 0.985483746073283
Position 9807: 0.9801571144708402
Position 7778: 0.9728927201518879
Position 474: 0.8939689046176463
Position 1356: 0.22445380497376727
Position 7004: 0.19749217589673043
Position 831: 0.1575198499142861
Position 9301: 0.10657445648942883
Position 9421: 0.0900534306935028
Position 10328: 0.0776288016704947
Position 9061: 0.04728712524247166
Position 9436: 0.032174961042929336
Position 274: 0.02366184646103394
Position 1092: 0.015406229464275549
Position 8957: 0.013068656609823223
Position 5407: 0.012655655740608873
Position 918: 0.012538229031201407
Position 8359: 0.010053652172795685
Position 7481: 0.008106449147561593
Position 4217: 0.006711770618654347
Position 5824: 0.006571403883828095
Position 603: 0.006405037579023719
Position 8455: 0.006073225041422137
Position 4272: 0.005149314737261992
Position 8167: 0.005111340652552563
Position 5601: 0.004581626482148576
Position 9522: 0.004517980237740467
Position 202: 0.004324553930763533
Position 9433: 0.00410474956277787
Position 8739: 0.0035704090548902734
Position 7137: 0.0029188732825688813
Position 5925: 0.0025169300805057792
Position 7596: 0.0018683864132648324
Position 114: 0.0018441461971077198
Position 308: 0.0018054969932427003
Position 318: 0.0017883495429071093
Position 9034: 0.0017422898454919433
Position 8180: 0.0013887533322497064
Position 598: 0.0013318951769943656
Position 10331: 0.0008773845293868046
Position 7963: 0.0006858272157473595
Position 8355: 0.0006458835750324812
Position 7420: 0.0006403520469020173
Position 7771: 0.0005965271610302015
Position 131: 0.00047609770406984353
Position 8188: 0.0004384418370619804
Position 9099: 0.0004356064362054284
Position 8562: 0.0004214658400905251
Position 8961: 0.0004191007748367322
Position 10271: 0.00039557137045549316
Position 666: 0.00031920715248848403
Position 7741: 0.00024670291605838644
Position 4537: 0.00020676453735222588
Position 8511: 0.00020586479200448426
Position 9040: 0.00019933854834672693
Position 10073: 0.00018893078126943025
Position 7757: 0.00017965950182508342
Position 10287: 0.00016005324711103544
Position 1187: 0.00014414143281830656
Position 7638: 0.00013918769778326355
Position 9738: 0.00013837820150176822
Position 7893: 0.00013295736114143054
Position 7924: 0.00012492851111780187
Position 811: 0.00010958214537237967
Position 8184: 0.0001085331417205773
Position 28: 0.00010695330430089377
Position 7782: 9.514043107704579e-05
Position 33: 9.47430460178636e-05
Position 299: 9.190712374802031e-05
Position 9916: 8.900662242146319e-05
Position 8915: 8.794835527394463e-05
Position 9685: 8.41771816585961e-05
Position 10278: 7.796547365846047e-05
Position 209: 6.85295929357368e-05
Position 330: 6.815286776562316e-05
Position 8036: 6.635579990884791e-05
Position 1209: 6.605298281057062e-05
Position 8518: 6.376849318060796e-05
Position 7788: 5.690263261279059e-05
Position 4728: 5.606593356662266e-05
Position 9413: 4.9503218627374786e-05
Position 8677: 4.821284294457008e-05
Position 7908: 4.6711050375803715e-05
Position 7941: 4.662001966181469e-05
Position 696: 4.5102574801820544e-05
Position 8686: 4.463432307259623e-05
Position 8875: 4.4438535284642305e-05
Position 8746: 3.994930742226975e-05
Position 9999: 3.8298644946442055e-05
Position 821: 3.825713742882711e-05
Position 9329: 3.70626382413118e-05
Position 8704: 3.6565200004565325e-05
Position 1184: 3.635913016540438e-05
Position 3331: 3.52572832571421e-05
Position 8889: 3.2473024767971764e-05
Position 625: 3.1308845209837096e-05
Position 1054: 2.8617483487421445e-05
Position 3351: 2.6487358374787104e-05
Position 2428: 2.4663104153543992e-05
Position 9282: 2.4362079258238456e-05
Position 658: 2.435347640803233e-05
Position 8015: 2.318252401452125e-05
Position 957: 2.132812095630949e-05
Position 86: 2.0670526334523024e-05
Position 104: 2.0102194507223453e-05
Position 9206: 1.6805288806329125e-05
Position 9201: 1.5056312491283353e-05
Position 8975: 1.4014264714848535e-05
Position 2647: 1.1909135984141882e-05
Position 7662: 1.1816494435145395e-05
Position 2383: 1.1743055015114811e-05
Position 1046: 1.0656880363381474e-05
Position 343: 1.0338807356798866e-05
Position 40: 1.0317788458110206e-05
Position 418: 1.024062702839986e-05
Position 7691: 9.862820149723224e-06
Position 8650: 9.621464246074371e-06
Position 122: 9.413424665432274e-06
Position 8086: 9.373729444291169e-06
Position 497: 8.833618873549914e-06
Position 3335: 8.246263557437014e-06
Position 144: 8.007686507215529e-06
Position 10160: 6.944583433271368e-06
Position 678: 6.923355777676175e-06
Position 174: 5.462797413805683e-06
Position 9490: 4.919380110185049e-06
Position 3183: 4.262189919665352e-06
Position 1077: 4.033869081823812e-06
Position 727: 3.7411324886643696e-06
Position 3605: 3.6170724369933405e-06
Position 9252: 3.0727383161703247e-06
Position 1473: 3.0585003500999954e-06
Position 4254: 2.9516173730922356e-06
Position 663: 2.792556085523157e-06
Position 8642: 2.6312327940212072e-06
Position 836: 2.565737882569807e-06
Position 8929: 2.3460271111493593e-06
Position 3076: 2.278110767237563e-06
Position 2695: 2.1335136873882157e-06
Position 10259: 1.6982566624861156e-06
Position 8734: 1.6173842555191288e-06
Position 164: 1.0065119314794554e-06
Position 8777: 9.874047654578235e-07
Position 955: 8.834342518424389e-07
Position 8817: 7.671382215568945e-07
Position 150: 7.453532467392858e-07
Position 10337: 7.177389324194701e-07
Position 1602: 6.231465919359662e-07
Position 10269: 6.101375517695713e-07
Position 10134: 4.592144968943625e-07
Position 8345: 3.585945205959278e-07
Position 10012: 3.119171655653831e-07
Position 8726: 2.78852169053283e-07
Position 6: 2.247978260725019e-07
Position 8731: 2.169876695371802e-07
Position 176: 1.7643196482379037e-07
Position 478: 1.5254496840317713e-07
Position 8352: 1.194347982479936e-07
Position 455: 1.1390930311233746e-07
Position 8275: 5.5419821332827464e-08
Position 8448: 3.771925442836057e-08
Position 10166: 2.7120240359131254e-08
Position 13: 1.549846647845949e-08
Position 903: 8.483725057729676e-09
Position 813: 6.578020974070735e-09
Position 645: 5.80628651148211e-09
Position 9195: 1.933085659034151e-10
Position 972: 4.355644348542657e-11
Position 8171: 2.94088386366713e-13
Position 499: 7.600518537209709e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 9870: 0.9947215914098428
Position 7574: 0.9943865079277147
Position 10133: 0.9831420293333379
Position 7838: 0.9701795084224796
Position 8807: 0.8372575451553543
Position 7305: 0.5174028047883876
Position 7338: 0.4318681264277724
Position 892: 0.20901209611187502
Position 8829: 0.1419712840920714
Position 6842: 0.09551248460181301
Position 10375: 0.07860434824897952
Position 9481: 0.06360520658563867
Position 9348: 0.056652868437182896
Position 9715: 0.05490475670448448
Position 6918: 0.04258151783970425
Position 6894: 0.03338743759482333
Position 547: 0.02964405884377491
Position 810: 0.02770481898335969
Position 9536: 0.027414190591716806
Position 421: 0.021104043608918512
Position 9160: 0.015194326555796356
Position 5460: 0.015175431649814244
Position 7395: 0.015133957646198392
Position 5818: 0.014374767492034963
Position 9575: 0.013874136909367566
Position 9115: 0.013486864005245057
Position 636: 0.013468674929470403
Position 9379: 0.012247940644840829
Position 9578: 0.011696709468423643
Position 645: 0.011027657404980497
Position 9002: 0.011006496824540886
Position 7308: 0.010503739561457875
Position 8614: 0.010191903937216501
Position 8526: 0.0096053766598867
Position 5994: 0.008842563409389284
Position 534: 0.007288830202900266
Position 3463: 0.007146659607492085
Position 983: 0.006848951292251323
Position 7250: 0.006725421445046417
Position 3487: 0.00566574189163749
Position 9647: 0.0045694260258374465
Position 602: 0.004433924548667602
Position 10164: 0.004346167864448522
Position 9457: 0.0043311252941283535
Position 5356: 0.004206174141841153
Position 6541: 0.0036579661084947725
Position 8867: 0.00365377058230355
Position 6982: 0.003266698247894906
Position 9672: 0.00284938393649425
Position 5571: 0.0028228445059152053
Position 10386: 0.0026968750040396684
Position 7544: 0.0025653581968373773
Position 658: 0.0025538988045562235
Position 8430: 0.0022345670170696077
Position 9382: 0.0021924109462814756
Position 676: 0.0021728617796556533
Position 9685: 0.0021588241630100206
Position 663: 0.002019541745666685
Position 4456: 0.0019963973091563147
Position 1023: 0.0019882864115093593
Position 8235: 0.001923609165522213
Position 7399: 0.0016653498363632876
Position 6332: 0.001539130206112438
Position 390: 0.0013610184917079579
Position 7679: 0.0013500153146339872
Position 7359: 0.0013136284044944005
Position 8005: 0.0013093075636228812
Position 6394: 0.0012800791047431178
Position 5219: 0.0012623456828628429
Position 9659: 0.0011104661282584905
Position 1240: 0.0009790858241869062
Position 9971: 0.000956260022807001
Position 9128: 0.0008820752323495435
Position 9028: 0.0008768284604978046
Position 910: 0.0008629263373079591
Position 4505: 0.0008551551338007682
Position 5185: 0.0008518098788968638
Position 6503: 0.0007949152566582649
Position 4587: 0.000792606175143715
Position 5052: 0.0007712378695176322
Position 8213: 0.0007214455675156857
Position 1167: 0.0007110392698052628
Position 3896: 0.000680543048541587
Position 7586: 0.0006705359498192693
Position 8676: 0.0005764267409438117
Position 7072: 0.000541109655449287
Position 830: 0.000482598072208216
Position 1122: 0.00047817092835540783
Position 8086: 0.0004218778906850115
Position 10247: 0.00041946833320555407
Position 1071: 0.00041862459899882215
Position 1265: 0.00038843734450170694
Position 707: 0.0003752686410298666
Position 8529: 0.00035938072961881916
Position 3936: 0.0003454492685774986
Position 4580: 0.00031593603923202866
Position 7477: 0.0002977386786835645
Position 4788: 0.00028487585284475453
Position 5628: 0.00027749488365787846
Position 2901: 0.0002767377322504712
Position 8157: 0.000264888550778273
Position 8427: 0.00025877376437832654
Position 7826: 0.00025638771765661405
Position 273: 0.0002553595835121253
Position 9291: 0.0002222968456640921
Position 8966: 0.0002187233462381278
Position 7872: 0.00021136178398257734
Position 1217: 0.00020808050676660774
Position 8058: 0.0001993104721715801
Position 245: 0.0001591887699677997
Position 8020: 0.00015258194038856134
