Gene = Mpp6
index = 1285
Annotated 5SS: [41]
Annotated 3SS: [103]
SMsplice 5SS: [41]
SMsplice 3SS: [103]
top_k =  1000
Partition function (log Z): -5.725897862590405

Sorted 5' Splice Sites (High to Low Probability):
Position 41: 0.9906978782181151
Position 410: 0.2347904766957579
Position 221: 0.08166159367532304
Position 405: 0.05173638172204162
Position 401: 0.006398801666670981
Position 1007: 0.0035945658532896374
Position 277: 0.0027144700466719797
Position 388: 0.002052875041969733
Position 397: 0.001564337037847569
Position 989: 0.0011736301412802537
Position 580: 0.0011148967432777605
Position 160: 0.0009954787389371386
Position 608: 0.0009624826226047824
Position 266: 0.0008359102181913702
Position 1161: 0.0003152437648711882
Position 470: 0.0002982493770333579
Position 191: 0.00023470019651052808
Position 570: 0.00021636888923894822
Position 618: 0.00016343871910657712
Position 215: 9.95833015790572e-05
Position 228: 8.705486579137807e-05
Position 629: 5.3235006450001484e-05
Position 342: 5.235012240273679e-05
Position 150: 5.0251258528681946e-05
Position 1171: 4.29479425654725e-05
Position 1322: 3.520369871387118e-05
Position 1138: 2.4545070185602694e-05
Position 573: 1.9843151184870588e-05
Position 1305: 1.7652986878788955e-05
Position 1063: 1.4211998359794881e-05
Position 1110: 1.4171937123679033e-05
Position 796: 6.891794303773259e-06
Position 752: 5.631147807834137e-06
Position 1183: 4.820053020532962e-06
Position 371: 4.197539634690203e-06
Position 138: 3.6613744249548007e-06
Position 1116: 3.3552103159448122e-06
Position 359: 2.8218975221162372e-06
Position 1235: 1.3503442783810692e-06
Position 1326: 1.250000060291007e-06
Position 96: 2.3950750639381993e-07
Position 103: 1.2453582854084569e-07
Position 108: 6.684139855814307e-08
Position 454: 3.118658118011525e-08
Position 320: 1.8885867516528713e-08
Position 115: 1.5516291287989943e-08
Position 314: 5.271511286760648e-09
Position 329: 3.352513053817055e-09
Position 520: 6.67607938341044e-10
Position 758: 2.6846335223592695e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 103: 0.9190969969564432
Position 470: 0.2762510531427974
Position 276: 0.0949159629938777
Position 108: 0.03680134804322028
Position 336: 0.011011730165211508
Position 661: 0.00911809068174926
Position 700: 0.008763681490248703
Position 307: 0.006655154087484566
Position 1304: 0.0041286383636555705
Position 629: 0.0020702697127442404
Position 528: 0.0018935504389478463
Position 191: 0.0017176916533561874
Position 551: 0.0012131880371417634
Position 1078: 0.0010541507778551499
Position 644: 0.0009631498719306285
Position 115: 0.0008566168900943396
Position 678: 0.0008091277905669594
Position 127: 0.0008048330429950703
Position 742: 0.0007518172744412212
Position 1050: 0.0004850420399360193
Position 291: 0.0004142042914801997
Position 1089: 0.00033572828758789933
Position 220: 0.00030059895691461993
Position 1203: 0.00028928614408104964
Position 208: 0.0002576739649566924
Position 532: 0.00013160724002469625
Position 1268: 0.0001303691849202236
Position 1365: 0.00012755224657668508
Position 1355: 0.00012158662689654543
Position 940: 9.442305101793197e-05
Position 1210: 8.9588913630692e-05
Position 884: 6.762655061013583e-05
Position 1093: 6.127281585777428e-05
Position 320: 4.942114594579371e-05
Position 733: 3.4776887423275754e-05
Position 897: 3.4147316208074505e-05
Position 431: 2.9647680609490407e-05
Position 1325: 2.398619636486206e-05
Position 509: 2.3640058816165782e-05
Position 1388: 1.6284774101222124e-05
Position 1183: 1.5707587645724268e-05
Position 449: 1.1258169183175978e-05
Position 923: 7.828656180308483e-06
Position 752: 7.617712673743788e-06
Position 820: 4.667437495065518e-06
Position 958: 4.340283225415378e-06
Position 1319: 4.334850524589769e-06
Position 858: 3.725989228630516e-06
Position 705: 3.1128431963123075e-06
Position 408: 3.0300530232531273e-06
Position 766: 2.9392186420262185e-06
Position 1274: 1.703011939124608e-06
Position 347: 7.318302594449967e-07
Position 352: 5.509458688455597e-07
Position 382: 1.43896231657525e-07
Position 369: 7.851313493458704e-08
Position 758: 1.2431416528147061e-08
Position 817: 1.154532177271959e-08
Position 405: 2.974033804491677e-09
Position 338: 2.2535664311209597e-09
Position 359: 9.646714774978356e-11
Position 371: 1.3256484708574518e-11
Position 393: 1.3519707870180245e-12
Position 388: 8.529469375394887e-13
