Gene = r2d2
index = 1853
Annotated 5SS: [106 501]
Annotated 3SS: [198 573]
SMsplice 5SS: [501]
SMsplice 3SS: [573]
top_k =  1000
Partition function (log Z): -4.29450169439585

Sorted 5' Splice Sites (High to Low Probability):
Position 501: 0.7626964380560844
Position 106: 0.32880915779952363
Position 454: 0.2333758322101885
Position 774: 0.016179639693013646
Position 97: 0.008972467201236888
Position 1197: 0.008566190355207283
Position 1622: 0.007329376546890049
Position 1368: 0.004916216003122917
Position 672: 0.004904654553699574
Position 89: 0.004689505605943922
Position 1871: 0.0031736020128130277
Position 20: 0.0031561508303202587
Position 1405: 0.002434390830371208
Position 462: 0.0017940106126249585
Position 717: 0.0015306291094913012
Position 122: 0.0010840693648054513
Position 239: 0.0010150422869295854
Position 840: 0.0007325941987270007
Position 951: 0.0005323612394051109
Position 367: 0.0004579853999458665
Position 1485: 0.0004402562468434127
Position 152: 0.00039888117510213246
Position 271: 0.000371470289078873
Position 1355: 0.00034148952435842246
Position 320: 0.00034069024989476357
Position 1583: 0.00032437750776585946
Position 1250: 0.0002839001116060598
Position 1686: 0.0002320195743822282
Position 303: 0.00020618292199189506
Position 4: 0.00020540520265181428
Position 1592: 0.00014846969203092056
Position 1702: 0.00013608846512567124
Position 207: 0.00013126733409284675
Position 854: 0.00010241749031407689
Position 676: 0.00010023636148494649
Position 467: 9.682385905747762e-05
Position 374: 8.964022925638164e-05
Position 458: 8.844727214943754e-05
Position 1691: 7.954856262819107e-05
Position 36: 7.599435133359033e-05
Position 1481: 7.415984709236886e-05
Position 248: 6.927184399734099e-05
Position 975: 6.001115637306115e-05
Position 228: 5.545810689306894e-05
Position 1269: 4.814760872775561e-05
Position 741: 4.742448893016287e-05
Position 1596: 4.3563571362736315e-05
Position 1065: 3.980020108596617e-05
Position 877: 2.8857511901473472e-05
Position 1296: 2.552890545992351e-05
Position 1514: 2.197648900775097e-05
Position 777: 1.988476436747654e-05
Position 730: 1.5314602700725464e-05
Position 9: 1.4744291709072548e-05
Position 11: 1.098788048677758e-05
Position 1669: 1.05139154014423e-05
Position 201: 9.536908021295298e-06
Position 429: 9.245601019383332e-06
Position 116: 7.762696264607679e-06
Position 1231: 7.3147811979473845e-06
Position 1282: 7.022385829256547e-06
Position 622: 6.2918979921805605e-06
Position 1293: 4.98941731549316e-06
Position 328: 4.814137357644218e-06
Position 1236: 4.590013354128139e-06
Position 1413: 4.444454182104749e-06
Position 1816: 2.4891829224377614e-06
Position 335: 1.9055927093919399e-06
Position 313: 5.702056327696713e-07
Position 1254: 3.39405898921107e-07
Position 391: 2.301372336089155e-07
Position 1715: 1.2031946656976598e-07
Position 934: 1.0828416205021556e-07
Position 1046: 8.155984131331625e-08
Position 396: 7.067790730872344e-08
Position 820: 5.056533699919987e-10
Position 586: 1.78255056682985e-10
Position 540: 2.9212151631011625e-11
Position 577: 2.607497858360798e-11
Position 828: 9.537499243814753e-13
Position 813: 7.23539111238096e-13
Position 978: 9.86171666449163e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 573: 0.9967407745852673
Position 198: 0.30694010509080943
Position 271: 0.020781678872288326
Position 1484: 0.012427205876402479
Position 324: 0.009526604725600322
Position 1430: 0.00776302822748854
Position 1267: 0.00741981192367611
Position 840: 0.007280038322992817
Position 174: 0.0072723778097220654
Position 1936: 0.0042049307374205595
Position 1513: 0.0033368188926444077
Position 1773: 0.002914141787092353
Position 1691: 0.002764550207148053
Position 1807: 0.0015736810201622718
Position 429: 0.0015095939082495687
Position 1927: 0.0008299895102139113
Position 1393: 0.0008232801549610943
Position 388: 0.0008047113762699581
Position 1746: 0.0007713755738782348
Position 89: 0.0006273414062189441
Position 279: 0.0005863310444325393
Position 1522: 0.0005059974985837587
Position 367: 0.0004382006685381599
Position 1559: 0.00040444794135822054
Position 1904: 0.0003905525601330959
Position 409: 0.0002992458924701213
Position 1214: 0.00029566219841359965
Position 916: 0.000280280552948797
Position 1021: 0.00022278862962735605
Position 212: 0.0002083270239061674
Position 1136: 0.00020382001037763745
Position 1161: 0.00019546029787367655
Position 1112: 0.0001305698553938902
Position 371: 0.0001287573537122371
Position 1555: 9.545733848084447e-05
Position 391: 8.905622561981527e-05
Position 1575: 8.604546295553561e-05
Position 1231: 4.851301429748589e-05
Position 773: 4.22833036568485e-05
Position 1621: 3.304428646630758e-05
Position 610: 3.2442048816286935e-05
Position 777: 2.7419316854957273e-05
Position 1338: 2.4209802818699518e-05
Position 782: 2.3651524727489532e-05
Position 725: 1.792453169240582e-05
Position 1310: 1.5250480411341133e-05
Position 1274: 1.2033293486114832e-05
Position 64: 1.0853014836842427e-05
Position 1139: 1.0047360131954313e-05
Position 722: 9.322205321199524e-06
Position 662: 7.34881484004028e-06
Position 446: 6.649052300401341e-06
Position 990: 3.87938448880695e-06
Position 1052: 2.7399563514711703e-06
Position 102: 1.9660439911436705e-07
Position 97: 1.3325437380476938e-07
Position 1077: 1.1511444195913161e-07
Position 1046: 7.55610508404639e-08
Position 954: 7.446588988298997e-08
Position 105: 5.0039251587878664e-08
Position 584: 4.6364174557273425e-08
Position 485: 4.279462812385403e-08
Position 467: 3.652756631481997e-08
Position 1010: 3.4927800236798644e-08
Position 1001: 2.564324517577693e-08
Position 452: 6.316551308575209e-09
Position 481: 2.9875166929475923e-09
Position 752: 5.677786885816221e-10
Position 799: 2.6351640547870136e-10
Position 787: 2.2259285553676314e-10
Position 854: 1.887676650553211e-10
Position 487: 1.1789489461289827e-10
