Gene = COX8
index = 1045
Annotated 5SS: [204]
Annotated 3SS: [279]
SMsplice 5SS: [204]
SMsplice 3SS: [279]
top_k =  1000
Partition function (log Z): -2.5332183502023122

Sorted 5' Splice Sites (High to Low Probability):
Position 204: 0.9995722556496287
Position 372: 0.002687683673126454
Position 415: 0.002135889735334894
Position 410: 0.0009747107623996106
Position 398: 0.0006176643031766364
Position 208: 0.0003544745027490963
Position 515: 0.00022509118546539105
Position 83: 0.00018751548861655013
Position 22: 7.39499599073285e-05
Position 234: 3.5018348359132355e-05
Position 447: 2.8275671920422855e-05
Position 161: 1.3860296752248554e-05
Position 525: 1.1909808012769519e-05
Position 439: 7.138198514076067e-06
Position 68: 4.328253743026444e-06
Position 468: 3.74446257655143e-06
Position 507: 2.695278600487457e-06
Position 218: 2.599547625421668e-06
Position 165: 2.3724123805336e-06
Position 87: 2.162732713696723e-06
Position 306: 1.3957068507949543e-06
Position 337: 1.3086370807596089e-06
Position 286: 3.9366784157049475e-07
Position 136: 2.405975782571502e-07
Position 95: 1.5880127956670763e-07
Position 321: 6.774037608577683e-08
Position 529: 5.749491186740286e-08
Position 168: 4.230668298893206e-08
Position 154: 2.32730304669959e-08
Position 123: 5.093038916391595e-09
Position 527: 1.704915898033949e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 279: 0.99331223566148
Position 282: 0.004300486782950761
Position 285: 0.0022648011746172914
Position 564: 0.0022572850239563993
Position 468: 0.001843116484792448
Position 512: 0.0014465910729525141
Position 439: 0.0008205100848753095
Position 572: 0.0002889917544025708
Position 418: 0.0001417956314672254
Position 139: 0.00010285800194118508
Position 149: 7.920977866585257e-05
Position 106: 6.98672489958989e-05
Position 415: 6.05974774327234e-06
Position 246: 4.273130926162838e-06
Position 83: 3.641873739972002e-06
Position 580: 2.6775084694765495e-06
Position 363: 1.0623093652134347e-06
Position 161: 9.17440574820983e-07
Position 66: 1.9397862880155312e-07
Position 230: 1.9018405318481927e-07
Position 398: 1.424342215815297e-07
Position 188: 6.197716921205157e-08
Position 477: 3.590996970749246e-08
Position 151: 2.954045043036987e-08
Position 372: 2.925356443249355e-10
Position 208: 2.0514052661056053e-10
Position 420: 5.3705430672860123e-11
Position 387: 7.399175361292677e-12
Position 214: 3.3219862817950265e-16
Position 422: 1.590572112542333e-17
