Gene = FRG1
index = 1161
Annotated 5SS: [130 365 628 887]
Annotated 3SS: [181 428 686 978]
SMsplice 5SS: [130 365 628 887]
SMsplice 3SS: [181 428 686 978]
top_k =  1000
Partition function (log Z): 6.64156950418237

Sorted 5' Splice Sites (High to Low Probability):
Position 628: 0.9987002083883366
Position 887: 0.9579385786849458
Position 365: 0.9478199095837302
Position 130: 0.9477139904703966
Position 774: 0.02804479395239484
Position 310: 0.006944930350388111
Position 371: 0.006004998130753999
Position 134: 0.005941887719067466
Position 928: 0.004600359404545255
Position 274: 0.004559123353777153
Position 14: 0.0030160458188104484
Position 891: 0.0014944459430790567
Position 107: 0.0014537056764649977
Position 278: 0.0010502086610296242
Position 326: 0.00038369548866684563
Position 30: 0.0003570815908917008
Position 240: 0.0003152720131024605
Position 870: 0.00018670139925317956
Position 1114: 0.00017576141778926905
Position 517: 0.00017506610337882694
Position 619: 0.0001043694973967348
Position 1095: 0.00010097083053598069
Position 632: 7.437901455802343e-05
Position 885: 6.0673248069994844e-05
Position 778: 4.917127340317967e-05
Position 73: 4.422056192362277e-05
Position 805: 4.0500666641292924e-05
Position 793: 4.019604919515879e-05
Position 25: 3.3765308802031336e-05
Position 340: 3.232678336788626e-05
Position 609: 3.084789100277484e-05
Position 798: 2.3048088291951414e-05
Position 27: 2.1925203085676793e-05
Position 18: 2.04130112641907e-05
Position 392: 1.9574198372934276e-05
Position 677: 1.861173324850427e-05
Position 5: 1.6691906855845043e-05
Position 315: 1.0772934081841707e-05
Position 317: 1.0531728120862678e-05
Position 65: 7.2172120201308e-06
Position 822: 3.384620376637238e-06
Position 592: 2.075417452339296e-06
Position 825: 1.7391008309638547e-06
Position 178: 1.7240824660087334e-06
Position 243: 1.0004744867721777e-06
Position 261: 8.372023003812877e-07
Position 940: 5.316672899097092e-07
Position 543: 2.985276962326423e-07
Position 651: 2.947425947443e-07
Position 246: 1.8455983213874247e-07
Position 1031: 1.626739519221367e-07
Position 528: 1.3763892164199368e-07
Position 994: 7.987320495357516e-08
Position 522: 4.4159807771413314e-08
Position 410: 3.532349603761598e-08
Position 756: 2.17696241690384e-08
Position 571: 1.0736439105280218e-08
Position 728: 6.768255374201018e-09
Position 412: 6.597399006630564e-09
Position 428: 2.3517763912423984e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 978: 0.9872516879603473
Position 428: 0.9665813444189352
Position 181: 0.9525803500848304
Position 686: 0.9446363171440111
Position 744: 0.049533052315629864
Position 1000: 0.00664511216648079
Position 77: 0.0025012893824538076
Position 994: 0.0017688941544876217
Position 233: 0.0012790108756245305
Position 516: 0.0007356948245167373
Position 185: 0.0007322049508836215
Position 200: 0.0005172402026996138
Position 773: 0.00037760595680472224
Position 845: 0.0003034738328399099
Position 1161: 0.0002898804318605338
Position 817: 0.00028913959812303726
Position 798: 0.00020137081532737745
Position 187: 0.00018480369709074823
Position 203: 0.00017328963619743713
Position 561: 0.00011528000798388202
Position 239: 0.0001058504113555648
Position 520: 0.00010538420364393718
Position 916: 0.00010420518904231076
Position 1089: 6.767214902474353e-05
Position 1048: 6.538871980692197e-05
Position 839: 6.192227853175327e-05
Position 1037: 6.058752494471711e-05
Position 337: 5.959440233985207e-05
Position 209: 5.1162979075643404e-05
Position 472: 4.5429964476880334e-05
Position 1006: 4.1798363080078056e-05
Position 770: 4.001612758478567e-05
Position 1009: 1.8852341275984752e-05
Position 528: 1.703647010471346e-05
Position 371: 1.587929436769327e-05
Position 1024: 1.1591460157264026e-05
Position 155: 1.1003220823839808e-05
Position 324: 8.150963942323797e-06
Position 788: 7.440189198703032e-06
Position 379: 7.372203679180942e-06
Position 100: 6.9604766846383454e-06
Position 116: 5.428096884964751e-06
Position 782: 4.900359661045075e-06
Position 589: 4.358742842860842e-06
Position 592: 3.79948438978371e-06
Position 543: 3.6665011668265557e-06
Position 849: 2.0504588772203767e-06
Position 315: 1.8926169181321285e-06
Position 483: 1.7846299075305507e-06
Position 927: 1.6684507185375235e-06
Position 285: 1.3983364633010379e-06
Position 1095: 1.2303481947152173e-06
Position 350: 1.0456286280853382e-06
Position 445: 9.195074335898994e-07
Position 246: 8.154773084438402e-07
Position 266: 5.814866352094316e-07
Position 854: 5.769541044550888e-07
Position 1138: 5.620886352318486e-07
Position 1045: 4.454391354544586e-07
Position 1123: 4.424403502786199e-07
Position 1060: 3.4291080534483325e-07
Position 243: 2.886676399211778e-07
Position 215: 2.4930025346973684e-07
Position 896: 2.3097825683995426e-07
Position 870: 1.3546596520288012e-07
Position 1055: 8.250823457626828e-08
Position 878: 5.335987668929199e-08
Position 294: 5.3321081830513774e-08
Position 480: 4.6852272642067943e-08
Position 609: 3.7255562453966917e-08
Position 130: 3.4863434729453834e-08
Position 290: 1.7711716739838905e-08
Position 805: 1.680823024310626e-08
Position 875: 1.1846980924014932e-08
Position 340: 1.092702854233774e-08
Position 814: 7.574505021649209e-09
Position 1106: 5.636174157313446e-09
Position 606: 4.147651010341485e-09
Position 326: 3.310368220126992e-09
Position 632: 2.2057896906388508e-09
Position 858: 1.4144951219149159e-09
Position 558: 1.235093696154137e-09
Position 254: 4.340570280681311e-10
Position 121: 5.297706274979338e-11
Position 627: 5.142609344189158e-13
