Gene = MCU
index = 1255
Annotated 5SS: [  132  1212 11681 12102 40098 40262 40423 40680]
Annotated 3SS: [ 1025 11583 11828 39865 40155 40320 40475 40740]
SMsplice 5SS: [ 1212 11681 12102 40098 40250 40423 40680]
SMsplice 3SS: [11583 11828 39865 40155 40320 40475 40740]
top_k =  1000
Partition function (log Z): -12.594548200425459

Sorted 5' Splice Sites (High to Low Probability):
Position 12102: 0.9999997599024091
Position 40680: 0.9811121228614336
Position 11681: 0.9774808267564064
Position 1212: 0.49697341316362625
Position 529: 0.23436473652060863
Position 41119: 0.11885944462322308
Position 1429: 0.05668449096087958
Position 2129: 0.0430140000444417
Position 520: 0.04090076443974829
Position 235: 0.04029898527908804
Position 883: 0.03077590272320787
Position 2133: 0.02380958435911575
Position 132: 0.016381681231721658
Position 11685: 0.014450524259385636
Position 2107: 0.012155584528828287
Position 41333: 0.012038798174480714
Position 823: 0.009201202944858721
Position 11689: 0.006680098370296921
Position 11736: 0.0004087235039773769
Position 2324: 0.0003449445188597163
Position 3975: 0.0002960386293223689
Position 2224: 0.00011028893549041739
Position 5968: 9.341824812799618e-05
Position 2902: 9.224713256684475e-05
Position 9591: 8.641410094463212e-05
Position 1484: 3.111829621179408e-05
Position 1372: 2.834014461636707e-05
Position 1304: 1.9914834156461274e-05
Position 4: 1.3555148357021502e-05
Position 99: 1.0394564499438553e-05
Position 775: 1.0171587737897426e-05
Position 903: 9.91542748574292e-06
Position 141: 9.125814795115157e-06
Position 592: 9.097595585471362e-06
Position 694: 8.613909274911486e-06
Position 14: 8.170882081366621e-06
Position 1002: 7.742732317447537e-06
Position 1344: 7.203505602543299e-06
Position 11952: 6.792254808373197e-06
Position 218: 6.6973999740939755e-06
Position 376: 5.7554454233339e-06
Position 689: 5.743427705073072e-06
Position 1380: 5.7176055491579935e-06
Position 267: 5.026582944743918e-06
Position 393: 4.070227901769668e-06
Position 437: 3.907531920924943e-06
Position 816: 3.045814139455773e-06
Position 11841: 2.4716648374693056e-06
Position 1783: 2.432215416268698e-06
Position 909: 2.417631255321974e-06
Position 608: 2.3532728120700793e-06
Position 23: 2.2998378035915915e-06
Position 604: 2.1694391607355995e-06
Position 85: 1.9881196110338137e-06
Position 673: 1.914783936107225e-06
Position 501: 1.858059912139698e-06
Position 17: 1.855680899872583e-06
Position 10: 1.7076501430738298e-06
Position 87: 1.70637218907601e-06
Position 1119: 1.6806202373961845e-06
Position 657: 1.3637852402254882e-06
Position 11868: 1.3107117241891642e-06
Position 149: 1.2949134129366264e-06
Position 994: 1.1573272455963364e-06
Position 1980: 1.0328922159448296e-06
Position 1230: 8.951115982642102e-07
Position 1383: 8.316451338410742e-07
Position 225: 8.27796974595895e-07
Position 11849: 8.01138498560845e-07
Position 153: 6.76287825766766e-07
Position 943: 5.885046735324233e-07
Position 700: 4.890426099598067e-07
Position 857: 4.85943449167004e-07
Position 1249: 4.4030721962052636e-07
Position 1045: 4.3477862000693106e-07
Position 1792: 4.0139527768960875e-07
Position 1420: 3.1117711729192565e-07
Position 2111: 2.298269783753378e-07
Position 1410: 2.2661804636346992e-07
Position 359: 2.2377949025200015e-07
Position 1171: 2.0600420409485458e-07
Position 1375: 1.6264354140690554e-07
Position 601: 1.377060371430851e-07
Position 320: 1.2593360268935732e-07
Position 735: 1.1403573220716283e-07
Position 1028: 8.963899037889621e-08
Position 255: 8.957325129512337e-08
Position 364: 8.448891276042675e-08
Position 27388: 5.2660053009459436e-08
Position 1043: 4.448954444155605e-08
