Gene = spict
index = 1887
Annotated 5SS: [368]
Annotated 3SS: [865]
SMsplice 5SS: [368]
SMsplice 3SS: [865]
top_k =  1000
Partition function (log Z): -4.200578259732072

Sorted 5' Splice Sites (High to Low Probability):
Position 368: 0.9465099816453092
Position 793: 0.3803335778093743
Position 115: 0.23860449211633544
Position 541: 0.050132703390906266
Position 109: 0.007460028389354664
Position 133: 0.00538249047162527
Position 348: 0.002067468425714151
Position 688: 0.0017785995164630367
Position 1204: 0.0015136958646162278
Position 1128: 0.0014698131078572047
Position 291: 0.0013044222728550196
Position 1409: 0.000661068744386779
Position 1414: 0.0006413162595970672
Position 1497: 0.0005702009283361138
Position 432: 0.00044707873899427257
Position 492: 0.0003221486458493002
Position 1048: 0.00032097690661209063
Position 1781: 0.00029573091502425864
Position 460: 0.00027751859142996
Position 1329: 0.00026618704161635135
Position 560: 0.0002581951000828569
Position 80: 0.0002498603742183105
Position 1201: 0.00024179601811419264
Position 184: 0.00020552573878441846
Position 372: 0.0002026039323526546
Position 451: 0.00020150737488543841
Position 1425: 0.00016257618673612057
Position 186: 0.00015787019304188638
Position 301: 0.00015429158678959386
Position 1156: 0.00015045915106712732
Position 1519: 0.00014171926557754607
Position 636: 0.000130254990610176
Position 1597: 0.00011701015555600375
Position 29: 8.387118944458777e-05
Position 119: 7.55476116007105e-05
Position 465: 5.6928394127026636e-05
Position 1144: 5.328299978135727e-05
Position 1521: 5.1257982231977435e-05
Position 436: 4.8356417845210556e-05
Position 1432: 4.72889313088553e-05
Position 752: 4.612370075614595e-05
Position 418: 3.994144408426044e-05
Position 783: 3.657670656717726e-05
Position 865: 3.1727579460593085e-05
Position 420: 2.9669902937407078e-05
Position 1741: 1.9447631823812188e-05
Position 398: 1.7441022625143368e-05
Position 309: 6.640403856112656e-06
Position 1794: 5.281587522074509e-06
Position 620: 4.072858581488287e-06
Position 339: 3.883530237916793e-06
Position 211: 3.1533408045207365e-06
Position 582: 1.8884956454411902e-06
Position 434: 1.7683644212355513e-06
Position 12: 1.0576822150503873e-06
Position 245: 9.828297294091672e-07
Position 442: 3.4863741189436627e-07
Position 4: 2.253507376313141e-07
Position 524: 1.858072384317455e-07
Position 1132: 5.027363059022893e-08
Position 1207: 3.1183704770068015e-08
Position 1158: 9.244123252713695e-09
Position 961: 3.3738762627799115e-09
Position 1023: 1.7605838698698895e-09
Position 946: 1.2691120867340796e-09
Position 1450: 1.1948816751878604e-09
Position 1148: 9.202773772365158e-10
Position 869: 3.976127672783814e-10
Position 1246: 3.9402785978650465e-10
Position 944: 7.786597607816853e-11
Position 930: 3.5758438043433895e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 865: 0.9200285472179135
Position 739: 0.2985760576830198
Position 251: 0.21473797744426104
Position 620: 0.08122142313846262
Position 418: 0.05808921691850201
Position 691: 0.031707915517088445
Position 540: 0.013435018183540473
Position 270: 0.004741402417897974
Position 769: 0.0037427807911474134
Position 1479: 0.0034119744767836285
Position 651: 0.001784552151535628
Position 1626: 0.0017186733436006243
Position 1546: 0.0012877313471416985
Position 432: 0.0012243661543998017
Position 1260: 0.001099995139625894
Position 290: 0.0009995531777290568
Position 1571: 0.0005611257139376123
Position 267: 0.0005056284919230856
Position 1761: 0.0004502510349454439
Position 483: 0.00036826584994298296
Position 747: 0.00033919940633797205
Position 1456: 0.0003323644384465654
Position 1900: 0.0003227248350631885
Position 460: 0.00025333324085381027
Position 752: 0.0002300074706697887
Position 791: 0.0002100845839800497
Position 1638: 0.00018001156621386062
Position 180: 0.00015982072122358435
Position 1409: 0.00015790023080164525
Position 804: 0.00015398333766082013
Position 1066: 0.00015113275678184113
Position 1414: 0.00014361636044877958
Position 1207: 0.00013752078694142465
Position 507: 0.00012889952619857207
Position 465: 9.355997493057368e-05
Position 812: 7.763661382657612e-05
Position 958: 7.468193523049403e-05
Position 1650: 6.49664075789074e-05
Position 1423: 5.467837180853097e-05
Position 492: 5.1162500802035735e-05
Position 1273: 4.796914603993875e-05
Position 880: 3.955377704311311e-05
Position 974: 3.604945134098863e-05
Position 1284: 3.430790356221125e-05
Position 99: 3.09430054816953e-05
Position 451: 3.0037700437949148e-05
Position 877: 2.6439065185415543e-05
Position 1919: 2.2323574503864213e-05
Position 760: 2.1163004796672964e-05
Position 990: 1.909340971626525e-05
Position 139: 1.593884992377709e-05
Position 1913: 1.4284587204806573e-05
Position 1071: 1.2564812001080038e-05
Position 1368: 7.075354826632243e-06
Position 496: 6.497699374747635e-06
Position 1360: 5.7249859577220685e-06
Position 1089: 5.2460880455184115e-06
Position 1906: 4.991861400258164e-06
Position 1386: 4.016365830257566e-06
Position 136: 2.6426605975587345e-06
Position 501: 2.2025177740374537e-06
Position 108: 4.6457761670440793e-07
Position 85: 1.6736150181340826e-07
Position 287: 1.5741273508761907e-07
Position 313: 1.4515844276699688e-07
Position 339: 1.351644234258505e-07
Position 74: 1.1071685639000551e-07
Position 335: 9.359532445489142e-08
Position 372: 7.412231867416963e-08
Position 389: 4.155376068778723e-08
Position 368: 7.736471762153855e-09
Position 319: 5.7625784074233286e-09
Position 377: 4.524639817475349e-09
Position 56: 2.619270078906945e-09
Position 300: 2.2803450471323492e-09
Position 64: 7.119973541246729e-10
