Gene = Cpr65Ay
index = 1100
Annotated 5SS: [ 75 226]
Annotated 3SS: [133 281]
SMsplice 5SS: [ 75 226]
SMsplice 3SS: [133 281]
top_k =  1000
Partition function (log Z): -2.4815145413114954

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.9874118357979108
Position 226: 0.7806782316183215
Position 231: 0.023170071038260787
Position 198: 0.019666745188636627
Position 7: 0.0017418737063370016
Position 364: 0.001546073424810657
Position 395: 0.0014286958040496795
Position 461: 0.000712333420453913
Position 475: 0.0003338016999105108
Position 436: 0.00029299031521134224
Position 331: 0.00028991531343873023
Position 422: 0.0001741551574189265
Position 240: 0.00016328335567379176
Position 324: 6.919774292280447e-05
Position 46: 5.7626031327666054e-05
Position 382: 2.436434519944982e-05
Position 12: 2.072816419612137e-05
Position 429: 1.8180778812197162e-05
Position 346: 8.260478549389406e-06
Position 119: 1.1746258470311198e-06
Position 173: 2.2101518604063284e-07
Position 160: 2.107512267591725e-07
Position 143: 1.582486687332748e-07
Position 244: 1.1483965290906723e-07
Position 145: 6.853420100845275e-09
Position 299: 4.74923190718722e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 133: 0.9871645160483256
Position 281: 0.8208426012285973
Position 533: 0.003889048619930475
Position 306: 0.0017867323344264332
Position 385: 0.00121785182899595
Position 468: 0.0010939341249500826
Position 138: 0.00044170013679689445
Position 481: 0.0003068028038788698
Position 331: 0.0002163651111898742
Position 336: 0.000159005298414279
Position 415: 0.00015516722048645074
Position 143: 0.00011848666714425088
Position 435: 7.355362260756998e-05
Position 351: 7.184208533965969e-05
Position 106: 5.578984512921374e-05
Position 346: 5.181086270194075e-05
Position 249: 4.2132271525895513e-05
Position 404: 3.974071435572655e-05
Position 197: 1.5031361697965853e-05
Position 308: 1.490325139836048e-05
Position 394: 1.4617078750473206e-05
Position 360: 1.3601030440179144e-05
Position 448: 8.457480661619871e-06
Position 504: 4.281786955288265e-06
Position 91: 2.520355653518288e-06
Position 511: 2.4577562787039212e-06
Position 363: 2.174151124942412e-06
Position 230: 2.046186055644234e-06
Position 429: 1.7089314296541358e-06
Position 79: 8.748631974157184e-07
Position 193: 1.9694175294840047e-07
Position 315: 1.6877662881271562e-07
Position 240: 9.472924823952365e-08
Position 214: 2.7666399430758098e-08
Position 506: 1.1088365155927311e-08
Position 208: 1.0948842582444428e-10
Position 211: 5.047283914685493e-11
Position 206: 4.366622706264067e-11
Position 202: 2.1311842409390632e-13
