Gene = TfAP-2
index = 1552
Annotated 5SS: [12511 22822 23059 24523 25357 25682 25953]
Annotated 3SS: [22590 22872 24314 25166 25416 25784 26015]
SMsplice 5SS: [   69 22822 23059 24523 25357 25682 25953]
SMsplice 3SS: [22590 22890 24314 25166 25416 25784 26015]
top_k =  1000
Partition function (log Z): 16.747179200354147

Sorted 5' Splice Sites (High to Low Probability):
Position 25357: 0.9994459418609619
Position 25953: 0.9984706762820662
Position 23059: 0.9957598872136117
Position 25682: 0.9954201597873665
Position 24523: 0.9929043827132924
Position 22822: 0.9915376368092255
Position 69: 0.9811040768149965
Position 25009: 0.4737529766958982
Position 24234: 0.21153210521739232
Position 4350: 0.1975397317834211
Position 24768: 0.11545177381062048
Position 12511: 0.08760982791545512
Position 14360: 0.04585690086071952
Position 4789: 0.04339774611691963
Position 565: 0.01768620647461466
Position 3698: 0.013096203907924802
Position 24001: 0.01246899740301276
Position 24134: 0.010563516281366592
Position 3962: 0.010186637636997346
Position 26101: 0.009943299592388178
Position 24789: 0.009424165910043348
Position 26420: 0.008907328539940746
Position 25110: 0.0073472560033169204
Position 26226: 0.0067239614700654
Position 25529: 0.006362057927314866
Position 23328: 0.006102098248571113
Position 24957: 0.005917679606766472
Position 2428: 0.0049077843277227735
Position 25108: 0.004340301176521106
Position 1773: 0.004121717547736513
Position 25048: 0.004093975697167444
Position 24677: 0.003788869395854022
Position 25488: 0.0037667396862581686
Position 26283: 0.003212517485496888
Position 25701: 0.002601364789723895
Position 24097: 0.0025693106791516247
Position 4188: 0.0023471326662968073
Position 3948: 0.0022824454903612066
Position 23888: 0.001745228442168788
Position 314: 0.0017303193691965994
Position 2958: 0.0017235107621699603
Position 2723: 0.0015774753541824217
Position 26250: 0.0015766238802598694
Position 3003: 0.0014999594470448652
Position 24970: 0.0012401362811453847
Position 1391: 0.0010671170297484006
Position 1285: 0.001065258624124481
Position 25031: 0.0009436671968340533
Position 2588: 0.0008772464395489801
