Gene = Sgs3
index = 1497
Annotated 5SS: [42]
Annotated 3SS: [114]
SMsplice 5SS: [42]
SMsplice 3SS: [114]
top_k =  1000
Partition function (log Z): -7.2103692505850985

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9953327674131407
Position 46: 0.0027893456434638945
Position 71: 0.0017218675267624175
Position 250: 0.0003120184482586426
Position 5: 0.00013227345875516084
Position 190: 1.1044330566533525e-05
Position 199: 5.933034065095235e-06
Position 1001: 9.185393386479404e-07
Position 154: 7.793282428867202e-07
Position 163: 6.110858585626713e-07
Position 338: 5.869092457513601e-07
Position 64: 4.742559962372845e-07
Position 1080: 3.050105682176496e-07
Position 458: 2.7125224398022065e-07
Position 988: 2.5304553206935516e-07
Position 1025: 2.3376147783011747e-07
Position 1014: 1.5372282535154682e-07
Position 1052: 1.2113271185253195e-07
Position 215: 1.1520123321327068e-07
Position 98: 1.1038014056753161e-07
Position 945: 6.476345042625669e-08
Position 503: 5.215656806017438e-08
Position 860: 4.6754292483013176e-08
Position 907: 4.6522303958199284e-08
Position 865: 3.522728526666038e-08
Position 1007: 3.026476899958442e-08
Position 1040: 2.478175391127068e-08
Position 1115: 2.266070339002818e-08
Position 926: 4.149847951323655e-09
Position 981: 3.577582268011803e-09
Position 144: 7.206619412468946e-16
Position 880: 2.5401833510429445e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 114: 0.9990913099804487
Position 317: 0.00039574012040483866
Position 857: 0.00014389708767284517
Position 542: 9.15041597297687e-05
Position 482: 7.136981011231394e-05
Position 437: 7.043135193685878e-05
Position 527: 6.378757148990305e-05
Position 407: 4.39326899472182e-05
Position 587: 3.9484504392990174e-05
Position 812: 3.464691505376547e-05
Position 362: 2.88701657003253e-05
Position 647: 2.151884289368715e-05
Position 872: 2.1312308054456203e-05
Position 393: 2.0892418189418562e-05
Position 752: 2.058354000860145e-05
Position 302: 1.870855754146655e-05
Position 722: 1.7159836090711438e-05
Position 782: 1.6645542680199004e-05
Position 677: 1.5729797272316944e-05
Position 572: 1.232204103769771e-05
Position 557: 6.739950827912271e-06
Position 797: 6.143691349897943e-06
Position 422: 5.580994429229568e-06
Position 602: 5.435209082000593e-06
Position 377: 4.557038814876534e-06
Position 617: 4.271928290340647e-06
Position 1163: 3.7617568517289324e-06
Position 662: 3.6823710904152105e-06
Position 707: 3.6231060982726074e-06
Position 827: 3.4815291600418984e-06
Position 842: 3.321717359201126e-06
Position 767: 2.9965335723497952e-06
Position 1012: 2.8668636735416745e-06
Position 737: 2.5952434914127795e-06
Position 632: 1.9983376625056097e-06
Position 932: 1.6605833582069784e-06
Position 1148: 1.5217118282847307e-06
Position 914: 1.4429209700066958e-06
Position 692: 1.309852872499158e-06
Position 874: 1.0755126768265984e-06
Position 1167: 8.050217147482146e-07
Position 118: 6.91081647447656e-07
Position 888: 5.471178814687241e-07
Position 968: 4.145311926890265e-07
Position 962: 9.629729148110086e-08
Position 1020: 4.150363534880799e-08
Position 79: 4.691504226620107e-09
