Gene = Rpb8
index = 1455
Annotated 5SS: [185]
Annotated 3SS: [255]
SMsplice 5SS: [185]
SMsplice 3SS: [255]
top_k =  1000
Partition function (log Z): -5.174541870506012

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9759462810969886
Position 192: 0.023951933842165162
Position 680: 0.0004149605260057782
Position 527: 6.972315448752253e-05
Position 666: 6.014826912411415e-05
Position 158: 4.464617080380742e-05
Position 196: 3.299302327308965e-05
Position 76: 1.495021127925751e-05
Position 323: 8.810146413115222e-06
Position 482: 8.710364340224966e-06
Position 294: 8.472158279747425e-06
Position 536: 7.661013893780725e-06
Position 637: 5.966728319504606e-06
Position 353: 3.5578018265307412e-06
Position 425: 2.6697748953161173e-06
Position 463: 1.9027597952950213e-06
Position 112: 1.039020837532092e-06
Position 531: 1.0152420540563543e-06
Position 333: 5.490283883623404e-07
Position 435: 4.2711875281082827e-07
Position 66: 3.3037082203668434e-07
Position 362: 2.3223750340505437e-07
Position 331: 1.8190417123037207e-07
Position 359: 1.1929116652924831e-07
Position 255: 5.051159085022367e-08
Position 270: 4.360491849952979e-08
Position 395: 1.6996878212166574e-08
Position 605: 8.486094585899637e-09
Position 603: 1.7251223752698748e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 255: 0.9988738307449881
Position 744: 0.0005206668038035589
Position 227: 0.0004956940609217675
Position 299: 0.00045315735072473196
Position 314: 7.92399338395839e-05
Position 635: 4.8894239012454065e-05
Position 281: 2.811603221073297e-05
Position 553: 2.7770164305594832e-05
Position 368: 1.9875607700838102e-05
Position 413: 1.1927605479323684e-05
Position 270: 5.638257160081906e-06
Position 323: 4.872888961259414e-06
Position 148: 4.6969788800705525e-06
Position 750: 4.641690210684544e-06
Position 475: 2.289312010681285e-06
Position 174: 1.7414675443947142e-06
Position 545: 1.5539393454331997e-06
Position 359: 6.145758733832306e-07
Position 122: 5.55778831794492e-07
Position 425: 3.2517789677233004e-07
Position 503: 3.1387185994684843e-07
Position 695: 2.2263612056394643e-07
Position 497: 1.783057519648893e-07
Position 581: 1.59241371414169e-07
Position 112: 1.2279933693143373e-07
Position 674: 8.183839977971883e-08
Position 353: 5.1122563348658994e-08
Position 665: 4.94069314918622e-08
Position 520: 4.283517603217289e-08
Position 458: 1.842086086552643e-08
Position 527: 1.76526385634012e-08
Position 184: 1.5760752358174772e-08
Position 482: 1.4584253151338423e-08
Position 570: 9.942639718128897e-09
Position 560: 8.264898062149155e-10
Position 189: 5.792773149171459e-10
Position 205: 1.4606708828789493e-10
