Gene = Obp69a
index = 1343
Annotated 5SS: [107 247 404 569]
Annotated 3SS: [167 311 465 621]
SMsplice 5SS: [107 247 404]
SMsplice 3SS: [167 311 465]
top_k =  1000
Partition function (log Z): -2.150800688428054

Sorted 5' Splice Sites (High to Low Probability):
Position 247: 0.883431679211594
Position 404: 0.8331838877045195
Position 107: 0.6393600631477028
Position 569: 0.2871366083741236
Position 251: 0.06747410717978507
Position 243: 0.018044577530129443
Position 547: 0.010245056136618837
Position 394: 0.0045806218559375726
Position 385: 0.0032582959217716096
Position 408: 0.0028899266320225863
Position 198: 0.00183076131418189
Position 38: 0.001411888155578352
Position 111: 0.0009915759073089025
Position 96: 0.0008712886555219567
Position 557: 0.0007043906869556579
Position 367: 0.0006095578619068945
Position 578: 0.0005303134619976626
Position 508: 0.00028662394540743475
Position 551: 0.00027309252653943733
Position 325: 0.00012293466725740533
Position 719: 8.101466955106141e-05
Position 675: 5.787642125666493e-05
Position 329: 3.914354658278793e-05
Position 290: 2.5368566410975497e-05
Position 54: 1.8921230283150978e-05
Position 608: 1.6056901876306238e-05
Position 369: 1.5833187079340205e-05
Position 314: 9.999049483844682e-06
Position 662: 7.397497376443344e-06
Position 708: 5.088167193595758e-06
Position 269: 4.876343112313414e-06
Position 501: 3.5988073015672176e-06
Position 168: 1.0429339914432502e-06
Position 637: 6.479477327251161e-07
Position 657: 1.8890379866288692e-07
Position 148: 1.6141031569629781e-07
Position 580: 7.795882798883492e-08
Position 151: 5.561678676626528e-08
Position 154: 7.144364171320454e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 311: 0.9367015191486621
Position 465: 0.8557748662756595
Position 167: 0.6408704047757625
Position 621: 0.30165230763031714
Position 353: 0.009892488640251143
Position 446: 0.0064350902109649435
Position 611: 0.0022450975245652187
Position 496: 0.0010113385118901556
Position 594: 0.0008658578734590183
Position 96: 0.0008015245186151175
Position 148: 0.00033291439382263815
Position 768: 0.0001641955036827895
Position 194: 0.00014878873779307803
Position 662: 0.0001151667871273254
Position 197: 8.717353411861639e-05
Position 339: 7.608444385584495e-05
Position 722: 6.670840230610711e-05
Position 630: 6.403072718750327e-05
Position 763: 5.97600995907172e-05
Position 507: 4.333265136719699e-05
Position 775: 1.9689135541988902e-05
Position 325: 1.9389590670011475e-05
Position 547: 1.8867060060005157e-05
Position 567: 1.8273925904638967e-05
Position 623: 1.7947230356651556e-05
Position 708: 5.196972530122528e-06
Position 699: 4.645866724215406e-06
Position 780: 3.312623560448759e-06
Position 230: 3.274141164184148e-06
Position 551: 1.020335523607193e-06
Position 255: 9.489174259171127e-07
Position 234: 6.430933667761989e-07
Position 104: 5.320615092638167e-07
Position 519: 5.122049041716011e-07
Position 361: 5.059063575897851e-07
Position 246: 4.2600723231653696e-07
Position 765: 3.888489696513902e-07
Position 367: 2.392656194056714e-07
Position 107: 1.0469129233163804e-07
Position 206: 2.135849018270788e-08
Position 251: 1.3775664151669853e-08
Position 237: 2.567901035666912e-09
Position 111: 1.2055631554098269e-09
Position 202: 2.8555316699550765e-12
