Gene = Mrtf
index = 1286
Annotated 5SS: [ 4914 37892 38117 41860]
Annotated 3SS: [37066 37975 41793 42477]
SMsplice 5SS: [  279 37892 38117 41860]
SMsplice 3SS: [37066 37975 41793 42477]
top_k =  1000
Partition function (log Z): -7.57766273450502

Sorted 5' Splice Sites (High to Low Probability):
Position 37892: 0.9996587146150735
Position 38117: 0.9955921050362265
Position 41860: 0.908604872183342
Position 279: 0.7785197345690329
Position 38477: 0.5216364755361637
Position 911: 0.38900103236869393
Position 43369: 0.29908733026480017
Position 402: 0.20025123550075352
Position 14532: 0.1913639934716757
Position 42359: 0.14630905710013117
Position 18238: 0.12566194016094723
Position 43192: 0.07373824791355439
Position 48376: 0.07214996451786031
Position 41712: 0.057120923496570594
Position 39252: 0.054559387150910695
Position 43140: 0.036398709882675837
Position 44928: 0.02663780670699116
Position 42417: 0.02474474362806204
Position 39065: 0.01596649786311863
Position 954: 0.010739605483560885
Position 772: 0.009390271308855041
Position 39049: 0.008761602633685717
Position 40826: 0.008135623101768264
Position 4914: 0.006318428634901723
Position 2048: 0.00631348865165349
Position 41681: 0.005969125926234732
Position 42145: 0.005427905312117121
Position 48274: 0.0040489927446686926
Position 356: 0.003965500107711358
Position 39256: 0.003912985399541912
Position 43163: 0.0038852191860470134
Position 41316: 0.0031454242873936293
Position 38570: 0.0026190095587512716
Position 38138: 0.0025704178294154744
Position 41864: 0.0023241777596795504
Position 42433: 0.0014270784775538762
Position 41266: 0.0012891552294999667
Position 41314: 0.0012596843707337586
Position 39211: 0.0010951244539103532
Position 39249: 0.0009829386928458987
Position 345: 0.0009075191794361472
Position 38282: 0.000869741659499632
Position 38959: 0.0008206177842825286
Position 43183: 0.000797381933462044
Position 39220: 0.0007758950755848754
Position 360: 0.0006056689282235072
Position 38693: 0.000564584550575171
Position 42306: 0.0005434326375082484
Position 38481: 0.0004894324741332418
Position 330: 0.00048328567248204446
Position 38496: 0.00044373263269747776
Position 38744: 0.00042009515171030854
Position 43185: 0.00036037174763247986
Position 43606: 0.00035940683481410933
Position 43204: 0.0003428490599974174
Position 269: 0.0003404258165582895
Position 39933: 0.0002817125641923178
Position 41903: 0.0002694025766544458
Position 38461: 0.00023358438941413162
Position 41871: 0.00016131966593350074
Position 39045: 0.00014843879806555432
Position 38842: 0.00014390284826561466
Position 42274: 0.00013275196298380721
Position 42251: 0.00012050870566410479
Position 42304: 9.379110349694712e-05
Position 39475: 9.01896714681914e-05
Position 340: 8.249008130785485e-05
Position 42948: 7.763288439575531e-05
Position 38929: 6.518331592316438e-05
Position 40427: 5.903915392143243e-05
Position 1698: 5.480929607211325e-05
Position 334: 5.462916281087589e-05
Position 1136: 3.658580542437477e-05
Position 38964: 3.574691130450246e-05
Position 27: 3.51478630237412e-05
Position 43914: 3.449206647640184e-05
Position 110: 3.393475370508071e-05
