Gene = Taf12L
index = 1543
Annotated 5SS: [209]
Annotated 3SS: [268]
SMsplice 5SS: [209]
SMsplice 3SS: [268]
top_k =  1000
Partition function (log Z): -5.601636231496858

Sorted 5' Splice Sites (High to Low Probability):
Position 209: 0.9936372744676008
Position 339: 0.005726086437235797
Position 213: 0.0029086203671544776
Position 170: 0.002833370960499024
Position 550: 0.001040512705539964
Position 518: 0.0008301642029036366
Position 184: 0.0003078708647082076
Position 398: 7.23450080664503e-05
Position 428: 2.9277706954836815e-05
Position 564: 2.3774189979212625e-05
Position 448: 2.3083653041718408e-05
Position 574: 2.2583131851103505e-05
Position 24: 1.797984227338113e-05
Position 466: 1.7204463530278586e-05
Position 412: 1.3108143601382896e-05
Position 496: 1.1857214923616847e-05
Position 250: 9.432311154979053e-06
Position 478: 7.422333846188224e-06
Position 534: 4.322026300020616e-06
Position 434: 2.512597000110564e-06
Position 403: 2.300248810741893e-06
Position 123: 1.5772520740409662e-06
Position 374: 1.4118457154721392e-06
Position 149: 1.2559010463444795e-06
Position 40: 8.388207329569961e-07
Position 188: 4.385070907466765e-07
Position 76: 2.379757455250686e-07
Position 299: 1.1038019992446741e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 268: 0.9756222935648996
Position 304: 0.021883128567147248
Position 398: 0.005845086983311563
Position 629: 0.001995328347987602
Position 280: 0.0007430332086276032
Position 578: 0.0005887803422385274
Position 232: 0.0005373829806028617
Position 403: 0.00014836291244147822
Position 582: 5.1481544947491846e-05
Position 338: 4.394645426790938e-05
Position 460: 2.22469734643113e-05
Position 506: 1.8294727215581012e-05
Position 357: 1.0368264777612255e-05
Position 521: 9.76286985455212e-06
Position 66: 8.277682428515838e-06
Position 105: 5.3185339931885884e-06
Position 362: 4.328128333860272e-06
Position 412: 2.976962937160163e-06
Position 88: 2.654159259002753e-06
Position 432: 1.1812323736044315e-06
Position 421: 9.358125156396255e-07
Position 448: 8.093647384666127e-07
Position 590: 7.968124550007472e-07
Position 123: 1.5279836834904748e-07
Position 132: 2.42479351554683e-08
Position 137: 9.855239317579437e-09
Position 466: 6.263752806175919e-09
Position 184: 1.6030315271477048e-09
Position 157: 9.979346064668117e-10
Position 114: 5.415310868312794e-10
Position 144: 4.91660910256897e-10
Position 423: 2.5935508727383203e-10
Position 160: 5.919295562345521e-11
Position 201: 7.828915198380362e-12
Position 154: 1.6948880278715019e-12
Position 178: 1.0227843711993784e-12
Position 90: 1.0402935178199196e-13
Position 164: 7.747547369228723e-14
Position 168: 3.2994801857896294e-14
Position 180: 5.9575750703002375e-18
