Gene = TfIIEbeta
index = 1554
Annotated 5SS: [174 351 589 940]
Annotated 3SS: [245 425 648 995]
SMsplice 5SS: [174 351 599 940]
SMsplice 3SS: [245 425 648 995]
top_k =  1000
Partition function (log Z): 4.511749089899407

Sorted 5' Splice Sites (High to Low Probability):
Position 351: 0.9959330419593517
Position 174: 0.9419209366742858
Position 940: 0.7776638108337395
Position 599: 0.5185380157915511
Position 589: 0.46616364125433163
Position 844: 0.059555115274499075
Position 880: 0.010802106607758426
Position 620: 0.00348167872969859
Position 1237: 0.0029244855963580377
Position 580: 0.001237623582465117
Position 877: 0.0010352664144960039
Position 603: 0.0007640074944128934
Position 711: 0.0004504218580914167
Position 42: 0.0003725388325352346
Position 1250: 0.00034689760846523483
Position 178: 0.00034669460491869585
Position 1206: 0.000309757930952372
Position 685: 0.00028349947327326627
Position 944: 0.0002772663683099345
Position 610: 6.822706146545233e-05
Position 355: 6.804378184277857e-05
Position 388: 6.747899993008607e-05
Position 31: 5.008749232763228e-05
Position 761: 3.4904038701266316e-05
Position 5: 2.7671991649345487e-05
Position 1239: 2.6159875526377063e-05
Position 716: 1.568585592852414e-05
Position 49: 1.3424839398455387e-05
Position 70: 9.808635741229583e-06
Position 1035: 8.801850979851208e-06
Position 814: 4.678251612471093e-06
Position 481: 3.741653035080643e-06
Position 1067: 3.4370227359332066e-06
Position 453: 3.42223609421211e-06
Position 189: 3.106267830743057e-06
Position 727: 1.846306266022054e-06
Position 446: 5.466174136859453e-07
Position 701: 4.140459179472576e-07
Position 400: 2.9117711965082864e-07
Position 80: 2.618922836169266e-07
Position 996: 2.2329242474936278e-07
Position 1160: 2.1172725503623522e-07
Position 500: 1.8979272587861374e-07
Position 438: 1.077088995037771e-07
Position 466: 6.584339013078689e-08
Position 1197: 6.309498430689894e-08
Position 613: 3.000024149545351e-08
Position 247: 2.8962465154808047e-08
Position 258: 1.7977972621970577e-08
Position 695: 3.1553966132383824e-09
Position 648: 1.0553785445083607e-10
Position 984: 9.531338811894244e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 425: 0.9779899528039815
Position 648: 0.9776703424383943
Position 245: 0.9278738334566919
Position 995: 0.8338876104446916
Position 972: 0.01747623103893066
Position 446: 0.01077786074374972
Position 272: 0.008295135777485928
Position 684: 0.005728505952310428
Position 923: 0.004723750806661944
Position 659: 0.004474797615701927
Position 1303: 0.003547956918650054
Position 507: 0.002451902438846962
Position 305: 0.0020907068651391247
Position 258: 0.0012129824679373146
Position 453: 0.000841507604281935
Position 786: 0.0007059220986637687
Position 255: 0.0006492758671452119
Position 432: 0.0005984842665269886
Position 293: 0.0005524324178396142
Position 121: 0.0003252844634987118
Position 1100: 0.0001847062018286485
Position 277: 0.00010578759563021149
Position 900: 9.595589964154949e-05
Position 903: 6.969253708210185e-05
Position 335: 5.959900180069432e-05
Position 477: 5.877017613703916e-05
Position 771: 4.947996495735864e-05
Position 83: 4.123849682144251e-05
Position 1267: 3.970953321788627e-05
Position 264: 3.1196850008305676e-05
Position 711: 2.4960408078340347e-05
Position 1013: 2.3046822158246027e-05
Position 716: 2.2259551861443758e-05
Position 66: 1.9990536220341655e-05
Position 1253: 1.637854973724277e-05
Position 1058: 1.226216592299768e-05
Position 1016: 1.1211816155175042e-05
Position 884: 9.583702886202395e-06
Position 466: 8.851736111475974e-06
Position 1260: 8.023091688133707e-06
Position 695: 6.366950967464359e-06
Position 63: 6.280232210507568e-06
Position 1258: 6.189300264336468e-06
Position 735: 4.302281333043738e-06
Position 727: 4.262142245919076e-06
Position 1139: 3.836944887317596e-06
Position 1130: 3.5895592752043637e-06
Position 819: 3.4089228298864558e-06
Position 723: 3.069116393804426e-06
Position 1007: 2.6390213437396614e-06
Position 540: 1.7082174859219617e-06
Position 843: 1.0483968557831359e-06
Position 1136: 9.273289772091928e-07
Position 585: 9.141915942116669e-07
Position 1082: 8.407962023811895e-07
Position 741: 6.63617428994014e-07
Position 1079: 5.203018105955e-07
Position 691: 4.807244599147506e-07
Position 593: 3.1011814015492794e-07
Position 382: 2.760080521853076e-07
Position 561: 2.6245765822794515e-07
Position 153: 2.0453092004669983e-07
Position 1235: 9.307581379008992e-08
Position 619: 8.716404105629045e-08
Position 663: 8.043289714807534e-08
Position 206: 6.797438277786385e-08
Position 1115: 6.626952351573871e-08
Position 1119: 6.12695961386778e-08
Position 1154: 3.1012655932914776e-08
Position 364: 8.560433706266536e-09
Position 141: 7.348503227518487e-09
Position 355: 1.5896000637648636e-09
Position 70: 7.264928591498483e-10
Position 599: 6.771806252183488e-10
Position 552: 8.507768891308861e-11
Position 178: 5.718421252500726e-11
Position 85: 5.071550001849437e-12
Position 610: 5.030625027147581e-12
Position 366: 2.084526650617841e-21
