Gene = l(2)SH0834
index = 1746
Annotated 5SS: [201]
Annotated 3SS: [314]
SMsplice 5SS: [201]
SMsplice 3SS: [314]
top_k =  1000
Partition function (log Z): -3.9189378901436687

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.7696482957639986
Position 245: 0.1050494189472522
Position 220: 0.08450639723268114
Position 234: 0.019639685386979553
Position 651: 0.011234101009980747
Position 259: 0.010745535430701097
Position 181: 0.009091172352726532
Position 681: 0.005414529385413871
Position 418: 0.0042515938047963915
Position 790: 0.003721447368398123
Position 698: 0.0032902265105111384
Position 353: 0.002283606625016455
Position 643: 0.0015951041151350451
Position 446: 0.0014964896137644478
Position 598: 0.001447253921004167
Position 676: 0.0012433938108632782
Position 761: 0.001069512017365144
Position 921: 0.0005477936800505134
Position 707: 0.000508795176998142
Position 232: 0.0004878045637499201
Position 926: 0.00040691537070233064
Position 175: 0.00031530662777185295
Position 607: 0.0002651782756383357
Position 955: 0.00026122156014130466
Position 20: 0.00023924889077588918
Position 530: 0.00019233440078382698
Position 8: 0.00017814073307246113
Position 48: 0.00017363838929468985
Position 670: 0.00010792241243870023
Position 378: 0.00010719682802613673
Position 136: 0.00010595863115225118
Position 711: 9.682732655002468e-05
Position 318: 8.329876386055706e-05
Position 704: 4.256273871644707e-05
Position 504: 3.5888657550977575e-05
Position 271: 3.163235455441184e-05
Position 936: 2.1141104987661258e-05
Position 702: 2.0928559117978577e-05
Position 29: 1.2192505480685966e-05
Position 792: 1.079452176724498e-05
Position 31: 9.814345077642008e-06
Position 777: 9.36172219686788e-06
Position 506: 7.225699249099286e-06
Position 269: 4.653739695326581e-06
Position 862: 2.9457697449151354e-06
Position 830: 1.7737824654812768e-06
Position 895: 1.7734393568160993e-07
Position 88: 9.10714062218573e-08
Position 293: 8.513402207070543e-08
Position 518: 1.8074391609073186e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 314: 0.9899698812707922
Position 539: 0.015135384191155248
Position 741: 0.012838858544179594
Position 852: 0.009899356753968348
Position 787: 0.004781549141347159
Position 716: 0.0025656420388637025
Position 670: 0.0010583296386580537
Position 988: 0.0009110804892323278
Position 858: 0.0007628147942277685
Position 556: 0.0004721902520978879
Position 1015: 0.0003986797439689009
Position 826: 0.00025591951227115737
Position 902: 0.0002129886933405617
Position 88: 0.00018134308148327134
Position 830: 0.000140684965647277
Position 68: 0.00010562738076864056
Position 65: 8.490923571427854e-05
Position 504: 6.86116804215765e-05
Position 352: 3.613255646199571e-05
Position 806: 2.2440987733708198e-05
Position 630: 1.6762367921644438e-05
Position 59: 1.5955433389467464e-05
Position 392: 1.376195763255264e-05
Position 117: 1.3398625240054752e-05
Position 720: 7.643622697906792e-06
Position 995: 7.230142539279536e-06
Position 411: 7.0196882399346645e-06
Position 375: 5.5332650614723295e-06
Position 439: 4.9780567025000456e-06
Position 444: 4.531237530595882e-06
Position 810: 4.252086663524455e-06
Position 585: 3.782103777511258e-06
Position 569: 3.7502783033257728e-06
Position 229: 2.314044833294001e-06
Position 643: 8.850101615120955e-07
Position 446: 6.916430279033775e-07
Position 911: 5.412816350934209e-07
Position 651: 3.4087063391223185e-07
Position 566: 1.7249213397372778e-07
Position 358: 1.6393764937157066e-07
Position 187: 1.0841515664149421e-07
Position 121: 1.0591230941106375e-07
Position 866: 9.639709871525626e-08
Position 920: 8.414780307585624e-08
Position 165: 2.744038709496835e-08
Position 168: 2.5452843627888708e-08
Position 142: 2.0891193834012665e-08
Position 134: 1.1838660588187914e-08
Position 541: 5.538585855377525e-10
Position 441: 1.0887113410325985e-11
