Gene = ND-13A
index = 1295
Annotated 5SS: [279 552]
Annotated 3SS: [374 614]
SMsplice 5SS: [279 552]
SMsplice 3SS: [374 614]
top_k =  1000
Partition function (log Z): 0.9833758210560205

Sorted 5' Splice Sites (High to Low Probability):
Position 279: 0.9844894349611445
Position 552: 0.9674225068427255
Position 140: 0.09991021301495406
Position 25: 0.02680639539801007
Position 261: 0.01115264691185836
Position 557: 0.0062376133503877365
Position 539: 0.005661407264982753
Position 537: 0.001742480997451375
Position 31: 0.0016337682244732647
Position 137: 0.001155165606735881
Position 99: 0.0010308550110843346
Position 697: 0.0007945029667325763
Position 465: 0.0007849601100355784
Position 526: 0.0006096093614738937
Position 517: 0.0005452862959413862
Position 61: 0.0005332450722718114
Position 108: 0.000465656877862894
Position 425: 0.00042419394438192884
Position 165: 0.00039049409095594874
Position 297: 0.00026439259984774576
Position 91: 0.00022895576341568124
Position 125: 0.0002147940293048678
Position 869: 0.0001481291734015506
Position 50: 0.00012585460628144728
Position 735: 0.00012516004713460717
Position 79: 0.00011715606573727347
Position 1037: 1.9943689594480472e-05
Position 9: 1.7764379202744327e-05
Position 407: 1.5498648126103994e-05
Position 225: 8.924832571447404e-06
Position 101: 6.529785660597685e-06
Position 803: 5.691782497235002e-06
Position 492: 3.7591019043811007e-06
Position 930: 3.4269067530821664e-06
Position 11: 3.0307387648214255e-06
Position 479: 2.8543471153894186e-06
Position 660: 1.667638559192608e-06
Position 342: 1.5128683530065988e-06
Position 106: 1.4391820488846755e-06
Position 907: 1.2812661289401344e-06
Position 495: 8.004188544558606e-07
Position 990: 7.48060852696818e-07
Position 909: 5.150565830336759e-07
Position 995: 4.44537220332128e-07
Position 943: 4.040990282095791e-07
Position 956: 2.6779414794298563e-07
Position 941: 2.552741105371831e-07
Position 1022: 2.061463526239473e-07
Position 429: 1.9581837512421492e-07
Position 411: 2.8891667315491624e-08
Position 333: 2.0609188914270862e-08
Position 209: 1.0154548411634215e-08
Position 176: 7.3794640906174195e-09
Position 377: 4.450856531329848e-09
Position 375: 2.134003521725911e-09
Position 1041: 1.2461963172643975e-09
Position 602: 1.1810089729679228e-12
Position 607: 9.598440411554196e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 374: 0.9986454432227623
Position 614: 0.9829190541251752
Position 200: 0.1277462029576843
Position 774: 0.0007913878504949128
Position 97: 0.0007838009231862742
Position 952: 0.0005257963258733292
Position 154: 0.00020968273886424118
Position 800: 0.00018513782234017714
Position 386: 0.00017485338982083318
Position 840: 0.00016801349966671543
Position 112: 0.0001269782510743775
Position 83: 0.00012492932511489017
Position 389: 0.00011658512161043819
Position 91: 0.0001132215504493775
Position 238: 0.00010784054813392109
Position 223: 7.076991435837805e-05
Position 422: 4.9006616947391745e-05
Position 158: 4.248755948755916e-05
Position 869: 3.534018728865748e-05
Position 995: 3.5282383999006236e-05
Position 1106: 2.3255300780640415e-05
Position 990: 2.2133383776693665e-05
Position 744: 2.0950422515312404e-05
Position 786: 1.8540716651016232e-05
Position 982: 1.1097571162426643e-05
Position 537: 1.0201493571309254e-05
Position 70: 8.157085893391964e-06
Position 707: 4.450723400649521e-06
Position 803: 3.772117500656805e-06
Position 452: 3.249263095520825e-06
Position 65: 2.3244237435082168e-06
Position 54: 1.9723625201112683e-06
Position 476: 1.8097036047223022e-06
Position 1065: 1.429396144237166e-06
Position 574: 1.4227272500526674e-06
Position 1068: 1.3214136223394614e-06
Position 665: 1.0092103914499912e-06
Position 437: 8.938955598245718e-07
Position 956: 7.894714601415286e-07
Position 669: 6.044575251345688e-07
Position 847: 2.624874027501833e-07
Position 714: 1.7872043844632525e-07
Position 697: 1.6974727841979198e-07
Position 479: 1.1947558335777123e-07
Position 260: 7.181844759072681e-08
Position 687: 4.868966918198741e-08
Position 1072: 2.5224260028343302e-08
Position 1041: 2.1697883550148818e-08
Position 464: 1.3153232599653995e-08
Position 492: 3.960277177166852e-09
Position 461: 9.136817662001852e-10
Position 257: 4.2798087032333193e-10
Position 279: 4.568763443313275e-11
Position 576: 1.287181941193414e-11
Position 283: 2.613874896256207e-13
Position 285: 1.541929096504443e-15
