Gene = Mt2
index = 1289
Annotated 5SS: [122]
Annotated 3SS: [170]
SMsplice 5SS: [122]
SMsplice 3SS: [170]
top_k =  1000
Partition function (log Z): -10.85625987820386

Sorted 5' Splice Sites (High to Low Probability):
Position 122: 0.8543016833224119
Position 980: 0.11644850986194752
Position 252: 0.009794715280255467
Position 290: 0.009126337742042252
Position 29: 0.009040720455139824
Position 36: 0.006980612037423814
Position 64: 0.004942583640886294
Position 32: 0.004178052813690276
Position 27: 0.003454248161853752
Position 260: 0.0023172928127342196
Position 230: 0.0012591904723929222
Position 126: 0.0009544005878017812
Position 3: 0.0006111727248602768
Position 918: 0.0004745571781554993
Position 13: 0.0003514029398946428
Position 612: 0.0001494790694578738
Position 716: 0.0001368361766490268
Position 681: 0.00012355780426325988
Position 795: 0.00011797549110207536
Position 734: 0.00011115906061904044
Position 895: 7.526418552478598e-05
Position 445: 5.3257388706924614e-05
Position 761: 4.7633042308314054e-05
Position 520: 4.437082837183064e-05
Position 73: 3.860055319904313e-05
Position 660: 3.711933743069789e-05
Position 288: 3.684028007984663e-05
Position 541: 3.232405625153876e-05
Position 767: 1.9812781391084117e-05
Position 464: 1.911047261766089e-05
Position 471: 1.750015887607555e-05
Position 194: 1.5215200049260392e-05
Position 342: 1.1255102852133069e-05
Position 412: 1.0697427904306223e-05
Position 704: 8.65564554929903e-06
Position 299: 6.778023091634692e-06
Position 218: 6.769638792518459e-06
Position 569: 6.693840427282395e-06
Position 805: 5.735011543158413e-06
Position 209: 4.4094262534345185e-06
Position 1010: 3.008245298741631e-06
Position 89: 2.678758836544746e-06
Position 130: 2.3608140773216583e-06
Position 937: 1.9489531968247995e-06
Position 499: 1.8085909434035881e-06
Position 746: 2.1387837905570375e-07
Position 633: 1.9696349699370646e-07
Position 430: 3.770580760270798e-08
Position 899: 1.874297469776333e-08
Position 414: 9.424536534533587e-12
Position 331: 2.2631579522490603e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 170: 0.8132306375229066
Position 1055: 0.1156329587972997
Position 194: 0.037189457360917
Position 346: 0.02253366271443716
Position 79: 0.013653724010927485
Position 428: 0.0033806272667080152
Position 282: 0.0016996932786369596
Position 313: 0.0013947232952153021
Position 361: 0.001371729070486272
Position 817: 0.0013551330495300468
Position 610: 0.0013271089128347928
Position 270: 0.0013252984154558973
Position 1108: 0.0012937151731679626
Position 295: 0.00125288115674644
Position 89: 0.001236603425824794
Position 252: 0.0011018961659069323
Position 798: 0.001050537519588901
Position 640: 0.0007354241828037071
Position 668: 0.0006194128018601631
Position 759: 0.000575520445698785
Position 307: 0.0005248983562429906
Position 979: 0.000524560761205033
Position 795: 0.00044394619504030294
Position 871: 0.0003702782816340035
Position 299: 0.0003163240728840141
Position 1075: 0.00025557656578359427
Position 469: 0.00025371577812076965
Position 487: 0.00013543521447066163
Position 1095: 0.00013072235425694165
Position 955: 7.758962015230056e-05
Position 617: 6.9441222208333e-05
Position 673: 6.063711555890938e-05
Position 946: 4.625872602329383e-05
Position 925: 4.214841578640823e-05
Position 679: 3.089679345657662e-05
Position 937: 2.247099803692899e-05
Position 499: 1.9626154254641895e-05
Position 838: 1.8928711702239096e-05
Position 126: 1.7627480030186024e-05
Position 904: 1.6971382116029753e-05
Position 383: 1.5436778086121906e-05
Position 895: 1.1243066821463707e-05
Position 436: 7.845460284582706e-06
Position 372: 4.848417327276396e-06
Position 445: 2.671022875083314e-06
Position 650: 1.936088044617389e-06
Position 1036: 1.92064934526408e-06
Position 918: 3.981578661405565e-08
Position 478: 3.2645611652829255e-08
Position 517: 2.997765978867654e-08
Position 288: 1.152106564104888e-11
Position 388: 2.1878211626455255e-13
