Gene = Plap
index = 1383
Annotated 5SS: [ 138  738 1671 2354]
Annotated 3SS: [ 406  803 1726 2410]
SMsplice 5SS: [ 738 1313 2354]
SMsplice 3SS: [ 834 1726 2410]
top_k =  1000
Partition function (log Z): -7.271349181141328

Sorted 5' Splice Sites (High to Low Probability):
Position 738: 0.9601607577651141
Position 2354: 0.6418420377770637
Position 1313: 0.4726145168885824
Position 1671: 0.08387751008090766
Position 2337: 0.07368488126784856
Position 3009: 0.05889582959781396
Position 976: 0.05860346846952236
Position 1546: 0.02772438622021008
Position 138: 0.02293174722548744
Position 1845: 0.020006434543286152
Position 1143: 0.015622701064424777
Position 1831: 0.013135560781027799
Position 2877: 0.011014088609100763
Position 1491: 0.010168060615121965
Position 1583: 0.00916647651740235
Position 102: 0.008889913846007444
Position 3014: 0.008824129772273454
Position 470: 0.0076961822577734165
Position 1317: 0.006096372045246552
Position 300: 0.005702598209685942
Position 1916: 0.004653626720940061
Position 2899: 0.003359276137737845
Position 753: 0.0033357175369446435
Position 468: 0.003172337003764657
Position 304: 0.003165992747541299
Position 655: 0.0031107823797566
Position 698: 0.0028855404796537874
Position 2358: 0.002824415239624384
Position 1552: 0.0027645573923302446
Position 721: 0.0026043411997959034
Position 1682: 0.0019312704936390388
Position 6: 0.0019110263522758852
Position 1231: 0.001745938515509657
Position 1652: 0.0016096927979946283
Position 289: 0.0014946774733170238
Position 1541: 0.0014746276858946638
Position 2253: 0.0012985654375733502
Position 1067: 0.0012392981501568427
Position 1045: 0.0010981638439434803
Position 1435: 0.0010840954839162384
Position 521: 0.0009581012521582094
Position 1612: 0.0008412113111976448
Position 2775: 0.0006826412539562137
Position 167: 0.0005860544234298042
Position 21: 0.0005680068386971712
Position 677: 0.0005646060571855104
Position 649: 0.0005002408559577138
Position 1657: 0.0004820390796657731
Position 882: 0.00046664222641691074
Position 1785: 0.00045565009230937866
Position 1390: 0.0004376446990291987
Position 1854: 0.0004312823798555079
Position 1495: 0.00040329719209456107
Position 2918: 0.0003967553513063366
Position 1157: 0.000392743312976839
Position 3012: 0.0003516150100603666
Position 758: 0.0002763690871723625
Position 1108: 0.000227752730448491
Position 2259: 0.00021487981943469424
Position 2055: 0.00021022569665719303
Position 640: 0.00017998902280386833
Position 39: 0.00016682375412104897
Position 2984: 0.00016025232881974872
Position 57: 0.00014940225219114113
Position 1428: 0.0001434591726738137
Position 1488: 0.0001305648842652096
Position 1486: 0.0001241955799453138
Position 1321: 0.00011094032440880858
Position 2694: 0.00010652790711049428
Position 81: 0.00010283812031510202
Position 1154: 0.00010278864292516439
Position 1629: 9.596792124585102e-05
Position 940: 9.270743298129659e-05
Position 402: 8.7329997676057e-05
Position 1543: 8.292627268784835e-05
Position 1217: 8.083156412400284e-05
Position 2592: 7.72529978839492e-05
Position 3084: 6.0731127697460663e-05
Position 2323: 4.3585708834637474e-05
Position 182: 3.298465073726576e-05
Position 2218: 3.23329993626159e-05
Position 962: 2.901647021066549e-05
Position 1147: 2.861424644272112e-05
