Gene = Top2
index = 1564
Annotated 5SS: [ 240  952 1763 2244 5348]
Annotated 3SS: [ 696 1174 1819 2309 5428]
SMsplice 5SS: [ 240 1763 2244 5348]
SMsplice 3SS: [1174 1819 2309 5428]
top_k =  1000
Partition function (log Z): 10.622698661538948

Sorted 5' Splice Sites (High to Low Probability):
Position 2244: 0.9989406181570059
Position 5348: 0.99641853717245
Position 240: 0.993164034574916
Position 1763: 0.9847063658814639
Position 2730: 0.4713126640807552
Position 3967: 0.4126953811686252
Position 952: 0.3045788659638085
Position 1327: 0.266312520253336
Position 3254: 0.10408509834247479
Position 5681: 0.06892826988264875
Position 4710: 0.06211823641410605
Position 3551: 0.05323871738112659
Position 4115: 0.03547687263268815
Position 933: 0.032234323870744305
Position 1021: 0.030199452829960595
Position 1552: 0.02625469901294852
Position 5865: 0.02091539488142209
Position 5499: 0.018325397450892608
Position 2350: 0.017498093834008986
Position 1333: 0.017385306132656486
Position 4122: 0.017213993849826085
Position 3815: 0.014021615031641116
Position 3281: 0.012113135283991739
Position 3593: 0.01094337788330016
Position 1358: 0.010257523064681489
Position 817: 0.009644495263749137
Position 3940: 0.009457512819433873
Position 1619: 0.008502592423140134
Position 2336: 0.00817009016463594
Position 3491: 0.00785864706261643
Position 4221: 0.007376675323559331
Position 3876: 0.007101062183480218
Position 2099: 0.007060430999973861
Position 3303: 0.006398127001963271
Position 821: 0.004302133458750289
Position 3809: 0.004134188717160926
Position 618: 0.004068025247642335
Position 1961: 0.0037107296057659936
Position 640: 0.0036998639909641817
Position 3924: 0.0035584629094983834
Position 1994: 0.0034363358308320546
Position 3452: 0.0033182471448479616
Position 3639: 0.003133562598995305
Position 2682: 0.0028481579538611364
Position 3572: 0.0027453619415596974
Position 608: 0.002643769668470489
Position 5869: 0.002426193066673208
Position 1331: 0.0021350474954188047
Position 905: 0.001873310370984789
Position 66: 0.0017235064762326766
Position 3184: 0.0016336707704294657
Position 3787: 0.0015704270553884615
Position 3100: 0.001435727676481393
Position 446: 0.001358971729112455
Position 1095: 0.001294266007230355
Position 1085: 0.0010685157750256707
Position 3497: 0.0009047560160334526
Position 826: 0.0008791224725990252
Position 3937: 0.0008656922302529501
Position 5890: 0.0008646987253065326
Position 1025: 0.0008632108677793175
Position 1967: 0.0008445573934550148
Position 5360: 0.0008435102856337946
Position 1123: 0.0008363137794513113
Position 977: 0.0008005987045719574
Position 2744: 0.000797548816157619
Position 3117: 0.0007254899881337656
Position 2919: 0.0006705004825253011
Position 2675: 0.0006672918582099032
Position 645: 0.0006086052495472554
Position 3486: 0.0005839113516059031
Position 379: 0.0005414414894799351
Position 2497: 0.0005235586039003376
Position 5908: 0.0005019481948896951
Position 3373: 0.0003924018314462821
Position 1291: 0.00038943383369315673
Position 1030: 0.000329191082382374
