Gene = dlt
index = 1672
Annotated 5SS: [130]
Annotated 3SS: [1827]
SMsplice 5SS: [ 130 2048]
SMsplice 3SS: [1827 2108]
top_k =  1000
Partition function (log Z): -9.933411870915904

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.6147586468998418
Position 2048: 0.5648421103001667
Position 2771: 0.41446948043490267
Position 277: 0.22562915813379383
Position 2134: 0.2079831937332272
Position 2026: 0.16582967050179853
Position 2804: 0.0966260037244353
Position 3344: 0.08278017517209679
Position 3585: 0.07774133534459766
Position 1165: 0.05653255254527434
Position 98: 0.055367052636033656
Position 2277: 0.05187743880300064
Position 2000: 0.016119166219243034
Position 2983: 0.014008803531329347
Position 1629: 0.01192696909042896
Position 1546: 0.010279773742395618
Position 1122: 0.009473835860347155
Position 3997: 0.0069887118936234295
Position 84: 0.00690241456121958
Position 463: 0.0060936064473316055
Position 165: 0.005962183874526363
Position 855: 0.005885573870625374
Position 2058: 0.005808722153435082
Position 1513: 0.00546039621743669
Position 2385: 0.005116744506620471
Position 939: 0.004137111295644643
Position 763: 0.004029179811339227
Position 566: 0.003264567930845563
Position 943: 0.0029638893959509954
Position 543: 0.002317120103183821
Position 2070: 0.0022603128087051202
Position 338: 0.0021705472242850117
Position 4337: 0.0019827583631590313
Position 288: 0.0018190399296132628
Position 3024: 0.0018092885445908193
Position 1178: 0.0017729682445793316
Position 2109: 0.0017634772832099419
Position 2835: 0.0016762008205497162
Position 4081: 0.0015074975465410422
Position 1129: 0.0014633220005623232
Position 199: 0.0014600933789722442
Position 2432: 0.0014278752678559823
Position 1867: 0.001333859466494075
Position 487: 0.001213303476318822
Position 2594: 0.0010293853756499465
Position 1268: 0.0009415321973932352
Position 2765: 0.0008114714845481797
Position 618: 0.0007902895763643852
Position 695: 0.0007519423204548384
Position 1689: 0.000750808226244843
Position 104: 0.0006341593281286445
Position 3233: 0.0006239324627763073
Position 699: 0.0005856417784041335
Position 4095: 0.0005604721239362422
Position 3641: 0.00048413269730492503
Position 128: 0.00047074466468416507
Position 197: 0.0004642421371877341
Position 1034: 0.00043593435599467175
Position 1623: 0.00043133954714114417
Position 210: 0.00042781059502373524
Position 958: 0.00040710540116902405
Position 931: 0.00038104446532053604
Position 1273: 0.000367923537645209
Position 3629: 0.00034496386450569115
Position 1507: 0.0002871764476933461
Position 2951: 0.000277292379763441
Position 1030: 0.0002568489628736098
Position 1364: 0.00023829897403712075
