Gene = Df31
index = 1131
Annotated 5SS: [ 266 2091]
Annotated 3SS: [1722 2174]
SMsplice 5SS: [ 266 2091]
SMsplice 3SS: [1722 2174]
top_k =  1000
Partition function (log Z): -4.006750097569107

Sorted 5' Splice Sites (High to Low Probability):
Position 2091: 0.9752163357658767
Position 266: 0.7588629548943824
Position 2361: 0.11796033552544745
Position 3528: 0.08281125324202397
Position 217: 0.04522196009075799
Position 1118: 0.03711076608877115
Position 2079: 0.020889998876252
Position 48: 0.015211842137671187
Position 716: 0.013125014229412283
Position 3050: 0.011823037119065526
Position 3256: 0.01154991082139091
Position 3343: 0.00915504691963237
Position 560: 0.006439911804649431
Position 988: 0.006395438065236575
Position 2833: 0.005838891175659196
Position 645: 0.005808838188067172
Position 558: 0.005800721243852087
Position 1009: 0.005551109315229898
Position 813: 0.00538984239077649
Position 637: 0.005162840647016
Position 230: 0.005073575696171145
Position 562: 0.004973094191669985
Position 564: 0.004144054655261061
Position 595: 0.0035224916497033822
Position 566: 0.0032399111601976584
Position 296: 0.0025244401593575907
Position 3137: 0.002494893433719503
Position 641: 0.002425402066300304
Position 1126: 0.0020609509957175043
Position 1272: 0.0020587614058479513
Position 1417: 0.002056637248912946
Position 639: 0.0020296059314361408
Position 1114: 0.0017530732852577868
Position 2294: 0.0017238296888124865
Position 581: 0.001634759346960258
Position 886: 0.0013586547819884214
Position 991: 0.0012635980503875536
Position 2873: 0.0011141461034983415
Position 2475: 0.0010750747011610612
Position 1027: 0.00097927623806162
Position 3323: 0.0008926287415236098
Position 1170: 0.0008561273554393083
Position 3003: 0.0008440813832179088
Position 1479: 0.000836543918311043
Position 326: 0.0008149496164974553
Position 1013: 0.0007892787655342792
Position 1188: 0.0007310655388586272
Position 3266: 0.0006140541042878078
Position 2533: 0.0005100098322774414
Position 1366: 0.0004999691572308467
Position 508: 0.0004934837103285838
Position 165: 0.00047763885000428875
Position 625: 0.00040558083979343645
Position 3428: 0.00040511239336596996
Position 430: 0.0003606903388894509
Position 903: 0.00034089625791728994
Position 702: 0.0003307134793087682
Position 1914: 0.00023751975920572035
Position 1046: 0.000221802985092997
Position 2546: 0.00018911369208329598
