Gene = Obp73a
index = 1344
Annotated 5SS: [243 577]
Annotated 3SS: [ 301 1193]
SMsplice 5SS: [ 243  577 1393]
SMsplice 3SS: [  301  1193 10289]
top_k =  1000
Partition function (log Z): -9.138586393992819

Sorted 5' Splice Sites (High to Low Probability):
Position 577: 0.9791443961693337
Position 243: 0.5869912610715193
Position 1393: 0.4415145793810226
Position 1358: 0.3100403549345461
Position 232: 0.21427199972959574
Position 1989: 0.12511980954670124
Position 236: 0.07924079845591715
Position 1900: 0.03520079476866739
Position 221: 0.026901163048789648
Position 6469: 0.021261671740049136
Position 8786: 0.020450229317688622
Position 7195: 0.0194156442911315
Position 6239: 0.019052289419266927
Position 1419: 0.015076352282482572
Position 5707: 0.013485619173509272
Position 1950: 0.010904186531851344
Position 527: 0.010437069804063179
Position 6034: 0.008720322639593353
Position 1322: 0.007231507722132727
Position 4272: 0.0061289023989637625
Position 4118: 0.006011156156024501
Position 1717: 0.00548029031591998
Position 591: 0.00534681484356244
Position 953: 0.0036065287529759137
Position 1729: 0.003221895995443758
Position 1562: 0.0028266504237771666
Position 5032: 0.0027745181832160115
Position 4072: 0.0027025869389960696
Position 1485: 0.0026213766993586824
Position 5714: 0.002453849042982581
Position 6993: 0.002194521902712207
Position 5497: 0.0021197830875788752
Position 1412: 0.001950723879630613
Position 5626: 0.00193316333541194
Position 3472: 0.0018831755488426206
Position 914: 0.0015950307722477374
Position 7025: 0.0015754029862596966
Position 4261: 0.0015500963274417566
Position 5849: 0.001476342516624104
Position 5163: 0.0013951819320259565
Position 2107: 0.0009284311209139258
Position 188: 0.0008975682668243273
Position 1823: 0.0008372515123071615
Position 259: 0.0008118899991727656
Position 926: 0.0007006166491238885
Position 435: 0.0006927314176908975
Position 3931: 0.0005540232287047095
Position 1124: 0.0005258491554478664
Position 6516: 0.000511791567360662
Position 1363: 0.0004804841137031186
Position 1326: 0.0004169815264158184
Position 3940: 0.00035694389898454764
Position 581: 0.00032249896337913336
Position 965: 0.0002996920799518113
Position 193: 0.00029447470085479203
Position 978: 0.0002558810116901467
Position 5700: 0.0002426691850171927
Position 3232: 0.0002257605613867512
Position 197: 0.0002064967933452232
Position 3056: 0.00012348543932436617
Position 733: 0.00012232487056786667
Position 98: 0.00011039761232643731
Position 980: 0.00010619781585035503
Position 521: 5.881036680918876e-05
Position 615: 5.1766789349405926e-05
Position 937: 4.911089774301208e-05
Position 963: 4.90201633817795e-05
Position 4978: 4.8994301742261317e-05
Position 441: 4.487365035184668e-05
Position 547: 4.364095866706418e-05
Position 1543: 3.096211135499874e-05
Position 1140: 3.0914668137050625e-05
Position 1005: 2.9365466555155283e-05
Position 1828: 2.7961929970565147e-05
Position 2770: 2.7709317626661906e-05
Position 2590: 2.6267117082634337e-05
Position 91: 2.5535136818837183e-05
Position 586: 2.4400113631809223e-05
Position 3419: 2.348651505496535e-05
Position 157: 2.2252318907334113e-05
Position 448: 2.1782793559328264e-05
Position 636: 2.168960609574523e-05
Position 284: 2.1487363296106488e-05
Position 208: 1.974344127275858e-05
Position 3082: 1.9046883828118718e-05
Position 1066: 1.8690695406537326e-05
Position 37: 1.753300221512698e-05
Position 1027: 1.4609732266338591e-05
Position 328: 1.2260465266759528e-05
Position 1423: 1.2251266552567365e-05
Position 1114: 1.010671260202523e-05
Position 1365: 1.0048558027269388e-05
Position 739: 9.525034708683448e-06
Position 1686: 7.156371326521074e-06
Position 1049: 7.119640602117025e-06
Position 1571: 6.567879615372298e-06
Position 119: 3.6856008058964202e-06
Position 391: 1.8075197285634737e-06
Position 1472: 1.495891492735823e-06
Position 803: 1.4544313286743102e-06
Position 668: 1.3046377215222334e-06
Position 3361: 9.243836279656065e-07
Position 634: 8.951993744407756e-07
Position 506: 5.880526021810868e-07
Position 1112: 5.358056139107007e-07
Position 25: 4.3363156500079066e-07
Position 1287: 3.8758886510094627e-07
Position 1085: 2.394862600831016e-07
Position 2001: 2.1288513365742475e-07
Position 478: 2.0005546099338322e-07
Position 290: 1.694027970836402e-07
Position 1650: 1.0456354044433934e-07
Position 1586: 6.124859857993792e-08
Position 330: 3.090751153291452e-08
Position 1963: 1.9351858226516735e-08
Position 514: 3.200874151395792e-11
Position 1266: 8.260703481666668e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1193: 0.8819515992086275
Position 301: 0.8693428889207657
Position 10289: 0.33785416815758634
Position 5544: 0.20602333492985392
Position 10065: 0.09871631265019909
Position 6832: 0.08215679149805338
Position 8615: 0.06587151407922698
Position 8810: 0.06256559328613748
Position 1623: 0.0442659084333929
Position 9445: 0.04260705025521766
Position 6613: 0.032784981207436295
Position 7411: 0.027225230577104742
Position 8712: 0.022956034563029134
Position 4189: 0.021060917640305224
Position 7363: 0.02049352573297286
Position 8850: 0.02045022931768863
Position 431: 0.017171629414130852
Position 6563: 0.014259714053787901
Position 5764: 0.013959459053981152
Position 471: 0.012943472922248367
Position 1883: 0.010670926797791259
Position 3310: 0.010522488937209263
Position 777: 0.009605242032304607
Position 3460: 0.006445454034136993
Position 5356: 0.006290163403526891
Position 6092: 0.00617163239333021
Position 1571: 0.006127809593063561
Position 324: 0.005847398094911235
Position 5785: 0.004843340476818009
Position 7279: 0.004637499610401022
Position 1533: 0.0041761475910207626
Position 1800: 0.003009993474104628
Position 4336: 0.0030083305297363173
Position 712: 0.002990419018232977
Position 6312: 0.0026698985979333144
Position 1631: 0.002201435951937499
Position 7043: 0.0021945219027122084
Position 1160: 0.0020230609960558083
Position 5923: 0.0019364618361331705
Position 1517: 0.0019271996838062706
Position 1070: 0.0017605290553078007
Position 7081: 0.0015754029862596938
Position 6802: 0.0015631393972523099
Position 3927: 0.001534969694954186
Position 1899: 0.0013873834140257228
Position 5960: 0.00133166459352615
Position 7250: 0.0012356873826111369
Position 327: 0.001052414635966794
Position 5067: 0.0010261851813701118
Position 6573: 0.00101693467409584
Position 6217: 0.0007983032786088657
Position 5017: 0.0006360223488476894
Position 4057: 0.0006235850544105554
Position 4009: 0.0006162498698919204
Position 1140: 0.0005350998134318413
Position 3231: 0.0005206000760599399
Position 1238: 0.000512455475160586
Position 1452: 0.0005085319378346314
Position 3750: 0.000505764782962793
Position 1943: 0.0004940855158951347
Position 2843: 0.00045131712527863264
Position 1780: 0.00041390538374972823
Position 2065: 0.0003274018336085392
Position 435: 0.00028183755054788637
Position 5942: 0.0002733090550638995
Position 1828: 0.00021202953484342551
Position 4887: 0.00020853167497458133
Position 1904: 0.00019767770073565732
Position 4408: 0.00018738362124840575
Position 2055: 0.00018326182900162924
Position 5665: 0.00017891533509905205
Position 828: 0.0001773728110490574
Position 4468: 0.00017665286284893384
Position 1988: 0.00016560888768091782
Position 321: 0.0001518153630335462
Position 4339: 0.00014303594719372364
Position 3520: 0.0001248580066365665
Position 1644: 0.00011396916453318625
Position 3640: 9.045416623669998e-05
Position 342: 7.398797894329316e-05
Position 653: 6.896585805008328e-05
Position 3892: 6.586877790210707e-05
Position 3516: 6.40845334408483e-05
Position 399: 5.891727349107634e-05
Position 746: 5.18351740213014e-05
Position 174: 5.058292966934098e-05
Position 3214: 4.994016609283702e-05
Position 2287: 4.4638272955188435e-05
Position 2489: 3.648754310477363e-05
Position 2788: 3.107754414793102e-05
Position 2188: 2.6841525548273855e-05
Position 3836: 2.4566657620222154e-05
Position 441: 2.2876703950082788e-05
Position 151: 2.061401317839863e-05
Position 679: 1.7866511861497972e-05
Position 485: 1.786283542573e-05
Position 668: 1.6088037706514495e-05
Position 721: 1.5480034893431356e-05
Position 142: 1.2161130372048429e-05
Position 886: 1.2080064545057209e-05
Position 1949: 9.781829744484575e-06
Position 2856: 9.100705406648535e-06
Position 303: 8.9281084180806e-06
Position 521: 8.625073036592675e-06
Position 2265: 8.362208458456586e-06
Position 733: 8.28816773586294e-06
Position 1172: 7.665829253433969e-06
Position 757: 7.199056109922031e-06
Position 259: 6.791013164883291e-06
Position 2676: 6.496914840018071e-06
Position 448: 6.388464454089676e-06
Position 2072: 5.978396052862783e-06
Position 2733: 5.4769911754262195e-06
Position 2078: 5.458778769552952e-06
Position 2309: 5.2932586390630084e-06
Position 1103: 4.421975605195718e-06
Position 919: 3.998022320168508e-06
Position 737: 3.7593138333635104e-06
Position 1599: 3.7410315639744353e-06
Position 762: 3.0875542590171525e-06
Position 2298: 2.918865350493933e-06
Position 1665: 2.864545399455011e-06
Position 618: 2.6691857153001658e-06
Position 559: 2.4269515682417435e-06
Position 1284: 2.0784230608126973e-06
Position 685: 1.7458094452700262e-06
Position 854: 1.7368856979690395e-06
Position 923: 1.7010701874611623e-06
Position 1590: 1.1435905085379534e-06
Position 157: 1.0351126067661036e-06
Position 1669: 1.025880661552505e-06
Position 1747: 8.639083991582144e-07
Position 1074: 8.43471773371662e-07
Position 903: 8.35325203548067e-07
Position 1287: 6.291829885546924e-07
Position 1005: 5.614499147230646e-07
Position 264: 2.8869172401161725e-07
Position 1376: 1.1008167661360719e-07
Position 1823: 6.515403960021465e-08
Position 1732: 6.344052507077593e-08
Position 581: 5.5460859586366374e-08
Position 808: 5.0761040417682044e-08
Position 1953: 4.031756423794768e-08
Position 1498: 3.716132196791043e-08
Position 1379: 3.706560560081923e-08
Position 937: 3.54037266576982e-08
Position 1092: 2.1394259892000434e-08
Position 183: 1.9778008781197483e-08
Position 1673: 6.185947066862029e-09
Position 1085: 5.925040490783147e-09
Position 1912: 4.8905936113870015e-09
Position 2486: 3.81764461356882e-09
Position 1586: 1.673075962141289e-09
Position 312: 1.4964150427596705e-09
Position 208: 9.951391417474923e-10
Position 204: 9.047299103158696e-10
Position 214: 5.70306628415178e-10
Position 220: 3.722168699056741e-10
Position 232: 1.1078162965242132e-10
Position 188: 4.2847189149448193e-11
Position 494: 1.655513344246022e-11
Position 193: 2.632443571056312e-12
Position 586: 9.124203755329288e-13
