Gene = CTPsyn
index = 1048
Annotated 5SS: [  603 13073 13675]
Annotated 3SS: [12901 13172 13738]
SMsplice 5SS: [  216   603 11574 12678 12803 13073 13675]
SMsplice 3SS: [  309 11423 11629 12730 12901 13172 13738]
top_k =  1000
Partition function (log Z): 10.805908689422148

Sorted 5' Splice Sites (High to Low Probability):
Position 13675: 0.9963893405172041
Position 13073: 0.9951734036721147
Position 11574: 0.9550783923487509
Position 603: 0.8650107574865233
Position 216: 0.7276597234543468
Position 11045: 0.6853382686946258
Position 12678: 0.492766011310122
Position 12803: 0.42073960114471237
Position 12612: 0.12360441555029231
Position 11872: 0.09812175467198941
Position 10650: 0.07382408173157227
Position 9952: 0.034349304466182125
Position 2742: 0.028406416022658393
Position 1666: 0.01422974382593212
Position 12653: 0.012832041438708228
Position 2771: 0.012134896104376914
Position 12328: 0.011470883306991819
Position 10626: 0.01112113589211779
Position 13553: 0.011009634411210112
Position 2694: 0.010630799952243928
Position 40: 0.0061441426490960295
Position 13256: 0.005451404611963863
Position 729: 0.005086510530639102
Position 14795: 0.005020337572183423
Position 13077: 0.004425046197492175
Position 248: 0.00341776003966881
Position 267: 0.003231434414192628
Position 18: 0.00314974054672226
Position 13817: 0.0025901731765359906
Position 14780: 0.0024119823308895545
Position 12121: 0.0022490609602460474
Position 13340: 0.0015108102813378048
Position 11563: 0.0014683292006034488
Position 12694: 0.0014393326816343507
Position 12100: 0.0014024785191986636
Position 13685: 0.0013685875725378783
Position 227: 0.001280606467311536
Position 13838: 0.0012750171787442254
Position 11505: 0.0012496356131302853
Position 14224: 0.0012110668271437994
Position 12055: 0.00119724789658253
Position 12440: 0.0010451720598170296
Position 2379: 0.0009600391276063289
Position 14349: 0.0009398966617615616
Position 14101: 0.000881143987524929
Position 14743: 0.0007675399994859684
Position 12413: 0.0006029909567089244
Position 13679: 0.0005996803987484799
Position 13323: 0.0005792750590012797
Position 251: 0.0005291897165580401
Position 13287: 0.0004961009905673374
Position 14115: 0.000458584009490615
Position 2485: 0.00043058404799383717
Position 12759: 0.0004160701755666803
Position 452: 0.00036275543278342615
Position 12730: 0.00029673904042035225
Position 1331: 0.000294822219193715
Position 11516: 0.00023497534385199885
Position 11741: 0.00019949505052213536
Position 3407: 0.00018877192200534594
Position 2360: 0.00018832696921150565
Position 6728: 0.00018106743642407253
Position 13881: 0.00017734243228695548
Position 13826: 0.00017175049162578216
Position 14890: 0.00016500824607755516
Position 648: 0.0001561261200922542
Position 11542: 0.00014848243672031884
Position 11716: 0.00014807747113483713
Position 11705: 0.00013560946319036385
Position 13066: 0.00013551283003275738
Position 11719: 0.0001331346198284717
Position 12181: 0.0001319218642638608
Position 14904: 0.00012912189224153106
Position 13020: 0.00012701983014996564
Position 12510: 0.00012531423588910947
Position 2157: 0.000107463714323869
Position 911: 0.00010116040944585046
Position 101: 9.455117983124324e-05
Position 14397: 9.208556269700181e-05
Position 14812: 7.904526326728104e-05
Position 13538: 7.873071673156186e-05
Position 2461: 7.802655291130237e-05
Position 14483: 7.134930448247309e-05
Position 13706: 6.797133791994118e-05
Position 13794: 6.366037449962074e-05
Position 13958: 5.8672208458989847e-05
Position 996: 5.022671990178216e-05
Position 13310: 4.659600071202162e-05
Position 13848: 4.266067898310505e-05
Position 13050: 4.0291647535091415e-05
Position 190: 3.5856297116603216e-05
Position 14716: 3.477057417832498e-05
Position 13902: 3.343985149899562e-05
Position 13433: 3.1102007021462785e-05
Position 13333: 2.8276552976801768e-05
Position 11589: 2.7028620166246213e-05
Position 14011: 2.5855310003665932e-05
