Gene = da
index = 1663
Annotated 5SS: [423]
Annotated 3SS: [1943]
SMsplice 5SS: [423]
SMsplice 3SS: [1943]
top_k =  1000
Partition function (log Z): -8.775772225235876

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.9233198334606987
Position 1752: 0.10252857545987087
Position 1887: 0.10011837107608479
Position 2402: 0.06599620737368254
Position 1783: 0.06312145914150825
Position 3307: 0.05101496146967825
Position 4864: 0.04755186507020093
Position 2786: 0.02341380442392995
Position 1585: 0.023098062480136808
Position 852: 0.020115009557514173
Position 4777: 0.01794866076314559
Position 463: 0.013214241668532264
Position 2088: 0.012945365130439876
Position 1143: 0.012792789077850475
Position 980: 0.010294038933676327
Position 588: 0.00871366298214376
Position 2231: 0.00790157667606838
Position 2512: 0.006500882677400108
Position 269: 0.006415993212931389
Position 2047: 0.0060530096859571884
Position 3904: 0.005947338485173228
Position 1186: 0.0041981489982006
Position 629: 0.003928192470610721
Position 1266: 0.00334652886183492
Position 1170: 0.002808723373525323
Position 1745: 0.0025944163460374318
Position 633: 0.0025170407815289604
Position 2118: 0.002229613328030751
Position 1138: 0.0022129548921677377
Position 3787: 0.002181069544581156
Position 533: 0.0021089630707271504
Position 2506: 0.0019302498901009712
Position 1494: 0.0018178743748924388
Position 2126: 0.0017887163795935834
Position 835: 0.0017461793602781277
Position 732: 0.0015486484508340206
Position 919: 0.0010238751461654019
Position 1460: 0.000991040577995981
Position 926: 0.0009616364697477288
Position 174: 0.0009573378905027719
Position 1353: 0.000842241923334562
Position 565: 0.0008289074493158157
Position 1588: 0.0007545940810640346
Position 310: 0.0007224354464360017
Position 1554: 0.0007155993794702307
Position 1080: 0.0006890902994027533
Position 2072: 0.0006753156619469984
Position 116: 0.0005507056599336625
Position 3350: 0.0005304632819729988
Position 1379: 0.0004912398240817989
Position 1534: 0.0004699696286860821
Position 756: 0.0004442935042625419
Position 896: 0.0004180194241194502
Position 264: 0.0003894933186496229
Position 4207: 0.0003707425896445078
Position 1323: 0.00029299914386998944
Position 2480: 0.00026493600062580845
Position 547: 0.00025304982781479163
Position 700: 0.0002390893597203449
Position 148: 0.00018093081592706367
Position 1428: 0.00017430528241154232
Position 668: 0.0001386963471738732
Position 443: 0.0001289151972347489
Position 2389: 0.00012779676342570648
Position 752: 0.00011219269159701224
Position 750: 0.0001117340080485153
Position 4947: 9.807916339892183e-05
Position 748: 9.16681931810253e-05
Position 2500: 8.561040554649102e-05
Position 746: 7.836555727440826e-05
Position 82: 7.728233534193053e-05
Position 3206: 7.592290108667069e-05
Position 930: 7.37269052967099e-05
Position 884: 6.400858718605336e-05
Position 1075: 5.8829868153478965e-05
Position 2375: 5.5700098418073535e-05
Position 690: 5.399212389128795e-05
Position 2426: 5.344030871610594e-05
Position 1350: 4.840457205054407e-05
Position 770: 4.448101319192243e-05
Position 159: 3.8992564105136716e-05
Position 1523: 3.0105234405524756e-05
Position 537: 3.0017180340981356e-05
Position 1739: 2.926534232377381e-05
Position 427: 2.7123471175108578e-05
Position 744: 2.6823685261579625e-05
Position 637: 2.6484467856710275e-05
Position 659: 2.623581687364824e-05
Position 708: 2.544644195030567e-05
Position 887: 2.527573135654697e-05
Position 1331: 2.2053481422321235e-05
Position 2152: 2.1918230975749827e-05
