Gene = eIF2beta
index = 1683
Annotated 5SS: [143 746]
Annotated 3SS: [ 345 1053]
SMsplice 5SS: [241 746]
SMsplice 3SS: [ 345 1053]
top_k =  1000
Partition function (log Z): -3.181985573108289

Sorted 5' Splice Sites (High to Low Probability):
Position 746: 0.8358361306532898
Position 241: 0.2973202257137608
Position 143: 0.22521738920770037
Position 235: 0.21130332657291517
Position 941: 0.1296045674855466
Position 245: 0.0739707423384088
Position 1406: 0.05723357009213356
Position 290: 0.04553771570655024
Position 166: 0.03697653164787423
Position 265: 0.01892409036596001
Position 751: 0.018512393743999128
Position 219: 0.013397148056178348
Position 213: 0.012284776129510294
Position 785: 0.005046018909535244
Position 473: 0.004248434451718791
Position 1178: 0.0019951665810917993
Position 912: 0.0018256129744817536
Position 249: 0.0018012003305327743
Position 1200: 0.0014468233980868617
Position 170: 0.001032374621087796
Position 1309: 0.0009970637838254684
Position 295: 0.0007767949872974704
Position 509: 0.0004548372666346041
Position 953: 0.00044817707056666543
Position 239: 0.00039943764060574254
Position 945: 0.00034655142234784133
Position 869: 0.0002462016672936719
Position 867: 0.00022625607697262116
Position 76: 0.00018781832659357068
Position 1304: 0.00016853548540534736
Position 1209: 0.00014455935258670785
Position 919: 0.00014056535991623497
Position 192: 0.00011594777789828498
Position 229: 9.036210150843692e-05
Position 247: 8.81595634374621e-05
Position 27: 7.239225959772421e-05
Position 263: 5.9150819472777696e-05
Position 67: 5.397099371612591e-05
Position 1549: 3.8788145939405514e-05
Position 1520: 3.285227579053242e-05
Position 19: 2.4382278809120466e-05
Position 1383: 2.17144947233957e-05
Position 38: 2.145751508844387e-05
Position 1525: 2.1126656777744228e-05
Position 1182: 1.9827293209553766e-05
Position 91: 1.915534786914746e-05
Position 1390: 1.848210562651858e-05
Position 3: 1.786279925958026e-05
Position 147: 1.1007041189467649e-05
Position 699: 9.912880575169669e-06
Position 1357: 9.505821982811987e-06
Position 416: 8.695992169418029e-06
Position 1410: 7.804909099509278e-06
Position 106: 7.462065956454721e-06
Position 43: 6.967476751890193e-06
Position 910: 6.555749341353789e-06
Position 1315: 4.9640684065960296e-06
Position 1122: 4.3593795328488905e-06
Position 1417: 3.95079920048168e-06
Position 1076: 3.6674211318157947e-06
Position 828: 2.2345847819613484e-06
Position 959: 1.614708165943147e-06
Position 1478: 1.3543165479700442e-06
Position 1109: 1.0938177047534075e-06
Position 1506: 7.846273436618758e-07
Position 347: 7.060184247048613e-07
Position 98: 4.07635202677092e-07
Position 393: 3.8584967727960655e-07
Position 1462: 3.454665809845032e-07
Position 831: 6.849850159133077e-09
Position 595: 5.2167620935638e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1053: 0.9782235596581922
Position 345: 0.9224941468419349
Position 1478: 0.060345883909137574
Position 807: 0.010062939221592968
Position 372: 0.0049878648171826565
Position 1002: 0.004953349862805884
Position 375: 0.004712451780661912
Position 815: 0.0025562556791622532
Position 867: 0.002163937348057177
Position 1373: 0.0013834302617901776
Position 844: 0.0011449493166083603
Position 578: 0.0011189306757047885
Position 378: 0.0010216010798323079
Position 1451: 0.000681492399362676
Position 1364: 0.0006164571379640063
Position 897: 0.0004732080147143971
Position 975: 0.00033822105396636625
Position 1616: 0.000306264892054909
Position 1277: 0.0001631230003138187
Position 1454: 0.00013625420319998693
Position 1145: 0.00013111814662671972
Position 381: 8.518357453044992e-05
Position 1199: 8.291849237452282e-05
Position 910: 7.965230141271525e-05
Position 1066: 5.014383098023769e-05
Position 525: 4.4958474974859735e-05
Position 117: 4.3691204594876426e-05
Position 384: 4.361426904716817e-05
Position 991: 4.054689532945671e-05
Position 850: 3.224924488787216e-05
Position 1340: 3.205924315373151e-05
Position 1315: 3.0874114843154364e-05
Position 824: 2.5351627047756114e-05
Position 271: 2.5049585432021186e-05
Position 791: 1.622106137309662e-05
Position 1337: 1.5536552154347274e-05
Position 387: 1.3616390259351055e-05
Position 91: 1.2567445428932456e-05
Position 565: 1.2404551177609484e-05
