Gene = Aatf
index = 5
Annotated 5SS: [1450]
Annotated 3SS: [1511]
SMsplice 5SS: [1450]
SMsplice 3SS: [1511]
top_k =  1000
Partition function (log Z): -4.695418430713397

Sorted 5' Splice Sites (High to Low Probability):
Position 1450: 0.992113952751767
Position 686: 0.1129150022084823
Position 39: 0.028051271487787317
Position 501: 0.02026521533477781
Position 1618: 0.012788484184886423
Position 1084: 0.0074078016929985824
Position 232: 0.005248414701814262
Position 1464: 0.004114170257453238
Position 1018: 0.0035857516023022886
Position 1060: 0.003554782674893434
Position 967: 0.003287985901244762
Position 36: 0.0026226546172848034
Position 1454: 0.002503985111376628
Position 621: 0.0022837306260936907
Position 868: 0.0019314558420326687
Position 1605: 0.0018586010556501222
Position 492: 0.0018108983142915967
Position 131: 0.0014168291777239593
Position 48: 0.0010798628196393048
Position 374: 0.001073112912304768
Position 1095: 0.0010396727302108076
Position 872: 0.0007196751146257248
Position 562: 0.00047326258830875475
Position 1584: 0.0004181164991233213
Position 971: 0.0004124600054388659
Position 1638: 0.0003323527033012365
Position 1593: 0.0002788863280831177
Position 541: 0.0002641777605181669
Position 300: 0.0002636359801799001
Position 278: 0.00022160337772214348
Position 1002: 0.00021828574469264322
Position 8: 0.00016233978055407396
Position 1590: 0.00015788292355178505
Position 1415: 0.00015530754338244232
Position 1023: 0.00015449335603657084
Position 691: 0.0001370933813903078
Position 793: 0.00012158817600759878
Position 376: 0.00010994482651027995
Position 1010: 6.543048944388514e-05
Position 1073: 6.456432395752072e-05
Position 1078: 4.732665914882709e-05
Position 430: 3.685274857486395e-05
Position 84: 3.131971708957378e-05
Position 931: 3.126231768255482e-05
Position 212: 2.551021785434677e-05
Position 337: 2.396502268859246e-05
Position 1676: 1.5915973268971993e-05
Position 1028: 1.3457279405105725e-05
Position 30: 1.152225987510256e-05
Position 1609: 8.657318620539227e-06
Position 762: 6.434073788356508e-06
Position 1559: 5.3253813437666475e-06
Position 894: 5.260010347153605e-06
Position 1372: 2.990101992470292e-06
Position 207: 2.8896746139743943e-06
Position 1327: 6.849971223515982e-07
Position 97: 3.919321903262536e-07
Position 1210: 1.2581464545414283e-07
Position 119: 4.991471170541937e-08
Position 1202: 4.835406642035498e-08
Position 1376: 4.053416312299944e-08
Position 1667: 2.453997221401339e-08
Position 327: 1.3010297297516422e-08
Position 55: 5.745998949014675e-09
Position 734: 1.8035862246748756e-09
Position 191: 8.700435640510082e-10
Position 1124: 5.358803304066867e-10
Position 1135: 2.4945328769184786e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1511: 0.9994912341730002
Position 745: 0.11443350342829535
Position 1144: 0.03024104225012585
Position 84: 0.01588035900481791
Position 1694: 0.010730324147720833
Position 81: 0.007018985186673999
Position 1309: 0.0061586285898439464
Position 1306: 0.0056389274970013465
Position 931: 0.004237978517884051
Position 1708: 0.003012618715750665
Position 1036: 0.002639212594994286
Position 109: 0.0015492125217040425
Position 1084: 0.001348129070575839
Position 725: 0.0010859058805734092
Position 427: 0.0009893590518851197
Position 1744: 0.0009286806487648298
Position 115: 0.000885346485612243
Position 1264: 0.0008262433998729537
Position 793: 0.0008124508403592831
Position 1705: 0.0007453707816266722
Position 1168: 0.000612086495329468
Position 103: 0.0005707800147662843
Position 935: 0.0005666753556971561
Position 1648: 0.00042670665563604535
Position 200: 0.0004192071912755078
Position 577: 0.0004066973678256069
Position 1147: 0.0003334839731168327
Position 298: 0.0003289259223976757
Position 710: 0.0002860775605546705
Position 777: 0.00026765449139188
Position 1290: 0.0002535477154736238
Position 1135: 0.00022921981062483436
Position 1176: 0.00022753707329572608
Position 801: 0.00020192541354396894
Position 1073: 0.00019547512414628363
Position 1118: 0.00018362051104856561
Position 562: 0.0001460857264361816
Position 580: 0.00013232893723118494
Position 527: 0.00013044491851906575
Position 97: 0.0001300434249884295
Position 1372: 0.00012648649301284274
Position 541: 0.0001247100076401383
Position 913: 0.0001027722224608548
Position 1225: 9.369140641540981e-05
Position 160: 7.154054064156172e-05
Position 772: 6.901015087877557e-05
Position 946: 6.834080653747073e-05
Position 130: 5.626388953727074e-05
Position 967: 5.455237238839691e-05
