Gene = Acp26Ab
index = 9
Annotated 5SS: [56]
Annotated 3SS: [116]
SMsplice 5SS: [56]
SMsplice 3SS: [116]
top_k =  1000
Partition function (log Z): -7.689987708220964

Sorted 5' Splice Sites (High to Low Probability):
Position 56: 0.9509069846824575
Position 64: 0.025673763731328292
Position 79: 0.017924139770324737
Position 60: 0.0041973620314341405
Position 440: 0.0009060358727898068
Position 418: 0.0007732380020618164
Position 40: 0.00038035243964026775
Position 330: 0.00030360187030187486
Position 88: 0.0003006466477189751
Position 332: 0.00019954480341059262
Position 197: 5.8060202020001296e-05
Position 246: 3.125745600396381e-05
Position 236: 2.5357580674506395e-05
Position 455: 2.1027861624310586e-05
Position 211: 1.6559143568872894e-05
Position 234: 1.1451128516398864e-05
Position 248: 1.0240056479026315e-05
Position 3: 3.5058905124718593e-06
Position 169: 1.918466044844733e-06
Position 493: 1.906794575601594e-06
Position 16: 1.7116098145531035e-06
Position 174: 1.315939975728735e-06
Position 102: 7.366958541070768e-07
Position 312: 4.957813438819184e-07
Position 164: 1.1432787043957157e-07
Position 305: 1.1427576717179894e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 116: 0.8089089827875887
Position 141: 0.16524403455800055
Position 493: 0.00453648516535204
Position 169: 0.0040093885067412184
Position 102: 0.003158673821316743
Position 174: 0.0028579006274438152
Position 234: 0.0027009966242579784
Position 290: 0.002573967236172544
Position 473: 0.0020002887686398174
Position 193: 0.0017198710105005904
Position 186: 0.0011436737843135206
Position 162: 0.0011012578369139854
Position 287: 0.0006447439293553495
Position 418: 0.0006194342917822132
Position 373: 0.00010420979708309139
Position 241: 7.260393821969725e-05
Position 530: 6.863513927448193e-05
Position 543: 5.856428827698856e-05
Position 326: 5.569159960280426e-05
Position 527: 5.479667271389863e-05
Position 389: 5.2832954551186675e-05
Position 246: 3.358170028160957e-05
Position 216: 1.2393244828636702e-05
Position 197: 9.919713020643917e-06
Position 340: 4.313025926587899e-06
Position 428: 3.0913779990834383e-06
Position 312: 6.627699253246925e-07
Position 86: 2.4620046752167544e-07
Position 68: 8.828752344297452e-08
Position 328: 5.447982499226793e-08
Position 60: 3.946365575612603e-08
Position 545: 9.092986548899046e-09
Position 330: 8.356848365731596e-09
Position 88: 1.5566560050373672e-09
Position 78: 4.540684250937032e-10
