Gene = defl
index = 1667
Annotated 5SS: [1589]
Annotated 3SS: [1645]
SMsplice 5SS: [1589]
SMsplice 3SS: [1645]
top_k =  1000
Partition function (log Z): -9.093475244085177

Sorted 5' Splice Sites (High to Low Probability):
Position 1589: 0.9168865034564142
Position 97: 0.27969454356921625
Position 1824: 0.16314544488068725
Position 1359: 0.14459044327613696
Position 1796: 0.08441085136317922
Position 35: 0.05585458247091671
Position 2726: 0.0500952526275333
Position 764: 0.023306519169299034
Position 2042: 0.020187104067856468
Position 286: 0.017125788380471994
Position 3175: 0.01594877059201083
Position 1509: 0.0157686560541297
Position 2234: 0.012953856921341723
Position 2613: 0.01071581921679757
Position 863: 0.008071181969803493
Position 539: 0.007819145540548016
Position 1341: 0.007076743024255771
Position 587: 0.003664997771284807
Position 247: 0.0030112818072917957
Position 689: 0.0029639068557416326
Position 633: 0.0029095669644420338
Position 2423: 0.0023024055788832265
Position 935: 0.00227134568968269
Position 143: 0.0021447360678864104
Position 2957: 0.0019215005788790894
Position 1485: 0.0018075647091182541
Position 966: 0.001598210083790843
Position 876: 0.00136206403810275
Position 652: 0.0012561117547821917
Position 1346: 0.0011666514428308268
Position 2795: 0.000786559646105738
Position 2333: 0.0007445613953983485
Position 1137: 0.0006930697496328626
Position 260: 0.0006730033074623363
Position 2219: 0.0006297010233435759
Position 1757: 0.0005989716533873451
Position 2091: 0.0005748645099074813
Position 923: 0.0004761228465804274
Position 1468: 0.00047206517366957083
Position 101: 0.00043673906823171656
Position 1029: 0.00041749813488066093
Position 1491: 0.0004170685284679865
Position 3195: 0.000405294216725684
Position 1318: 0.000383386330314335
Position 1075: 0.00037880570859041325
Position 1437: 0.0003687448451134469
Position 1846: 0.0003419207306364896
Position 292: 0.0003111964321206675
Position 434: 0.00023109952889257326
Position 2437: 0.0002300881316326814
Position 1726: 0.0002267931629584828
Position 1513: 0.000184077601139277
Position 257: 0.00016753356948221725
Position 1253: 0.0001655443087440365
Position 1274: 0.00016066131670468113
Position 518: 0.00015105655953095382
Position 452: 0.00013126299788567672
Position 1048: 0.00012081109470296934
Position 371: 0.00010994287613685146
Position 974: 7.637779028211544e-05
Position 628: 7.570498608700883e-05
Position 473: 6.017026509608502e-05
Position 197: 5.992853381943499e-05
Position 1027: 5.375375579784478e-05
Position 1913: 5.291047118309364e-05
Position 818: 4.970552435212132e-05
Position 695: 4.553684967230987e-05
Position 757: 4.1443004804894936e-05
Position 441: 4.119027266665532e-05
Position 775: 3.969890959750658e-05
Position 1573: 3.661668366991107e-05
Position 815: 3.654056534353339e-05
Position 1124: 3.59561861167562e-05
Position 113: 2.941058585798303e-05
Position 480: 2.8979514609566956e-05
