Gene = ref(2)P
index = 1855
Annotated 5SS: [ 521 2634]
Annotated 3SS: [1151 2688]
SMsplice 5SS: [ 521 2634]
SMsplice 3SS: [1151 2688]
top_k =  1000
Partition function (log Z): -3.4256863323832976

Sorted 5' Splice Sites (High to Low Probability):
Position 2634: 0.9976400713692984
Position 521: 0.8815132574250709
Position 1402: 0.12232368237910918
Position 1847: 0.08143503084700371
Position 502: 0.05691049158736995
Position 2805: 0.04844851302105132
Position 263: 0.03822395328707403
Position 2814: 0.023324667656918634
Position 624: 0.015730728527859398
Position 1503: 0.0139233716480178
Position 980: 0.006055679792516938
Position 1075: 0.005512996272623207
Position 2534: 0.0045825627441022565
Position 318: 0.0032659276140245184
Position 840: 0.0031437702516373613
Position 2867: 0.0028635752594364295
Position 549: 0.002702685514200626
Position 82: 0.002246271756141641
Position 1032: 0.0021441395790729838
Position 2771: 0.0017919210599185058
Position 142: 0.0015648376566813934
Position 282: 0.0013939319584220886
Position 2376: 0.001332368167536836
Position 821: 0.0008738689589183562
Position 630: 0.0007259751749879165
Position 555: 0.0006345381974576361
Position 1886: 0.0005992597918778536
Position 2775: 0.0005721922374881602
Position 1046: 0.0005078043758069207
Position 1287: 0.00033403522335041514
Position 1238: 0.0003188541222048193
Position 1963: 0.0002949760705639982
Position 1922: 0.00028826295873473734
Position 1508: 0.0002868035684500105
Position 1527: 0.00024300675056301884
Position 1675: 0.00021315694042637614
Position 2146: 0.00018627100572434277
Position 1519: 0.00018437330469663006
Position 210: 0.0001721124002837359
Position 761: 0.0001615474479590869
Position 575: 0.00014449277864348505
Position 691: 0.00013928058822645307
Position 1057: 0.00013218583748008492
Position 174: 0.00010311412072189333
Position 617: 8.136304085254219e-05
Position 848: 7.851434831532817e-05
Position 133: 7.693318125694527e-05
Position 1863: 7.46715305591637e-05
Position 975: 6.572313558064836e-05
Position 795: 4.934444005951764e-05
Position 1390: 4.758703757087965e-05
Position 449: 4.499902599359028e-05
Position 240: 4.4416806305612504e-05
Position 1770: 4.2878379101778566e-05
Position 1023: 4.281992906757449e-05
Position 851: 4.1107361640444375e-05
Position 213: 4.059602039363051e-05
Position 1899: 3.815428102494217e-05
Position 871: 3.3540683739199286e-05
Position 986: 2.5087710084229408e-05
Position 1178: 2.492097522739082e-05
Position 1213: 2.2150581126237442e-05
Position 992: 2.1127179902646243e-05
Position 660: 1.900490938243917e-05
Position 725: 1.6956553333271596e-05
Position 465: 1.52657454080117e-05
Position 60: 1.4519080332537505e-05
Position 2638: 8.552381103430542e-06
Position 696: 8.466757633823252e-06
Position 638: 8.209266453903201e-06
Position 525: 7.684500967419577e-06
Position 322: 6.5581477573173615e-06
Position 2981: 6.23480667537488e-06
Position 2615: 5.79281740430477e-06
Position 2429: 2.0058764404859625e-06
Position 1256: 1.9944537596853884e-06
Position 1352: 1.1597482019516774e-06
Position 2950: 1.1501310084608522e-06
Position 2229: 9.791858881161531e-07
Position 2966: 8.197678821877896e-07
Position 486: 8.019451815935223e-07
Position 2997: 4.4198874535920095e-07
Position 363: 3.512390437403999e-07
Position 1026: 3.141168404679238e-07
Position 2931: 2.58867495156697e-07
Position 2947: 1.8711891104162388e-07
Position 669: 1.7049379783953713e-07
Position 2916: 1.3906410554269726e-07
Position 797: 1.2182274385550493e-07
Position 596: 1.1991923798429743e-07
Position 2665: 2.3947880605983916e-08
Position 2106: 1.5945897470548815e-08
Position 340: 6.397538496101001e-09
Position 2040: 3.1868172682428006e-10
Position 984: 7.997738694686276e-12
Position 2731: 7.637243142492532e-13
Position 1641: 7.514521864955417e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2688: 0.9775449789848676
Position 1151: 0.6571790358389639
Position 1948: 0.11177896867173086
Position 2422: 0.0904997322575291
Position 1013: 0.08899578984110797
Position 2885: 0.071401201713511
Position 2446: 0.03279836738392641
Position 2001: 0.030107224745350946
Position 318: 0.028885004438113347
Position 1582: 0.028738882345966676
Position 2376: 0.022543442655464693
Position 2737: 0.018990119373529134
Position 1909: 0.016488032055139507
Position 2248: 0.014179691379183451
Position 1237: 0.012820010174232673
Position 1526: 0.012782195552521967
Position 334: 0.011224986831928607
Position 1435: 0.009961372875100401
Position 2017: 0.00805531029414693
Position 1922: 0.007987183567845616
Position 711: 0.007579428037336424
Position 575: 0.006126685622929688
Position 2922: 0.005611072047553996
Position 2206: 0.0053676397677803935
Position 1198: 0.0050388603333431925
Position 1178: 0.00466441333012472
Position 381: 0.004134692818474447
Position 2076: 0.003041182643316478
Position 1049: 0.002357809610534342
Position 2591: 0.0021841019228630533
Position 1585: 0.0019051329899725726
Position 2594: 0.0018624840022629274
Position 2254: 0.0016967648566738763
Position 2275: 0.0016811119795209408
Position 2467: 0.0015332117668236452
Position 809: 0.0015211499763942142
Position 1532: 0.0013644458387285013
Position 669: 0.0011964191394556786
Position 1456: 0.001146191639124928
Position 1213: 0.0010928091109793662
Position 2515: 0.0010256573756190282
Position 2574: 0.0008102851634272878
Position 2300: 0.0007987139888444414
Position 1066: 0.000788042806147025
Position 980: 0.0007677683977960557
Position 2822: 0.0006526912739781753
Position 2035: 0.0005316046962597006
Position 1741: 0.0005174084315946217
Position 745: 0.0004891966166094741
Position 604: 0.00045777781429822274
Position 2900: 0.00034845521013377394
Position 2934: 0.0003302087123966773
Position 691: 0.0003289162410526325
Position 1259: 0.00031345282564538066
Position 1781: 0.0002890551250774438
Position 2425: 0.00028869503152023873
Position 3061: 0.0002646506416360301
Position 1675: 0.0002422719770472406
Position 1872: 0.00018581318759499908
Position 683: 0.00017694015908265124
Position 1402: 0.00017550514766007867
Position 1163: 0.00016472265818587336
Position 165: 0.00016466479083457526
Position 1807: 0.00015461673227751898
Position 547: 0.00014976720566116752
Position 863: 0.00012437962446255736
Position 1811: 0.00011849984489940808
Position 2695: 0.00011820387823608061
Position 742: 0.00011533003859491033
Position 2956: 0.00010582612632055712
Position 2258: 0.00010258706493208845
Position 2182: 9.741988317685708e-05
Position 2939: 9.439428924516011e-05
Position 1846: 8.692549924244256e-05
Position 477: 7.59646043519232e-05
Position 1416: 6.892745625405492e-05
Position 2099: 6.499750400078735e-05
Position 360: 6.143638557161039e-05
Position 757: 4.6867162814395474e-05
Position 2990: 3.925354290584247e-05
Position 1863: 3.794319358808344e-05
Position 1594: 3.7026739252311615e-05
Position 126: 3.213802902980072e-05
Position 2969: 3.120942814673754e-05
Position 1563: 2.8510062535410152e-05
Position 3069: 2.5523709529564696e-05
Position 1307: 2.208886053605211e-05
Position 666: 2.153537610754682e-05
Position 1270: 2.0932851749557294e-05
Position 2762: 2.0239170561192774e-05
Position 1075: 1.9833440644865778e-05
Position 432: 1.669498895894132e-05
Position 1219: 1.604568472522122e-05
Position 2769: 1.5065679317216237e-05
Position 142: 1.4026222087675642e-05
Position 1548: 1.3197788105432081e-05
Position 213: 6.334959941880987e-06
Position 630: 5.369661027485704e-06
Position 2793: 5.335954528211522e-06
Position 133: 3.9517465676355295e-06
Position 234: 3.919135625040617e-06
Position 210: 3.3343603667090053e-06
Position 396: 2.8117410003423264e-06
Position 116: 1.861671531475651e-06
Position 2744: 1.7573852610650622e-06
Position 263: 1.0888300744095583e-06
Position 402: 1.0581857404142027e-06
Position 480: 3.5328756450400267e-07
Position 506: 2.2074539741168111e-07
Position 286: 1.1460102099103016e-07
Position 486: 1.1290644893970325e-07
Position 462: 6.50372365674533e-08
Position 280: 5.003124368274138e-08
Position 357: 4.642043928070983e-09
Position 596: 4.0711198926056027e-10
Position 525: 1.4956252399629962e-10
Position 761: 4.02604814464721e-12
Position 549: 3.965660546012769e-12
Position 272: 7.8482102363635e-13
Position 218: 9.260738869122706e-15
Position 220: 3.1650525445698324e-17
