Gene = ush
index = 1923
Annotated 5SS: [47840 49217 60747 61212 61530 63030 63233]
Annotated 3SS: [49171 59802 60816 61328 61642 63089 63297]
SMsplice 5SS: [  112 25456 60747 61212 61530 63030 63233]
SMsplice 3SS: [25258 59802 60816 61328 61642 63089 63297]
top_k =  1000
Partition function (log Z): -51.670655568831336

Sorted 5' Splice Sites (High to Low Probability):
Position 25456: 0.9999089229009825
Position 112: 0.998568707492614
Position 12516: 0.728632494677159
Position 33277: 0.5913834924969232
Position 12798: 0.5895919800408667
Position 13401: 0.44512001229864867
Position 33648: 0.17595443509591838
Position 13450: 0.15366128619156605
Position 15139: 0.14663936030427085
Position 13784: 0.11326982152816978
Position 13095: 0.07366759231008807
Position 14349: 0.03286718469351545
Position 12924: 0.028727342851862056
Position 11984: 0.024740281806748785
Position 442: 0.023210175281140295
Position 12746: 0.015061800817531362
Position 9130: 0.012762529861973324
Position 11146: 0.010966011328588415
Position 3541: 0.009214156632045795
Position 3537: 0.00880890056277414
Position 2603: 0.00810623815782779
Position 12979: 0.007627703257598978
Position 2011: 0.007333142272633358
Position 12780: 0.0067105727783068805
Position 6564: 0.00670435506791345
Position 3081: 0.004381839909176519
Position 3711: 0.004307631172219003
Position 548: 0.003397214327470101
Position 5486: 0.0019671877343353816
Position 5108: 0.0017940116170975242
Position 801: 0.0017373861622010617
Position 5104: 0.0017194901586232284
Position 13489: 0.001612418490969606
Position 3234: 0.0011927348744299952
Position 3300: 0.0011375594597514737
Position 3060: 0.0009963743745961024
Position 3242: 0.0006333921486049047
Position 3306: 0.00036265337315877883
Position 1816: 0.00032808331317904683
Position 5684: 0.00022718076008844697
Position 1620: 0.00020127012844054892
Position 3310: 0.00018237432127019096
Position 6216: 0.00016480134574798695
Position 2351: 0.00015799712532289144
Position 2334: 0.00014226137563857138
Position 3314: 0.0001226811642844867
Position 5015: 0.00011440845548548191
Position 589: 0.00010911863820475992
Position 3091: 9.927751440662638e-05
Position 239: 8.424714591394184e-05
Position 1103: 8.28198730424463e-05
Position 555: 6.693982960149077e-05
Position 1348: 6.509248927299187e-05
Position 6228: 6.101354849671788e-05
Position 5653: 6.089178035566383e-05
Position 5172: 6.02899650303523e-05
Position 1107: 6.005277175179919e-05
Position 1043: 5.8538043275131296e-05
Position 1205: 5.246791286043005e-05
Position 692: 4.010319162556313e-05
Position 1111: 3.715309893267233e-05
Position 2021: 2.307104644866149e-05
Position 1534: 1.9802858347473628e-05
Position 268: 1.5152650410579189e-05
Position 25946: 1.2762458827617136e-05
Position 1314: 1.2554840041511369e-05
Position 1232: 1.2067369250404794e-05
Position 1677: 1.0022563739971527e-05
Position 5118: 9.50846839780751e-06
Position 3584: 9.43356332674969e-06
Position 334: 9.248934552653384e-06
Position 503: 8.011220411178155e-06
Position 4063: 7.978771029041735e-06
Position 3806: 7.885053968281007e-06
Position 2205: 7.554208043037636e-06
Position 4516: 7.169739323743411e-06
Position 2701: 6.72535430495876e-06
Position 1101: 6.520067466328932e-06
Position 374: 6.505960834411516e-06
Position 3018: 6.196131837291516e-06
Position 446: 6.139118593409458e-06
Position 2004: 5.6090925909478915e-06
Position 90: 5.111420460088263e-06
Position 253: 4.93262333750076e-06
Position 389: 4.548743535828431e-06
Position 1890: 4.427094628433708e-06
Position 1627: 4.205725390840152e-06
Position 336: 4.093868402196673e-06
Position 1016: 2.3477029645304588e-06
Position 47: 2.1129611297223343e-06
Position 84: 1.2196197788366412e-06
Position 1001: 1.099709574214284e-06
Position 162: 8.100602173621958e-07
Position 221: 3.3451305182080505e-07
Position 13550: 3.263857191627102e-07
Position 569: 3.0637276755153485e-07
Position 968: 2.788654531545067e-07
Position 671: 2.652001504217092e-07
