Gene = Pde1c
index = 1363
Annotated 5SS: [ 54316  69682  90090  93483  95313  98296 109973 111220]
Annotated 3SS: [ 69011  89798  92920  95198  97740 109722 110078 111865]
SMsplice 5SS: [  2082  70256  90090  93483  95313 109973 111220]
SMsplice 3SS: [ 70181  89798  92920  95198 109722 110078 111865]
top_k =  1000
Partition function (log Z): -133.78519981313912

Sorted 5' Splice Sites (High to Low Probability):
Position 2082: 0.46073127084378407
Position 12373: 0.2952439298009398
Position 147: 0.20889783972690612
Position 13040: 0.19353769379138067
Position 1175: 0.1786508361238204
Position 711: 0.11293188787801699
Position 887: 0.10782205146729351
Position 1181: 0.061859818996178075
Position 934: 0.0551552873984296
Position 707: 0.04699309398813909
Position 874: 0.046939188031411186
Position 30: 0.04440619410820423
Position 18708: 0.0385536348362289
Position 13220: 0.03838381688949041
Position 3031: 0.033239782040423105
Position 12857: 0.030081915006092554
Position 7706: 0.027805615130769068
Position 672: 0.024457420237904995
Position 12630: 0.023217655841654056
Position 251: 0.021896678729194083
Position 1725: 0.019315533964346255
Position 12676: 0.01754031162760057
Position 2106: 0.015488171360632803
Position 6838: 0.01339103776086707
Position 168: 0.01221230606139693
Position 6661: 0.010888901680053726
Position 4870: 0.00982194627232417
Position 16887: 0.009120398629064969
Position 5276: 0.007942326086310854
Position 7518: 0.004063501484885411
Position 670: 0.003943818624050668
Position 131: 0.0038772846677283973
Position 129: 0.0037711216806625802
Position 133: 0.0033876283884500162
Position 127: 0.003117531005184283
Position 135: 0.0030024034035282645
Position 681: 0.001380012310515476
Position 401: 0.0011564824371475318
Position 496: 0.0010839744446844973
Position 125: 0.0008046226674370243
Position 227: 0.0006540723879714606
Position 843: 0.0005509063794764445
Position 1008: 0.0005054190762114599
Position 679: 0.000501604006710271
Position 1717: 0.00047275681211953906
Position 7098: 0.00046641469314954515
Position 1398: 0.0004574236762493168
Position 507: 0.0004547745877404298
Position 4656: 0.0003948162165503836
Position 123: 0.0003695249853148901
Position 999: 0.0003517791174665582
Position 697: 0.0003148615646369032
Position 349: 0.0002784212178247448
Position 317: 0.00022442508525609544
Position 275: 0.00020858193373188952
Position 96: 0.00020329295244291828
Position 548: 0.00013614843106076084
Position 6649: 0.00013276248669417953
Position 6656: 0.0001094078101775323
Position 1367: 9.678793970000265e-05
Position 554: 8.982701168521367e-05
Position 1388: 7.235289675207731e-05
Position 73: 5.707636339659792e-05
Position 139: 5.110012061392542e-05
Position 643: 5.035298277373847e-05
Position 1277: 4.98195655837346e-05
Position 608: 4.921869424158651e-05
Position 1220: 4.4614895086952586e-05
Position 723: 4.3668594802637444e-05
Position 2682: 3.997469602874021e-05
Position 117: 3.7999919296907024e-05
Position 981: 3.716157468405234e-05
Position 2635: 3.659680277409585e-05
Position 38: 3.4550404910058166e-05
Position 328: 3.2418514684117517e-05
Position 98: 2.989972013652292e-05
Position 2281: 2.948385429917398e-05
Position 2871: 2.58647584588561e-05
Position 137: 1.9354713365635722e-05
Position 1141: 1.847148893447899e-05
Position 145: 1.4688687363547029e-05
Position 1349: 1.4600782648651634e-05
Position 645: 1.0395890816843777e-05
Position 912: 7.820405777254108e-06
Position 972: 7.556794479544683e-06
Position 470: 5.983665749738686e-06
Position 5373: 5.977072930461324e-06
Position 929: 5.942887220858467e-06
Position 425: 5.709931006220725e-06
Position 151: 2.8158149189752203e-06
Position 759: 2.1562833651181663e-06
Position 467: 2.0392844810764825e-06
Position 3035: 1.985927171525751e-06
Position 159: 1.9688680629284776e-06
Position 3: 1.524249348219144e-06
Position 540: 1.315025459530512e-06
Position 1010: 9.883752851128682e-07
Position 1217: 9.573063181224428e-07
Position 6: 6.520070934486476e-07
Position 734: 2.540195576889326e-07
Position 378: 1.348618891096705e-07
Position 459: 8.391175291394323e-08
Position 428: 7.505483976739327e-08
Position 85: 7.496677750128524e-08
Position 1105: 2.9968180389894154e-08
Position 2268: 2.0915455454658532e-08
Position 801: 1.426446160429718e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 16863: 0.888295638236098
Position 11829: 0.30966130214773513
Position 779: 0.19442918057454944
Position 12521: 0.1311146554311835
Position 12500: 0.11038784692724994
Position 18555: 0.10479901809245071
Position 951: 0.07116812192228586
Position 1784: 0.04214572766448158
Position 1497: 0.041250716739301606
Position 19074: 0.03855363483622925
Position 1086: 0.027443536732724927
Position 6479: 0.022225404305248157
Position 7262: 0.020686272517093377
Position 12780: 0.02032521821020333
Position 1260: 0.019434369571001878
Position 12665: 0.01706084665583893
Position 1002: 0.01481930654604108
Position 2174: 0.011645335097963208
Position 1957: 0.010291473940623769
Position 5166: 0.009434810840590823
Position 1031: 0.009403083947063243
Position 16941: 0.009120398629065043
Position 12913: 0.007959974766945533
Position 7141: 0.005168268263375847
Position 14992: 0.004393269140138942
Position 7573: 0.004063501484885426
Position 12693: 0.0037714566844910275
Position 2150: 0.0037437205359883274
Position 1724: 0.00338592946776999
Position 4793: 0.003268678839663151
Position 2856: 0.003210811834864335
Position 1263: 0.0031051982593479784
Position 2334: 0.0027685429675171074
Position 2909: 0.0026018529065017612
Position 4745: 0.0025746566647423122
Position 4551: 0.0021761616613039064
Position 194: 0.0020677964659720593
Position 1005: 0.001639454354323605
Position 2978: 0.0016392278005198664
Position 826: 0.0016020334812953496
Position 2730: 0.0015195635049644683
Position 5498: 0.0013909787892640308
Position 759: 0.0013033261991665856
Position 332: 0.001177445534785067
Position 1174: 0.0010477835450161121
Position 2889: 0.0009294350151928843
Position 1883: 0.0009256203636063736
Position 1554: 0.0009035784917938922
Position 4765: 0.0008762980827582856
Position 1060: 0.0007434041628922129
Position 317: 0.0007365131672308567
Position 6990: 0.0007274187686036735
Position 6188: 0.0007073784367511443
Position 1266: 0.000668552123284393
Position 4756: 0.0006306828927050007
Position 1522: 0.0005929876468496175
Position 2461: 0.0005464552297435025
Position 2426: 0.00042825926184329467
Position 5063: 0.0003986959087555181
Position 2790: 0.00039281332961357937
Position 2950: 0.00039273516075945253
Position 2307: 0.0003896302838702176
Position 830: 0.00037070657890073133
Position 2205: 0.00035758665527849365
Position 1367: 0.00034686456182038465
Position 3119: 0.0003297805559722176
Position 2874: 0.0003000091654291046
Position 81: 0.00029509406695761944
Position 2015: 0.0002436766373039027
Position 13414: 0.00023042217354004828
Position 1141: 0.00018704199215059273
Position 3905: 0.00016797599711096124
Position 1892: 0.00012206551018115526
Position 623: 0.00011851843378986318
Position 4399: 0.00010365085596740713
Position 4178: 7.128275578717284e-05
Position 859: 6.281991089561192e-05
Position 2671: 5.2329934911828726e-05
Position 575: 4.788695066760772e-05
Position 1128: 4.0886970537400834e-05
Position 222: 3.258291259404345e-05
Position 111: 2.7205853354435243e-05
Position 275: 2.280992420806639e-05
Position 425: 2.1611647706168465e-05
Position 457: 2.0442430466196175e-05
Position 480: 1.5066481548594654e-05
Position 349: 1.3217349789643255e-05
Position 362: 1.1122474647838877e-05
Position 346: 9.657464835197265e-06
Position 3917: 7.693522472670694e-06
Position 1599: 5.475728076211221e-06
Position 969: 5.217902994472443e-06
Position 5193: 4.937241811821806e-06
Position 145: 4.883576371222916e-06
Position 245: 4.239985566276909e-06
Position 1741: 2.261690254269138e-06
Position 227: 2.1319491017520873e-06
Position 1257: 1.9555014969153822e-06
Position 512: 1.941218195973534e-06
Position 1535: 1.7990631834461376e-06
Position 10004: 1.7078423865597272e-06
Position 593: 1.6401742619430044e-06
Position 577: 1.3628908755319142e-06
Position 5136: 1.3219079952378872e-06
Position 1017: 1.0625109436583818e-06
Position 1614: 9.427842668904499e-07
Position 507: 8.917214633035681e-07
Position 2947: 8.846533603536596e-07
Position 2351: 8.213898653105355e-07
Position 2569: 4.6802935691776203e-07
Position 288: 4.406812955786874e-07
Position 934: 4.3435036693249833e-07
Position 8029: 4.301273744666441e-07
Position 168: 4.063347825553853e-07
Position 9518: 2.1515788403266098e-07
Position 200: 1.47439085707801e-07
Position 91: 1.3261461393281144e-07
Position 8423: 1.1885099858779886e-07
Position 486: 1.1081197414523595e-07
Position 1105: 1.0674606035540846e-07
Position 964: 7.81415800792554e-08
Position 7844: 6.20261574946748e-08
Position 5454: 2.5919665454464314e-08
Position 172: 1.0143587431402182e-08
Position 117: 3.6193151948691943e-09
Position 5321: 3.5621432616687557e-09
Position 5120: 1.8095764390490849e-09
Position 3241: 1.626245923255786e-09
Position 3142: 1.5535348371331551e-09
Position 3566: 6.382908239567152e-10
Position 3553: 5.957359797596175e-10
Position 2843: 2.414130494822656e-10
Position 151: 5.793400143111007e-12
Position 2992: 4.921418898175569e-12
Position 233: 1.3519297179286693e-12
