Gene = PGRP-LC
index = 1355
Annotated 5SS: [5803 6258 6951]
Annotated 3SS: [6089 6798 7017]
SMsplice 5SS: [  57 4320 6258 6650 6951 7936]
SMsplice 3SS: [3354 6089 6539 6798 7748 7997]
top_k =  1000
Partition function (log Z): 1.1813338732011838

Sorted 5' Splice Sites (High to Low Probability):
Position 7936: 0.9588697287457152
Position 4320: 0.9577886273895081
Position 6951: 0.9560108323817309
Position 6650: 0.6122880046826589
Position 6258: 0.5929256456449893
Position 57: 0.43688275445434227
Position 5803: 0.38538403277417244
Position 75: 0.33703529898551166
Position 759: 0.22724236476206108
Position 8480: 0.181397971771278
Position 308: 0.15320774297924514
Position 6315: 0.14274398471489785
Position 8167: 0.1397923721914986
Position 1780: 0.12738920566922676
Position 8363: 0.11961945470816963
Position 2234: 0.11465125436818077
Position 8774: 0.11031417897187784
Position 4470: 0.07268813744228197
Position 4011: 0.0428734538813039
Position 1692: 0.042692185971608
Position 942: 0.041887093004367555
Position 4744: 0.04182482169624298
Position 4705: 0.040954602706975485
Position 8440: 0.037605818256677706
Position 6461: 0.020443735128701672
Position 7427: 0.018448361493202343
Position 3567: 0.016384087646589142
Position 7894: 0.0145577699987506
Position 32: 0.014285442715883835
Position 9084: 0.013130869424735254
Position 991: 0.011482585064353488
Position 415: 0.011125579154596403
Position 7187: 0.00957579853710243
Position 9370: 0.009535605575481181
Position 8408: 0.008387482358848763
Position 79: 0.008050835824507134
Position 3572: 0.007936636011197479
Position 2353: 0.007708520446181588
Position 7713: 0.007024662989862278
Position 2588: 0.006686689108025817
Position 6449: 0.0061225273743912186
Position 9090: 0.005750441296417495
Position 6615: 0.00532808306740993
Position 2225: 0.004583671646556314
Position 6496: 0.004564881870946701
Position 6645: 0.004508024798252146
Position 712: 0.0044333918251923555
Position 5135: 0.0043591676708077095
Position 7608: 0.004295512003921797
Position 2582: 0.00417656434486815
Position 6424: 0.00414068863048415
Position 8064: 0.0036287758681087944
Position 6482: 0.003617524181440013
Position 8098: 0.0035275521182312167
Position 5290: 0.0031622359218918612
Position 5681: 0.002807315343219338
Position 7925: 0.0028015972841922607
Position 8779: 0.002593857362791781
Position 1701: 0.0025905874926869053
Position 5940: 0.0023816179664385467
Position 557: 0.0021762271173975064
Position 7718: 0.001993038349741877
Position 8602: 0.0016262472131487633
Position 6185: 0.0016021010696406557
Position 1481: 0.0015983342380084804
Position 7166: 0.0015426207216229894
Position 1726: 0.0015195663299627442
Position 7822: 0.001501254900686502
Position 2628: 0.001475101873598097
Position 8248: 0.0014664412122505704
Position 2095: 0.001354001470690789
Position 8161: 0.0012789258532504043
Position 7577: 0.0012694812709013554
Position 1128: 0.0010965774125811741
Position 5796: 0.001048571487985313
Position 8650: 0.0009447852146073634
Position 7122: 0.0009297421148627704
Position 4682: 0.0008715947383594996
Position 771: 0.000857454700284424
Position 2991: 0.0007799372873850965
Position 98: 0.0007317425114036986
Position 1307: 0.0006750014769796838
Position 4770: 0.0006733912372487708
Position 6733: 0.0006542142802368308
Position 4863: 0.0006512768794836807
Position 8082: 0.0005832101224455921
Position 6176: 0.0005712615723906875
Position 6207: 0.0005703442667017441
Position 1179: 0.0005639491790163128
Position 7844: 0.0005543959350623995
Position 1824: 0.0005444558694579319
Position 9041: 0.0005279182420704974
Position 2219: 0.0005098865301395861
Position 1433: 0.0004950535051216268
Position 4454: 0.00047733228700306266
Position 3511: 0.00047029124762789433
Position 5148: 0.000459283147314695
Position 9000: 0.00043805145211168924
Position 4474: 0.0004255134258705162
Position 8785: 0.00041779944204792165
Position 8721: 0.00041164345423787144
Position 4959: 0.0003995031519350812
Position 5335: 0.00038508475330638564
Position 1314: 0.00036800403027556147
Position 312: 0.00034238187796435893
Position 610: 0.00033472706174666534
Position 6179: 0.0003180766954436533
Position 1208: 0.00024718729771281924
Position 2178: 0.00023702346349662077
Position 6422: 0.0002235589975312222
Position 8442: 0.00022342134493063837
Position 5469: 0.00022220531417198804
Position 9362: 0.00021220260321623509
Position 1799: 0.00020999534126627255
Position 5282: 0.00019935184487806175
Position 8227: 0.0001986988161726269
Position 5735: 0.00017673779084108286
Position 5605: 0.00016763725549224988
Position 1801: 0.00016763311033003042
Position 5738: 0.00016673240328962172
Position 5077: 0.00015916533329606432
Position 4311: 0.00014225745032642477
Position 346: 0.00013689549319841732
Position 8492: 0.0001260114705151804
Position 996: 0.00011774607366401694
Position 755: 0.0001173272307847468
Position 8484: 0.00010305170483194604
Position 2008: 0.0001020096888439157
Position 809: 9.81818650484508e-05
Position 1760: 9.744323218473323e-05
Position 5562: 9.313203293101533e-05
Position 119: 8.781933237781183e-05
Position 1784: 8.031679539823658e-05
Position 248: 7.01585157346447e-05
Position 602: 6.786057625430585e-05
Position 8931: 6.529080007858286e-05
Position 981: 6.349828373165283e-05
Position 8113: 5.1762093443751906e-05
Position 9286: 4.30566338538903e-05
Position 116: 3.806468360432968e-05
Position 1182: 3.694282035478876e-05
Position 5887: 3.4951343662206865e-05
Position 9043: 3.487274423934463e-05
Position 1197: 3.4401537598223775e-05
Position 4837: 3.407795456081793e-05
Position 423: 3.339801241001087e-05
Position 250: 3.206432198072181e-05
Position 4128: 3.141778562526375e-05
Position 5104: 2.9427819234061785e-05
Position 193: 1.848546788877142e-05
Position 1055: 1.6940275490798743e-05
Position 1152: 1.5735019004413014e-05
Position 7147: 1.3311051092879968e-05
Position 618: 1.0970265992247024e-05
Position 7118: 9.827464852126697e-06
Position 657: 9.63787284337393e-06
Position 951: 8.55915545083047e-06
Position 1162: 6.050973918438297e-06
Position 372: 2.970198747923127e-06
Position 1252: 2.288827697201969e-06
