Gene = mio
index = 1791
Annotated 5SS: [ 255  482  792 1815 2427 2969]
Annotated 3SS: [ 307  539  883 1870 2486 3029]
SMsplice 5SS: [ 255  792 1815 2427 2969]
SMsplice 3SS: [ 307  883 1870 2486 3029]
top_k =  1000
Partition function (log Z): 6.494887182403572

Sorted 5' Splice Sites (High to Low Probability):
Position 1815: 0.9975843875383733
Position 2969: 0.987364343628208
Position 255: 0.9553636553376461
Position 2427: 0.9478642787117081
Position 792: 0.9422629973867503
Position 482: 0.45324448247718296
Position 990: 0.08414097524271696
Position 979: 0.038054376142215844
Position 814: 0.017452307257087792
Position 1171: 0.014793059991381884
Position 2594: 0.013806536802252576
Position 477: 0.010100380434733306
Position 830: 0.009678836537396743
Position 224: 0.0039742790099130355
Position 833: 0.002402566430465108
Position 796: 0.001832580343988121
Position 412: 0.0016009604649925644
Position 29: 0.001534932480727675
Position 260: 0.0008887336204602033
Position 743: 0.0007573618166253327
Position 3: 0.0005348283803999463
Position 1227: 0.00048729416050353005
Position 486: 0.00028806173064991193
Position 937: 0.00025620659861664825
Position 1626: 0.00024735498977631736
Position 3259: 0.0002319296907205307
Position 191: 0.00022848012815428174
Position 2693: 0.00022090126190895543
Position 2063: 0.00021051301581724875
Position 433: 0.00020406055332521903
Position 1949: 0.0002039786682587074
Position 2433: 0.0001933489790106486
Position 2963: 0.00016686767129870338
Position 2829: 0.0001350804486871479
Position 887: 0.0001268018866929068
Position 3236: 0.00012117273295454321
Position 778: 0.00011656188427160333
Position 92: 0.00010828374295340345
Position 1964: 0.00010094619979186039
Position 1221: 9.556735354173815e-05
Position 1136: 8.926420996821783e-05
Position 1762: 7.420389250886637e-05
Position 7: 6.933323121039642e-05
Position 1487: 5.880964923906464e-05
Position 1639: 5.5262334008090466e-05
Position 2960: 5.2716159150598904e-05
Position 922: 4.8955205236010425e-05
Position 1556: 4.683192977420144e-05
Position 2030: 4.516661476063077e-05
Position 3270: 3.932710317127949e-05
Position 1231: 3.803913918426718e-05
Position 2421: 3.39617326733272e-05
Position 1214: 3.232749309135483e-05
Position 3268: 3.201149018240809e-05
Position 3204: 2.860172920998022e-05
Position 2335: 2.7700715452165406e-05
Position 1013: 2.6475646906717542e-05
Position 392: 2.639211461488655e-05
Position 32: 2.5918578719260774e-05
Position 1490: 2.3182318731334632e-05
Position 88: 2.1907325112772084e-05
Position 2113: 2.163491210423504e-05
Position 2664: 2.1256973439543146e-05
Position 970: 2.106233886231557e-05
Position 416: 1.7215547988790433e-05
Position 348: 1.6990355590130134e-05
Position 2490: 1.6804773542653994e-05
Position 5: 1.650021824914519e-05
Position 1064: 1.4826442580302878e-05
Position 2980: 1.313759147109959e-05
Position 37: 1.2797802868362365e-05
Position 660: 1.064316221596693e-05
Position 695: 1.023898412207644e-05
Position 3182: 9.376171772566048e-06
Position 2549: 9.300557715237946e-06
Position 2903: 9.247630243190665e-06
Position 522: 7.947308262026569e-06
Position 2092: 6.955822329004968e-06
Position 1906: 6.660994790625357e-06
Position 2178: 6.6486677013057815e-06
Position 1819: 6.318345768455533e-06
Position 2973: 5.495043417083833e-06
Position 703: 5.1457956486971016e-06
Position 39: 4.621966468231019e-06
Position 50: 4.190315679156066e-06
Position 1873: 3.839430686966149e-06
Position 2120: 3.8228506561585044e-06
Position 3123: 3.8136651293886522e-06
Position 308: 3.800412786964443e-06
Position 536: 3.7613164511224043e-06
Position 3253: 3.577105145439259e-06
Position 2917: 3.2740872343554876e-06
Position 2452: 2.9944719040595663e-06
Position 3227: 2.9124252859565856e-06
Position 2243: 2.8850206621874553e-06
Position 166: 2.6250435022768636e-06
Position 546: 2.5521508870041354e-06
Position 1138: 2.075502604922687e-06
Position 899: 2.0612381223348388e-06
Position 95: 1.7339249614423312e-06
Position 3185: 1.7224367806001578e-06
Position 1946: 1.6737947809574525e-06
Position 3229: 1.5892659442836704e-06
Position 665: 1.2813300480952114e-06
Position 104: 1.117769920008581e-06
Position 1032: 9.179433817915865e-07
Position 328: 7.484539168680484e-07
Position 2396: 6.3006613985937e-07
Position 3193: 6.161470538531743e-07
Position 56: 6.04266495946224e-07
Position 559: 2.9093968494397555e-07
Position 1543: 2.779310445728628e-07
Position 1373: 2.5339852385830825e-07
Position 2906: 1.9937996787729766e-07
Position 3011: 1.6491798059368164e-07
Position 373: 3.318916859238152e-08
Position 1062: 3.0708147034743113e-10
Position 1644: 7.532898713038424e-11
Position 1641: 5.309898640608986e-11
Position 2653: 4.895491455669457e-11
Position 2915: 4.858234023355159e-11
Position 2871: 4.051167989590072e-11
Position 1504: 2.4078629685297223e-11
Position 1991: 3.0497920566796947e-12
Position 2076: 1.5793781136916569e-12
Position 1463: 2.743309768555072e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1870: 0.996155628524968
Position 3029: 0.9854128699392194
Position 307: 0.9588307488880268
Position 2486: 0.8503682564143662
Position 883: 0.8399898174755163
Position 539: 0.44575269281565716
Position 1053: 0.2449747704003458
Position 2653: 0.09873806447518918
Position 965: 0.014707592863151044
Position 1371: 0.00742584047851038
Position 1285: 0.007277044919705314
Position 2584: 0.006926234086164441
Position 1667: 0.0065865462295099575
Position 553: 0.003517247516615085
Position 1073: 0.0024522269469663847
Position 2523: 0.0023406984300106126
Position 412: 0.0023188453564772647
Position 3329: 0.001669936127047273
Position 3040: 0.0013173724984806218
Position 2693: 0.0009802405697304849
Position 922: 0.0009346521893460875
Position 905: 0.0008435387107609887
Position 1692: 0.0008368933454483089
Position 88: 0.0007499515804817794
Position 2755: 0.0007383431448290029
Position 2563: 0.0006427290192629903
Position 918: 0.0006281819995543322
Position 1318: 0.0006158974608285092
Position 550: 0.0005618191903536317
Position 2250: 0.0005518111419686124
Position 2092: 0.00041262297829822067
Position 2773: 0.0003864465995811719
Position 2493: 0.00035310714242201826
Position 2540: 0.0003313066815827337
Position 1340: 0.0002929297617234232
Position 2312: 0.00028790557899587986
