Gene = Muc26B
index = 1291
Annotated 5SS: [95]
Annotated 3SS: [157]
SMsplice 5SS: [95]
SMsplice 3SS: [157]
top_k =  1000
Partition function (log Z): -4.548010394745748

Sorted 5' Splice Sites (High to Low Probability):
Position 95: 0.9985245348896963
Position 1124: 0.02600398717452101
Position 267: 0.004733293320361795
Position 341: 0.004399611410029287
Position 332: 0.0037637798282252597
Position 451: 0.0026484219845796966
Position 1225: 0.001450362290775983
Position 1471: 0.0012675997032695954
Position 106: 0.0011740020270236521
Position 544: 0.000851786587777569
Position 479: 0.0006494119137354887
Position 392: 0.0003556096177878918
Position 1273: 0.0002175317064604223
Position 1142: 0.00020517264205704535
Position 1115: 0.0001746998202998924
Position 16: 0.0001267808172850228
Position 321: 9.563649546562208e-05
Position 1303: 8.756926468086207e-05
Position 1467: 8.438293067604379e-05
Position 265: 7.450267088818177e-05
Position 336: 5.448984179768017e-05
Position 1113: 4.9092594795206594e-05
Position 472: 3.829394562251367e-05
Position 1291: 2.2813538365134736e-05
Position 311: 1.3622303791270137e-05
Position 530: 1.2109614063565718e-05
Position 110: 9.104747750362715e-06
Position 1168: 7.615219873633331e-06
Position 358: 7.531811548287072e-06
Position 271: 7.133097260810806e-06
Position 1067: 5.27621474975696e-06
Position 1381: 4.947958233945599e-06
Position 20: 4.784778687755243e-06
Position 1332: 4.76620720010344e-06
Position 1625: 3.838771819352216e-06
Position 37: 3.2720438796510374e-06
Position 423: 3.0881939735406653e-06
Position 229: 3.0102651202450453e-06
Position 1540: 2.9049933494938186e-06
Position 397: 2.0103194905448025e-06
Position 1263: 1.9263769071064315e-06
Position 203: 1.2425295778122351e-06
Position 1267: 1.2285608100130218e-06
Position 1091: 1.1773541300263088e-06
Position 1043: 1.0370634392425121e-06
Position 1535: 9.607663156010923e-07
Position 1410: 9.174548770808313e-07
Position 1234: 8.284425503377209e-07
Position 70: 7.175127030879507e-07
Position 217: 7.015390552477731e-07
Position 205: 5.360628431443543e-07
Position 1019: 4.891693703702729e-07
Position 352: 4.485283410249187e-07
Position 51: 3.392117117830324e-07
Position 1217: 1.7257177095384833e-07
Position 301: 1.5492331603444962e-07
Position 659: 1.5381657611683785e-07
Position 731: 1.4858182287161876e-07
Position 707: 1.3665724629609212e-07
Position 500: 1.3404966675167116e-07
Position 683: 1.2870671234625008e-07
Position 1383: 1.1810893641173423e-07
Position 779: 1.0962214690284474e-07
Position 971: 1.0901003064098212e-07
Position 1190: 1.0159389432076152e-07
Position 803: 1.0058535348496495e-07
Position 330: 1.0032157677396411e-07
Position 875: 9.247976530662259e-08
Position 611: 9.041418055654371e-08
Position 635: 8.878153013898558e-08
Position 923: 8.6884280061862e-08
Position 851: 8.547871803092741e-08
Position 755: 8.539288298843766e-08
Position 947: 8.414639018093744e-08
Position 899: 8.390132687314816e-08
Position 995: 8.350976836095932e-08
Position 827: 7.603929490160574e-08
Position 214: 7.53601101556225e-08
Position 395: 6.939826526606467e-09
Position 260: 2.618506554362872e-09
Position 157: 1.9232424630895844e-09
Position 563: 1.8977599663297963e-09
Position 587: 1.6748252106626238e-09
Position 1362: 4.920639815154161e-10
Position 181: 3.089513609782087e-10
Position 343: 3.945168773381656e-11
Position 1166: 2.7112723658437056e-11
Position 167: 7.46767252788963e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 157: 0.9996426498095933
Position 1174: 0.01558152460843768
Position 1213: 0.008454843033656852
Position 1724: 0.008031935030788714
Position 1123: 0.004712236821143913
Position 1176: 0.0015710348325602896
Position 538: 0.0013408028053199985
Position 454: 0.0011800930944348858
Position 1187: 0.0011407786696235084
Position 1150: 0.0010695242289207804
Position 429: 0.0008880655463590501
Position 1425: 0.0005078122401878166
Position 321: 0.0004645781890189916
Position 1506: 0.0004485100702547094
Position 384: 0.0002583684942237497
Position 1345: 0.00025147714551276303
Position 340: 0.00022696789441421257
Position 390: 0.00020078180528862514
Position 1251: 0.00019520775122992533
Position 1545: 0.0001757957252476459
Position 1395: 0.00014837018327549555
Position 1706: 0.00012956548802431234
Position 1527: 0.00010703695937949812
Position 1676: 0.00010425519449472553
Position 330: 5.693420109721488e-05
Position 1229: 5.411328406074643e-05
Position 542: 3.9315144158426264e-05
Position 472: 3.2510542774907524e-05
Position 336: 2.2207790202984602e-05
Position 457: 1.988282569218935e-05
Position 1273: 1.7781096958175793e-05
Position 1282: 1.5250849379304219e-05
Position 1461: 1.2669283633706147e-05
Position 1686: 9.649636918552664e-06
Position 1399: 9.3786158872194e-06
Position 188: 7.469449461242296e-06
Position 1598: 7.11989478408415e-06
Position 443: 6.968613189476213e-06
Position 311: 6.445345373873705e-06
Position 122: 5.30855678123305e-06
Position 279: 3.7820010010394875e-06
Position 210: 2.641103983133859e-06
Position 203: 7.568011180768258e-07
Position 77: 6.559907020222272e-07
Position 222: 2.4819553119803154e-07
Position 94: 1.9637305536951036e-07
Position 67: 4.556872310003515e-08
Position 233: 3.023446229352316e-09
Position 59: 6.200182227580631e-10
Position 61: 5.339908793528077e-10
Position 423: 2.4094738704334743e-11
Position 133: 8.698553440816e-12
