Gene = vito
index = 1927
Annotated 5SS: [130]
Annotated 3SS: [188]
SMsplice 5SS: [130]
SMsplice 3SS: [188]
top_k =  1000
Partition function (log Z): -5.972055785974336

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9336290732164751
Position 134: 0.0646398150766413
Position 418: 0.0017128738295318665
Position 295: 0.0011562705840042937
Position 104: 0.0010420083191713895
Position 36: 0.0004538100658696466
Position 5: 0.00036061224022386896
Position 837: 0.0003130723633841583
Position 880: 3.816531162726764e-05
Position 872: 2.2889490709731428e-05
Position 590: 2.2149216915250584e-05
Position 412: 1.9010203722652452e-05
Position 633: 5.964292523844833e-06
Position 107: 5.19112205813484e-06
Position 427: 3.179707034242925e-06
Position 50: 2.3079763076388004e-06
Position 27: 1.927343272884016e-06
Position 473: 8.283540356640776e-07
Position 468: 6.662889326734114e-07
Position 808: 5.703344878708811e-07
Position 192: 1.641529574727983e-07
Position 236: 1.0873719281165082e-07
Position 200: 5.6147194714159136e-08
Position 729: 3.3867916774398193e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 188: 0.9966558152502148
Position 200: 0.0024681061475016015
Position 971: 0.0013107784965697106
Position 321: 0.0005052771823566137
Position 600: 0.00040008673788429736
Position 363: 0.00034888681327095077
Position 738: 0.0003098874288732518
Position 735: 0.0002939475805258956
Position 487: 0.00020397770739937623
Position 75: 0.00019425568146371809
Position 510: 0.00011646489656201997
Position 215: 8.439620045840536e-05
Position 693: 7.448031579995649e-05
Position 744: 6.789262959926212e-05
Position 720: 5.884659776396682e-05
Position 101: 3.5632604256205436e-05
Position 357: 3.189346516610224e-05
Position 378: 2.688707389763211e-05
Position 708: 2.2144267290543872e-05
Position 741: 2.0842171344432418e-05
Position 606: 2.0780322958569343e-05
Position 219: 1.9352964609815137e-05
Position 816: 1.526753413984503e-05
Position 417: 1.4231722458015693e-05
Position 771: 1.2786191629339373e-05
Position 267: 1.1350864684104123e-05
Position 804: 1.0623203404666004e-05
Position 934: 7.686669251779718e-06
Position 273: 7.157385618226104e-06
Position 927: 6.517258212092455e-06
Position 291: 6.2884542219666305e-06
Position 822: 6.081972196988254e-06
Position 53: 4.863084507596747e-06
Position 831: 4.575185785980937e-06
Position 103: 3.858210679896028e-06
Position 190: 3.832116611187914e-06
Position 507: 3.1871637119635135e-06
Position 774: 3.149591179935101e-06
Position 551: 2.999738575430379e-06
Position 121: 2.999736797390798e-06
Position 939: 2.9820458281571803e-06
Position 381: 2.6382985877628343e-06
Position 759: 2.619090203421447e-06
Position 722: 2.6057692197148466e-06
Position 459: 2.1457250206403287e-06
Position 504: 1.608782754571625e-06
Position 891: 1.5586429683365584e-06
Position 663: 1.4427155167344042e-06
Position 768: 1.3019753728844684e-06
Position 147: 1.2007439431247921e-06
Position 243: 1.126111487060646e-06
Position 423: 1.058742856991097e-06
Position 192: 8.685476661560274e-07
Position 91: 8.66701149005183e-07
Position 384: 8.332299505651678e-07
Position 354: 7.122812586193991e-07
Position 345: 6.32526209200391e-07
Position 82: 5.927627579811987e-07
Position 489: 5.898673973673719e-07
Position 756: 5.553633532455292e-07
Position 828: 5.287433289160359e-07
Position 138: 4.849828265447748e-07
Position 855: 4.2041347910971704e-07
Position 494: 3.742903146824191e-07
Position 369: 3.263737948960464e-07
Position 870: 3.239581296139743e-07
Position 624: 2.8064252772317837e-07
Position 257: 2.223792216785106e-07
Position 633: 1.7764071851632008e-07
Position 390: 1.7534025271787e-07
Position 543: 1.5109154412571864e-07
Position 894: 1.3164571253819417e-07
Position 525: 1.2963109560526704e-07
Position 372: 1.2947439343708698e-07
Position 780: 1.2335203645222375e-07
Position 618: 1.0785329017039058e-07
Position 837: 9.146252005315904e-08
Position 672: 8.441838339967731e-08
Position 412: 8.130094863447009e-08
Position 300: 8.002153071902922e-08
Position 294: 5.114799500323013e-08
Position 387: 5.0834083167299284e-08
Position 519: 3.779331267814043e-08
Position 279: 2.7355597847108182e-08
Position 50: 2.579079445458181e-08
Position 613: 2.5316455590438463e-08
Position 134: 2.4693745943417522e-08
Position 528: 2.2279093764177856e-08
Position 403: 1.6917820434792072e-08
Position 846: 1.2513883061859294e-08
Position 141: 1.9658870494542008e-11
Position 225: 1.9204787794595557e-11
Position 158: 9.909076732953901e-13
Position 665: 5.624552741370784e-13
Position 393: 7.723354851063864e-15
