Gene = Nopp140
index = 1326
Annotated 5SS: [ 204 2056 2456]
Annotated 3SS: [ 405 2296 3208]
SMsplice 5SS: [ 204 2056 2456 3112 3332]
SMsplice 3SS: [ 405 2125 2692 3208 3442]
top_k =  1000
Partition function (log Z): 1.9534142695679098

Sorted 5' Splice Sites (High to Low Probability):
Position 2456: 0.9790190394010734
Position 204: 0.972211639692143
Position 2056: 0.9502944482294323
Position 3332: 0.7506554015569689
Position 3112: 0.7020135056026631
Position 23: 0.05038006175492113
Position 2183: 0.012380751496704034
Position 59: 0.010512383290295938
Position 3318: 0.007879625176076509
Position 3116: 0.007086166170803497
Position 2487: 0.006744157591814897
Position 2483: 0.003926821378148947
Position 1303: 0.0036698657047493006
Position 3338: 0.0027178548601941564
Position 868: 0.0021906271326105624
Position 3684: 0.0021524595609759287
Position 351: 0.0019019532265244223
Position 3564: 0.001505017016983705
Position 3660: 0.0011677377749275803
Position 2396: 0.0010972037215430661
Position 2808: 0.0008890831652775802
Position 3511: 0.0008527250163395967
Position 43: 0.0007320733523699479
Position 1105: 0.0007316046517292878
Position 358: 0.0007033683853276507
Position 2066: 0.0006949225872837048
Position 793: 0.0006503080650010108
Position 2491: 0.000563603354508649
Position 2079: 0.00039808870869454435
Position 2163: 0.0003781168400158165
Position 180: 0.00028957362175098506
Position 2788: 0.0002707371497115726
Position 3030: 0.00026403981725455785
Position 2022: 0.0002588930867571141
Position 3018: 0.0002452808351844194
Position 2572: 0.00022761142904057261
Position 27: 0.0002197320359146904
Position 2489: 0.0001956026818155138
Position 3455: 0.00019117919239457088
Position 266: 0.00018643742661946522
Position 2141: 0.00017668266028059024
Position 3635: 0.0001710378867480796
Position 3064: 0.00015402708813422534
Position 2268: 0.0001492014185821803
Position 2064: 0.00011401618784609602
Position 21: 7.621462211071528e-05
Position 432: 7.519451850338996e-05
Position 1166: 6.827937227235295e-05
Position 3491: 5.879654272799132e-05
Position 3630: 5.729033008321105e-05
Position 10: 4.9675899849743263e-05
Position 1901: 4.8939690687129194e-05
Position 93: 4.8579571008728355e-05
Position 2248: 4.552662398972665e-05
Position 3821: 4.203778815297685e-05
Position 537: 4.079509102401141e-05
