Gene = spag4
index = 1886
Annotated 5SS: [ 174  802 1024]
Annotated 3SS: [ 231  856 1082]
SMsplice 5SS: [ 346 1024]
SMsplice 3SS: [ 856 1145]
top_k =  1000
Partition function (log Z): -3.946359806414384

Sorted 5' Splice Sites (High to Low Probability):
Position 1024: 0.9172639698858914
Position 346: 0.7131986882867037
Position 174: 0.40832044256442507
Position 136: 0.12267281207673456
Position 802: 0.1157251727388734
Position 765: 0.10070058899031571
Position 796: 0.08005361153554096
Position 776: 0.023607781976939263
Position 999: 0.020313809693184005
Position 151: 0.01924010473302787
Position 1090: 0.005943292559318502
Position 316: 0.00454798824473039
Position 544: 0.0034294237828207622
Position 566: 0.003392220024153295
Position 769: 0.002234470848072486
Position 57: 0.0017415137865458815
Position 619: 0.0008747528230777762
Position 527: 0.0008414595516039172
Position 424: 0.0005106215411678153
Position 1014: 0.00038109279157802793
Position 685: 0.0002699358364396363
Position 28: 0.0002524624772854008
Position 66: 0.0002233013945619315
Position 650: 0.00018001348796084702
Position 1057: 0.0001484966371582342
Position 1178: 0.00013773989156906115
Position 593: 0.00011562387560720043
Position 715: 0.00011328285065143005
Position 1084: 0.00011272144550250885
Position 285: 0.0001035150362312381
Position 944: 7.915699874768983e-05
Position 452: 6.657649920297793e-05
Position 942: 6.6373286957108e-05
Position 51: 6.310476746015432e-05
Position 584: 5.8683274340033425e-05
Position 330: 4.959448970691043e-05
Position 350: 4.7188890264356446e-05
Position 1028: 3.627244470159512e-05
Position 159: 3.556949296992752e-05
Position 265: 2.744846445024409e-05
Position 358: 2.259626244284466e-05
Position 185: 1.9935432153363148e-05
Position 739: 1.3989056119113564e-05
Position 403: 1.368812446916748e-05
Position 1044: 1.1797825624011834e-05
Position 982: 9.572787022141882e-06
Position 242: 8.695699516027348e-06
Position 431: 8.597759173182671e-06
Position 78: 7.920659181341014e-06
Position 927: 6.762315504552991e-06
Position 813: 4.292725826454658e-06
Position 1030: 4.1654404221312065e-06
Position 182: 2.691207424761398e-06
Position 369: 2.3495271327395e-06
Position 903: 1.676810435129343e-06
Position 481: 1.001987734028591e-06
Position 898: 7.421894178091542e-07
Position 31: 7.42058070866579e-07
Position 1104: 3.902691091696836e-07
Position 279: 3.273305408292838e-07
Position 889: 1.4137372516770896e-11
Position 831: 5.210901063248748e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 856: 0.9610718549932762
Position 1145: 0.567552225353022
Position 1082: 0.3791385863721714
Position 231: 0.3292323609973566
Position 200: 0.11120549413433327
Position 420: 0.07021946561265664
Position 203: 0.03094588091721727
Position 452: 0.022259069995686102
Position 704: 0.02110534580186453
Position 417: 0.017673772442181723
Position 584: 0.016849589949275413
Position 249: 0.005321468143642045
Position 605: 0.0030383617393815957
Position 375: 0.0027402990324060118
Position 252: 0.0026571238238934313
Position 1067: 0.0014535379458300232
Position 220: 0.001255571924314528
Position 581: 0.0011451048757734374
Position 246: 0.0005902518825774855
Position 1236: 0.000524376500371031
Position 674: 0.0002700762944739623
Position 1090: 0.0002510047297415893
Position 1248: 0.0001125451905591499
Position 831: 0.00010413659621742933
Position 121: 8.296592771502892e-05
Position 124: 7.046742593346553e-05
Position 381: 6.592765174390365e-05
Position 431: 6.387615156466046e-05
Position 495: 6.013030450682355e-05
Position 549: 5.141355721663632e-05
Position 1166: 4.020565656005832e-05
Position 1220: 3.759697587437348e-05
Position 880: 2.898392012114955e-05
Position 424: 2.6769730471832017e-05
Position 898: 1.3884038162942605e-05
Position 774: 1.2505523389976819e-05
Position 519: 1.1411611863883403e-05
Position 273: 7.217039708843431e-06
Position 1178: 6.848972393586918e-06
Position 1100: 4.799732798122699e-06
Position 533: 3.5151201358337522e-06
Position 285: 2.7870872448308854e-06
Position 212: 2.1802282053779055e-06
Position 867: 1.7913371128655142e-06
Position 178: 1.7372998241757084e-06
Position 350: 1.535828422640525e-06
Position 312: 1.2246322076859594e-06
Position 1147: 1.1430495991775404e-06
Position 934: 1.033712245556929e-06
Position 522: 6.410849203966699e-07
Position 925: 5.326673925350706e-07
Position 886: 5.284294021249213e-07
Position 942: 5.019394750637841e-07
Position 1028: 4.776799916015156e-07
Position 319: 2.4489723500011324e-07
Position 260: 1.5032916064396974e-07
Position 256: 1.4131202308105533e-07
Position 301: 9.231968331906262e-08
Position 265: 4.648458399578401e-08
Position 155: 5.270798981428458e-10
Position 316: 2.894781057456612e-11
