Gene = Acp76A
index = 12
Annotated 5SS: [994]
Annotated 3SS: [1062]
SMsplice 5SS: [994]
SMsplice 3SS: [1062]
top_k =  1000
Partition function (log Z): -6.934404767078524

Sorted 5' Splice Sites (High to Low Probability):
Position 994: 0.9516867244351008
Position 718: 0.15854793274928555
Position 685: 0.050196620125715026
Position 389: 0.03590927888107443
Position 357: 0.0127860524010641
Position 15: 0.00942456364135925
Position 187: 0.002381276817750274
Position 396: 0.001396892818694591
Position 1197: 0.0012701356875625329
Position 312: 0.0009065472798577639
Position 366: 0.0008367736465079897
Position 1009: 0.0007654496133296365
Position 510: 0.0006469103461144934
Position 72: 0.0006034999119794778
Position 408: 0.0004131485213724727
Position 745: 0.0003835939148436448
Position 1107: 0.00026535913322056566
Position 488: 0.00018546427214317238
Position 437: 0.0001787196129285928
Position 457: 0.00013823559266808137
Position 123: 0.0001122983768846504
Position 474: 0.00010723562329128835
Position 459: 0.00010325813239141706
Position 249: 7.86852321924747e-05
Position 792: 6.882828504207082e-05
Position 988: 6.478527202992477e-05
Position 816: 4.0728056699634686e-05
Position 293: 3.499827295807929e-05
Position 1149: 2.801958281570782e-05
Position 27: 1.9920676572466203e-05
Position 38: 1.9897553513513327e-05
Position 625: 1.6442582603443488e-05
Position 1065: 1.1203683550440537e-05
Position 1158: 8.218082133767273e-06
Position 1100: 7.571032350267743e-06
Position 722: 5.786082597451228e-06
Position 914: 5.133522002432781e-06
Position 899: 3.6447505909067284e-06
Position 134: 3.556549796785742e-06
Position 954: 2.8479538723591306e-06
Position 180: 2.6999601643800174e-06
Position 653: 2.492614880737784e-06
Position 32: 2.0226502123548386e-06
Position 1162: 1.5749137319099951e-06
Position 320: 1.524872236287765e-06
Position 318: 1.146078404425881e-06
Position 352: 9.94059135731992e-07
Position 1068: 9.740488729847636e-07
Position 531: 9.688972400537185e-07
Position 132: 6.357657600682462e-07
Position 1021: 5.268452438650411e-07
Position 440: 3.1391308729692667e-07
Position 582: 2.428730565136791e-07
Position 627: 1.4156282417464515e-10
Position 647: 1.8896148983491776e-11
Position 1122: 1.2748577852581695e-11
Position 665: 2.6035983251216393e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1062: 0.9734625739394607
Position 785: 0.15096182870702354
Position 894: 0.039109421783081744
Position 1065: 0.017530882980928038
Position 906: 0.011395374569697464
Position 564: 0.010180588375826761
Position 842: 0.006550510658184813
Position 744: 0.0030652539719850814
Position 993: 0.0017069142351536879
Position 237: 0.0015974156221245607
Position 927: 0.0013263616336204867
Position 1258: 0.0013226091366023997
Position 480: 0.001242258245045896
Position 1136: 0.0009903463025958512
Position 485: 0.0009256402881831575
Position 812: 0.0008800299262071748
Position 103: 0.0007089770126545087
Position 132: 0.000678130354270802
Position 615: 0.0006717380638476851
Position 144: 0.0005319365761418782
Position 347: 0.00047258354354221693
Position 1158: 0.00044880894681723294
Position 241: 0.0004366917551286906
Position 513: 0.0004167576647562591
Position 574: 0.0003980525158814848
Position 758: 0.00035234774612544336
Position 1068: 0.00032653711953863236
Position 566: 0.00030485407218676505
Position 176: 0.0002918563589213735
Position 1091: 0.00018274834926134407
Position 520: 0.0001628325448248238
Position 205: 0.00013861841253738722
Position 91: 0.000122210392166183
Position 161: 0.00010334512806858
Position 412: 9.595874191087425e-05
Position 845: 8.943991896162801e-05
Position 482: 7.59891072933233e-05
Position 1179: 5.2953747579228197e-05
Position 114: 5.1803728200711596e-05
Position 1107: 4.073432667235935e-05
Position 275: 4.046619773696456e-05
Position 488: 3.759532717949348e-05
Position 180: 3.298378043470053e-05
Position 404: 3.1621668468946315e-05
Position 1142: 2.950250548587457e-05
Position 1211: 2.8769546411490163e-05
Position 245: 1.5450450946768008e-05
Position 299: 1.3726366919721757e-05
Position 279: 9.135715668399888e-06
Position 268: 6.861380868981865e-06
Position 208: 6.508752420639459e-06
Position 531: 6.296726654435072e-06
Position 293: 4.487553513892135e-06
Position 739: 3.754256826253783e-06
Position 684: 3.3591076238085137e-06
Position 311: 3.137756855559857e-06
Position 1229: 1.3464402294682638e-06
Position 249: 1.2002955757948067e-06
Position 1197: 1.0298081552579602e-06
Position 389: 9.194111412281888e-07
Position 326: 1.245296278735278e-07
Position 286: 5.7800703293786274e-08
Position 386: 4.1378334751076405e-08
Position 116: 3.162042219294251e-08
Position 318: 1.3865719753661033e-08
Position 677: 1.208315082737463e-08
Position 187: 5.523594482024167e-09
Position 365: 1.7890597917572045e-11
Position 379: 3.8419772322683447e-13
