Gene = fwe
index = 1710
Annotated 5SS: [ 137  475 2992 3165]
Annotated 3SS: [ 353 2783 3056 5561]
SMsplice 5SS: [ 475 2992 3165]
SMsplice 3SS: [2783 3056 5561]
top_k =  1000
Partition function (log Z): 1.4613436891311662

Sorted 5' Splice Sites (High to Low Probability):
Position 2992: 0.9871426292962467
Position 3165: 0.9603410618289933
Position 475: 0.9083334642225996
Position 5482: 0.07906162291578918
Position 5347: 0.05240575926521099
Position 2151: 0.041636405038856815
Position 796: 0.04086069042837427
Position 705: 0.03923320679123554
Position 694: 0.03451044039692039
Position 2518: 0.034399855362154855
Position 4076: 0.028519521057143452
Position 5234: 0.027733609082309107
Position 84: 0.023837299814874705
Position 3874: 0.021906506979525155
Position 3963: 0.02119805914035428
Position 5218: 0.02018328266747157
Position 137: 0.020055262726163873
Position 3671: 0.01779105995794339
Position 5339: 0.015094803667416546
Position 4307: 0.012219694658299812
Position 894: 0.010695313789711402
Position 3976: 0.010138016452656917
Position 248: 0.009236859715629537
Position 3362: 0.0084072237743144
Position 428: 0.0078382894081895
Position 2996: 0.007812341235865337
Position 4924: 0.007628393041261245
Position 5489: 0.007530439139560516
Position 3581: 0.0074732900025942075
Position 5758: 0.006723208768026336
Position 3403: 0.0067099076663635114
Position 2509: 0.005960588748075754
Position 5449: 0.0049689103348880765
Position 2652: 0.00474211163254352
Position 3169: 0.004264746096139743
Position 843: 0.0040465878107686995
Position 2498: 0.0037837144256682434
Position 2612: 0.0036856433972251774
Position 221: 0.003462901929532524
Position 37: 0.003357469422629042
Position 1049: 0.0033418310053531237
Position 2219: 0.0032723736804052355
Position 1110: 0.003135398935294863
Position 482: 0.0030705049176489893
Position 2948: 0.0026693301825320846
Position 3816: 0.002298266429580752
Position 1903: 0.0022779547319282958
Position 4334: 0.0022463197903116842
Position 75: 0.0022052129636150235
Position 4376: 0.0019106042485254693
Position 1898: 0.0018880178270483485
Position 5099: 0.001796899061214652
Position 2927: 0.0017678366314795898
Position 1284: 0.0015200426875204265
Position 425: 0.0014137431332050525
Position 838: 0.0014051419454000932
Position 202: 0.0013436996511905178
Position 4144: 0.0012895077282988768
Position 5751: 0.0012163998625291255
Position 68: 0.0011952188530667824
