Gene = mRpS18B
index = 1776
Annotated 5SS: [388]
Annotated 3SS: [449]
SMsplice 5SS: [388]
SMsplice 3SS: [449]
top_k =  1000
Partition function (log Z): -5.110762497732536

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.999810774544313
Position 78: 0.0020935118237348405
Position 88: 0.0017293726840436666
Position 732: 0.0006289078155099982
Position 747: 0.0003235591468954763
Position 702: 0.00019803611232991575
Position 559: 6.371058326563379e-05
Position 264: 4.564067689013966e-05
Position 665: 4.429459251131893e-05
Position 52: 3.5592274340092135e-05
Position 468: 2.934496675193824e-05
Position 9: 2.5532753611029177e-05
Position 382: 1.6380836490605375e-05
Position 371: 1.0841041394310502e-05
Position 545: 1.0796983272243606e-05
Position 267: 9.031370351393887e-06
Position 512: 7.605132021279773e-06
Position 594: 6.9553370683762846e-06
Position 647: 4.767379385562808e-06
Position 821: 4.133530142683357e-06
Position 4: 3.4704645738266163e-06
Position 619: 2.978659360731693e-06
Position 57: 2.4189280409153206e-06
Position 799: 1.9609604862057413e-06
Position 412: 1.7035623973285462e-06
Position 835: 1.0765233819471366e-06
Position 673: 9.66292160956736e-07
Position 495: 7.826513343415965e-07
Position 308: 5.979288825047263e-07
Position 718: 4.089111459856325e-07
Position 373: 1.7114738336543786e-07
Position 645: 1.0201894107102593e-07
Position 106: 9.228475988711176e-08
Position 533: 6.911230686498608e-08
Position 140: 4.964792141343923e-08
Position 120: 3.3653932407293605e-08
Position 679: 1.552059008762281e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 449: 0.9976862010398169
Position 159: 0.0036273558261477852
Position 812: 0.001024268826297261
Position 507: 0.0008558391750985523
Position 611: 0.0004623161266461312
Position 834: 0.0003355148060771144
Position 492: 0.0002293650507308533
Position 462: 0.0002005608290597297
Position 684: 0.00013372489669180048
Position 728: 0.00011861744336711016
Position 334: 0.00010041315219116008
Position 518: 8.761075719109651e-05
Position 864: 6.203190272988609e-05
Position 242: 4.622834167113191e-05
Position 308: 3.19315769829896e-05
Position 640: 2.007714231892965e-05
Position 626: 1.7095453525882527e-05
Position 87: 1.576875302922142e-05
Position 594: 1.0766824039606938e-05
Position 78: 7.081923605142622e-06
Position 636: 5.93656467236899e-06
Position 278: 5.536023572224678e-06
Position 881: 5.46979215100984e-06
Position 183: 5.134468531250036e-06
Position 349: 3.892230842751388e-06
Position 868: 3.683785248826234e-06
Position 654: 3.3415465170956798e-06
Position 688: 1.6202870389846404e-06
Position 294: 1.2322105926320491e-06
Position 743: 1.2122281277566476e-06
Position 382: 9.183392816954001e-07
Position 616: 8.899093362328796e-07
Position 582: 8.820871360008642e-07
Position 218: 7.786549089029422e-07
Position 199: 5.428100050053187e-07
Position 286: 5.025017316703594e-07
Position 759: 3.3563901291999173e-07
Position 765: 3.060578411103346e-07
Position 762: 1.9082922501611707e-07
Position 313: 1.566078255436373e-07
Position 591: 1.2080886320757833e-07
Position 891: 6.110021665281831e-08
Position 768: 4.129495753743635e-08
Position 732: 2.8520202802244146e-08
Position 192: 2.7219683134364366e-08
Position 848: 2.055993895292209e-08
Position 656: 2.0383912688706542e-08
Position 248: 1.511095068254233e-08
Position 264: 1.32620286202889e-08
Position 403: 4.561668993865734e-09
Position 336: 1.537451394018518e-09
Position 253: 6.14337228890312e-10
Position 205: 2.4974555230546954e-10
Position 364: 1.264507272305185e-10
Position 167: 8.06494169495723e-11
Position 392: 4.8741934113241054e-14
