Gene = l(2)35Be
index = 1744
Annotated 5SS: [226]
Annotated 3SS: [274]
SMsplice 5SS: [226]
SMsplice 3SS: [274]
top_k =  1000
Partition function (log Z): -5.008760724896231

Sorted 5' Splice Sites (High to Low Probability):
Position 226: 0.9994099351933725
Position 44: 0.007291668900341422
Position 164: 0.00023051223076422594
Position 168: 0.00012251134317911106
Position 230: 9.522135707809328e-05
Position 17: 6.746490059539544e-05
Position 559: 3.5566456115353384e-05
Position 700: 3.3311826175750574e-05
Position 435: 2.122850130055447e-05
Position 328: 1.8989025259316456e-05
Position 52: 1.4999641224267512e-05
Position 447: 4.4537421798240725e-06
Position 361: 4.368881026057024e-06
Position 304: 1.9433019089720527e-06
Position 741: 1.9182043474285194e-06
Position 510: 1.4909359696963485e-06
Position 713: 1.2334662658785795e-06
Position 297: 8.85008712004062e-07
Position 421: 7.671582458923677e-07
Position 126: 6.731128282301421e-07
Position 710: 6.515400132424554e-07
Position 253: 6.045399610295724e-07
Position 150: 5.79633957708695e-07
Position 725: 1.312581208625267e-07
Position 637: 1.146820148568864e-07
Position 546: 9.575511057369453e-08
Position 612: 1.6837075727516464e-08
Position 620: 8.41030891387259e-09
Position 610: 3.5481639590992993e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 274: 0.6038439340293984
Position 278: 0.3750562374790953
Position 355: 0.011333140749955114
Position 125: 0.0073470168393771716
Position 323: 0.004095938464035476
Position 546: 0.0020416867363132027
Position 447: 0.00174019280525614
Position 820: 0.0006483636708227771
Position 327: 0.0003306877746180407
Position 312: 0.0002294596949038053
Position 435: 0.00022336095087620875
Position 510: 0.0001825091359309319
Position 585: 9.673086306300091e-05
Position 372: 3.767347093727553e-05
Position 797: 3.7600894841083494e-05
Position 477: 3.458871205807614e-05
Position 663: 3.457419057728809e-05
Position 134: 1.0305285242765894e-05
Position 672: 8.459270704671422e-06
Position 582: 6.615817488754587e-06
Position 150: 6.354877526544357e-06
Position 245: 5.116106174769034e-06
Position 403: 4.388090166563255e-06
Position 675: 1.927005295729071e-06
Position 741: 1.8561279575940377e-06
Position 253: 1.3957248290049848e-06
Position 131: 8.256909200265551e-07
Position 781: 1.6962728599755064e-07
Position 725: 9.039996722806413e-08
Position 247: 8.778810632553331e-08
Position 687: 2.1043437924911237e-08
Position 207: 1.1501882755350908e-08
Position 233: 9.156512476814416e-09
Position 215: 7.91891512848046e-09
Position 226: 5.5032820310237326e-09
Position 230: 4.687290836987218e-09
Position 754: 1.294113489858999e-09
Position 172: 1.0645151976176372e-11
Position 209: 1.8108754405621566e-12
