Gene = Cpr65Av
index = 1099
Annotated 5SS: [259]
Annotated 3SS: [368]
SMsplice 5SS: [259]
SMsplice 3SS: [368]
top_k =  1000
Partition function (log Z): -2.4979119289653364

Sorted 5' Splice Sites (High to Low Probability):
Position 259: 0.998049085742342
Position 14: 0.014924880087295889
Position 559: 0.005625100529443176
Position 577: 0.005314035198680252
Position 608: 0.004752369328426491
Position 310: 0.0017709167804261948
Position 28: 0.0009732806912496313
Position 630: 0.00080060381259099
Position 593: 0.0003586205856557086
Position 574: 0.0002702274070839519
Position 521: 0.000215775541656204
Position 118: 0.00015901888346993846
Position 622: 0.00015580433094390873
Position 640: 0.00010130684181600489
Position 581: 8.039239191028836e-05
Position 45: 7.300833554228327e-05
Position 469: 6.262644928880312e-05
Position 263: 4.5301354179712955e-05
Position 448: 4.4349470273265904e-05
Position 412: 4.325887643035568e-05
Position 425: 2.714051922002638e-05
Position 84: 2.71321278251577e-05
Position 460: 2.1110070880841767e-05
Position 572: 2.0680745057477345e-05
Position 308: 2.0142587284763533e-05
Position 446: 1.3987002634985744e-05
Position 18: 1.2145131136634791e-05
Position 455: 4.818492511517441e-06
Position 677: 2.751965921500191e-06
Position 132: 3.617356785614186e-07
Position 349: 2.0807811275964796e-08
Position 134: 1.6545638332901083e-08
Position 380: 8.848763696822769e-09
Position 388: 9.055753930946055e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 368: 0.9922607994561281
Position 677: 0.006601549505239499
Position 698: 0.005851187452491083
Position 118: 0.004516816737056035
Position 333: 0.004013285938116716
Position 174: 0.003849619726014149
Position 66: 0.0037986959082510386
Position 620: 0.0030876769282157037
Position 744: 0.0025630608951447927
Position 94: 0.0022520458153851087
Position 330: 0.0018384650947161122
Position 70: 0.0013232707447914844
Position 399: 0.0005348277178545804
Position 347: 0.00048515706026384063
Position 577: 0.00023014102585096688
Position 126: 0.00020103820429640502
Position 84: 0.00013816921264955047
Position 438: 0.00011548938285228874
Position 375: 8.567446214185191e-05
Position 630: 5.234925016740481e-05
Position 464: 4.533736766107765e-05
Position 405: 4.2513418780926696e-05
Position 402: 2.6481551405486595e-05
Position 380: 1.7576424715932405e-05
Position 581: 1.1727938600826269e-05
Position 216: 8.729453778790357e-06
Position 435: 8.520812802026808e-06
Position 486: 4.099884840135265e-06
Position 349: 2.5450931778355308e-06
Position 528: 8.740143761499246e-07
Position 534: 8.201756411180541e-07
Position 559: 6.916568668062555e-07
Position 411: 5.688033695587405e-07
Position 593: 3.846690468252211e-07
Position 446: 3.307349253083243e-08
Position 388: 2.0775986776728358e-08
Position 417: 1.9552551198963737e-08
Position 590: 1.2880529826787212e-08
Position 266: 7.442282197254967e-10
Position 294: 4.841759028735116e-10
Position 516: 1.4372539396829645e-11
Position 270: 9.352928676994501e-13
Position 263: 6.645914119815611e-13
