Gene = Skadu
index = 1503
Annotated 5SS: [94]
Annotated 3SS: [148]
SMsplice 5SS: [94]
SMsplice 3SS: [148]
top_k =  1000
Partition function (log Z): -6.803657796647577

Sorted 5' Splice Sites (High to Low Probability):
Position 94: 0.9904189228251196
Position 484: 0.03148304279486909
Position 323: 0.023785630342624674
Position 532: 0.020410665296506765
Position 361: 0.006609436447947999
Position 385: 0.0034882291286302907
Position 302: 0.0005996468339606301
Position 215: 0.00047433072781435595
Position 98: 0.0004122031596449039
Position 541: 0.0002704350082215417
Position 389: 0.00024214818083528078
Position 58: 0.00023386578835134095
Position 206: 1.7103084946940316e-05
Position 235: 6.743965046423959e-06
Position 73: 3.6195686159550968e-06
Position 589: 3.055844554065537e-06
Position 266: 2.3046807486439278e-06
Position 452: 2.0779186926012313e-06
Position 661: 1.535277018834181e-06
Position 416: 9.123553404975946e-07
Position 594: 8.424303227650721e-07
Position 178: 7.576279634173483e-07
Position 582: 7.156711085791611e-07
Position 227: 3.039822519294077e-07
Position 624: 9.94334739885372e-08
Position 673: 1.4739444594533466e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 148: 0.9166396857508742
Position 582: 0.04342079533449018
Position 198: 0.041458033718818704
Position 412: 0.0341690567083063
Position 629: 0.020711906605589355
Position 445: 0.010259651557385882
Position 251: 0.0063708615535286416
Position 150: 0.0012761534098235676
Position 651: 0.0009842765751156642
Position 594: 0.000605315785915003
Position 541: 0.0004784210705178723
Position 361: 0.0003259473493346195
Position 232: 0.00021366647555756698
Position 235: 0.0001986641300453835
Position 510: 0.00019511615562543564
Position 466: 0.00015790324493971964
Position 457: 0.00014137143396275413
Position 215: 0.00014136375363794625
Position 206: 0.0001353513996388812
Position 708: 0.00012303098512622326
Position 385: 9.922530798161277e-05
Position 110: 9.475302863313386e-05
Position 220: 6.766680827441319e-05
Position 532: 6.590715951553535e-05
Position 340: 6.443884981952798e-05
Position 343: 4.4660087635735524e-05
Position 484: 6.345288505054892e-06
Position 661: 6.012536786452801e-06
Position 538: 5.590905926366379e-06
Position 481: 4.437337810537261e-06
Position 302: 1.4646074273323512e-06
Position 686: 7.831135712619821e-07
Position 715: 3.6790988763110596e-07
Position 683: 2.423569269397816e-07
Position 514: 1.1070984471406563e-07
Position 293: 3.421220368657884e-08
Position 289: 2.989507097799601e-08
Position 512: 8.640523474735412e-16
