Gene = Sin
index = 1502
Annotated 5SS: [  97 1227]
Annotated 3SS: [ 155 1290]
SMsplice 5SS: [  97 1227]
SMsplice 3SS: [ 155 1290]
top_k =  1000
Partition function (log Z): -3.402314338971739

Sorted 5' Splice Sites (High to Low Probability):
Position 1227: 0.9415990422669419
Position 97: 0.8861295517074002
Position 482: 0.09363838120346499
Position 513: 0.08996087088188674
Position 105: 0.07305902669053521
Position 1333: 0.05795534061360291
Position 489: 0.01992944830559772
Position 1186: 0.011657666995833113
Position 648: 0.009217790154568471
Position 101: 0.008197553635536675
Position 654: 0.00632354446612904
Position 400: 0.0028147559499396343
Position 1107: 0.0023327695127745227
Position 285: 0.00200225297457854
Position 903: 0.001271715212831552
Position 1167: 0.0010447680885629694
Position 1237: 0.0007693196314520211
Position 194: 0.0005032641857882123
Position 636: 0.0004806667011973203
Position 291: 0.0003419412288946677
Position 246: 0.0003121323629234095
Position 460: 0.00026976305113420105
Position 264: 0.00022369849146006477
Position 259: 0.0002042663317481468
Position 749: 0.00014674734649165866
Position 936: 0.0001294297567064205
Position 1396: 9.543105047210371e-05
Position 1413: 7.465163508360318e-05
Position 1455: 6.455242249933067e-05
Position 1231: 5.9732198354770695e-05
Position 968: 5.7511444484944394e-05
Position 424: 5.573080375987348e-05
Position 252: 5.361956936793355e-05
Position 162: 4.980131543258758e-05
Position 1243: 4.5049599639206875e-05
Position 1149: 4.3426149139231625e-05
Position 354: 4.1968406127427114e-05
Position 387: 3.6639862563002116e-05
Position 1086: 3.46702052161215e-05
Position 1152: 2.8754204642660374e-05
Position 1468: 2.65695794264631e-05
Position 894: 2.1160224290819476e-05
Position 1190: 1.5190298503193084e-05
Position 314: 9.37706862757435e-06
Position 1320: 4.477202343052661e-06
Position 1443: 4.1747059983443e-06
Position 1546: 3.7442153321407555e-06
Position 1544: 2.8251001260009107e-06
Position 1134: 2.6267342086012686e-06
Position 88: 2.505577894243982e-06
Position 474: 2.39719589736856e-06
Position 1263: 1.06376512070759e-06
Position 1644: 3.7563636390438754e-07
Position 262: 2.1993111129000486e-07
Position 109: 1.4432619477985583e-07
Position 170: 1.3730392112330955e-07
Position 85: 1.0502826456199606e-07
Position 28: 2.8798323686761077e-08
Position 996: 2.7844616876144886e-08
Position 1059: 2.2446134480724038e-08
Position 21: 4.98655423688113e-09
Position 1042: 2.167137856669775e-09
Position 521: 8.32494087196551e-10
Position 540: 5.395695144884852e-10
Position 820: 2.740597737458176e-10
Position 746: 2.1725556761492365e-10
Position 562: 4.4489686775481475e-12
Position 555: 4.113119744262162e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1290: 0.9485180086447786
Position 155: 0.7733007379341117
Position 562: 0.20787907208889772
Position 540: 0.08774649377539255
Position 1383: 0.06506767176017707
Position 176: 0.03358070336492495
Position 281: 0.029148646042560965
Position 718: 0.015408105693018839
Position 338: 0.012206941543948175
Position 284: 0.00820728435471815
Position 575: 0.007790707423541799
Position 1106: 0.0035468682523582596
Position 956: 0.003371677818216619
Position 1332: 0.0030038221449527865
Position 1030: 0.0026043540743622222
Position 872: 0.0011294170287152751
Position 989: 0.0010143689638402026
Position 936: 0.0008807593055649263
Position 512: 0.0008483839479194813
Position 1166: 0.0007469784302242926
Position 728: 0.0006447208585652241
Position 443: 0.0005292356499121515
Position 685: 0.0005267282080613084
Position 1042: 0.0004859172870770783
Position 1440: 0.00039918185021500574
Position 387: 0.00032178860660959794
Position 1350: 0.0003072383297646891
Position 1327: 0.0002833865745391701
Position 1506: 0.0002284076778897083
Position 1594: 0.00021391939431612863
Position 1085: 0.00020102499165689617
Position 290: 0.00016535734848234369
Position 224: 0.00014002356423714946
Position 899: 0.00010672118265508208
Position 584: 9.034232979403528e-05
Position 820: 8.604229955854267e-05
Position 482: 7.315271071889412e-05
Position 1197: 6.574546066446717e-05
Position 1248: 6.483687752453826e-05
Position 647: 5.3620878768554796e-05
Position 1055: 4.5428045129750475e-05
Position 190: 4.442742281514407e-05
Position 404: 3.892372887441843e-05
Position 1443: 3.0045346977884566e-05
Position 1455: 2.650830542598546e-05
Position 1472: 2.1231333941366873e-05
Position 617: 1.9714241265798736e-05
Position 398: 1.4454444839903443e-05
Position 968: 1.4182669112761328e-05
Position 644: 1.2387896175832347e-05
Position 489: 1.2184329499833048e-05
Position 996: 1.1767820129063238e-05
Position 1237: 1.10449134499415e-05
Position 1532: 8.604389907981345e-06
Position 1479: 7.055787793530236e-06
Position 590: 6.869643705396366e-06
Position 1202: 5.691205559967392e-06
Position 832: 5.411129041195112e-06
Position 1702: 4.9789448996253935e-06
Position 1668: 4.537722136702482e-06
Position 454: 3.825882882416973e-06
Position 912: 3.682342694203736e-06
Position 605: 3.527512366555778e-06
Position 669: 2.280902763757583e-06
Position 797: 2.033068819566987e-06
Position 1482: 1.6240306202957178e-06
Position 1449: 1.2330207795840912e-06
Position 1647: 1.1219322178320185e-06
Position 1716: 4.4893510471429147e-07
Position 184: 4.190311720027392e-07
Position 384: 2.4331909854735295e-07
Position 371: 1.1584731129346139e-07
Position 314: 1.4614094666439736e-08
Position 593: 1.0869603070512594e-08
Position 407: 2.341514352196917e-09
Position 70: 7.542210518834211e-10
Position 344: 1.1499084780602579e-10
Position 130: 5.176114525266946e-11
Position 93: 3.827207583868316e-11
Position 96: 1.2968237854580712e-11
Position 75: 1.8280066122399156e-12
Position 101: 2.1293400607705906e-14
Position 109: 8.448933119443196e-18
