Gene = dgt2
index = 1669
Annotated 5SS: [320]
Annotated 3SS: [376]
SMsplice 5SS: [320 620 837]
SMsplice 3SS: [376 696 904]
top_k =  1000
Partition function (log Z): -5.417863821865425

Sorted 5' Splice Sites (High to Low Probability):
Position 620: 0.7439852687861362
Position 320: 0.6746456067653996
Position 837: 0.46485177500095376
Position 430: 0.43536539051606105
Position 862: 0.1530294843645591
Position 313: 0.10833421896501827
Position 855: 0.07487840560434023
Position 302: 0.008920468562132758
Position 799: 0.0017763583906684488
Position 328: 0.0014045840690252033
Position 604: 0.0009268066297190388
Position 62: 0.0007869448960673291
Position 166: 0.000683865933622699
Position 211: 0.0006264692486387522
Position 892: 0.0002567217086217472
Position 590: 0.00020353411864166914
Position 624: 0.00014043012954130513
Position 227: 6.0729927910629404e-05
Position 906: 5.805881188105516e-05
Position 335: 4.702142117944569e-05
Position 14: 4.5562108595098925e-05
Position 3: 3.387858285166164e-05
Position 269: 3.359228254523159e-05
Position 434: 3.133203788134873e-05
Position 351: 2.7055676703790576e-05
Position 781: 2.0407801608766676e-05
Position 909: 2.0025768561151484e-05
Position 8: 1.448599047469481e-05
Position 377: 1.1882375534685262e-05
Position 444: 1.0015427219594282e-05
Position 486: 8.440153751990662e-06
Position 256: 6.642185615679399e-06
Position 184: 4.932587586270292e-06
Position 669: 4.156716702943657e-06
Position 712: 9.152374761439871e-07
Position 972: 7.315217998170775e-07
Position 919: 5.561304972521819e-07
Position 959: 4.253951924752437e-07
Position 395: 1.0179923262450961e-07
Position 507: 6.833503286785722e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.7818319218658486
Position 696: 0.6400937995144829
Position 494: 0.43422922173930945
Position 904: 0.4035594267501794
Position 918: 0.17327700747305533
Position 933: 0.09894682978858556
Position 959: 0.07223268331218162
Position 669: 0.027576133793966538
Position 727: 0.01792396717177339
Position 724: 0.009847098317902103
Position 702: 0.003496485302810669
Position 779: 0.0029316863743501045
Position 968: 0.0015114672884058114
Position 528: 0.0011062579604056333
Position 130: 0.0007704192731604206
Position 426: 0.0004459613365393617
Position 555: 0.00023417624985433598
Position 269: 0.00017063853436470207
Position 395: 0.00013079969667124876
Position 1005: 0.00012596240557044742
Position 351: 0.0001242569691755948
Position 531: 9.984751519797066e-05
Position 348: 9.475266264067663e-05
Position 1008: 9.167562350898846e-05
Position 1034: 9.084044063911659e-05
Position 72: 6.971215536362218e-05
Position 756: 6.12983118255767e-05
Position 642: 4.9407819770923815e-05
Position 981: 2.353270372040151e-05
Position 870: 1.6725730446092097e-05
Position 392: 1.5254400281222295e-05
Position 558: 1.520840876330226e-05
Position 504: 1.5099714924001202e-05
Position 386: 1.2291524500428881e-05
Position 242: 1.155941158917348e-05
Position 624: 9.04713513220484e-06
Position 639: 5.085472465546398e-06
Position 1016: 4.2924752933324605e-06
Position 786: 1.5985899159340448e-06
Position 156: 1.331466290485604e-06
Position 507: 1.2146353858626272e-06
Position 227: 7.918467569772145e-07
Position 542: 1.3129785208939767e-07
Position 795: 1.1305908915596993e-07
Position 162: 1.0752896957563617e-07
Position 294: 6.953260199937717e-08
Position 573: 3.073906574124189e-08
Position 312: 2.2071446898474793e-08
Position 306: 1.9724369912425003e-08
Position 165: 1.9395476174667566e-08
Position 288: 1.2090969846322775e-08
Position 335: 1.1859143564796146e-08
Position 798: 1.1347881958213268e-08
Position 174: 9.576990077930605e-09
Position 576: 9.297003547947034e-09
Position 200: 4.274657796216437e-09
Position 184: 3.537114874996325e-09
Position 579: 2.7809163145095263e-09
Position 323: 1.587072376343196e-09
Position 244: 1.2808340888230298e-09
Position 587: 7.994609674454461e-10
Position 309: 7.664858904247174e-10
Position 180: 2.487859288440343e-10
Position 298: 5.786726572404726e-12
Position 195: 1.7314157949804434e-15
