Gene = dib
index = 1670
Annotated 5SS: [ 598 1340 1597]
Annotated 3SS: [ 737 1398 1682]
SMsplice 5SS: [ 598 1340 1597 1818]
SMsplice 3SS: [ 737 1398 1682 1939]
top_k =  1000
Partition function (log Z): 0.14487756692954568

Sorted 5' Splice Sites (High to Low Probability):
Position 1340: 0.9824889316434892
Position 1597: 0.9317063307653395
Position 598: 0.8607709716819569
Position 1818: 0.638313711313246
Position 641: 0.06853777804766022
Position 971: 0.041050699863681546
Position 1046: 0.03889976457648401
Position 1804: 0.03233988148280804
Position 622: 0.029614366241017636
Position 148: 0.019544351475482124
Position 1013: 0.01199002899913519
Position 2037: 0.01091463191094944
Position 1346: 0.00986150043572224
Position 1812: 0.008947592264271553
Position 221: 0.005800119851714852
Position 676: 0.0045652031821567405
Position 447: 0.004399408035367144
Position 2078: 0.003980263393864316
Position 986: 0.002945958864596302
Position 1043: 0.002491315495303155
Position 1493: 0.00202277889737853
Position 1629: 0.0017414830745036453
Position 981: 0.0010054974910263987
Position 942: 0.0007687878541634587
Position 959: 0.0006449380806118662
Position 1863: 0.0006240621434461018
Position 602: 0.0005509134894915936
Position 1876: 0.0005045731116319532
Position 1344: 0.0004861480951693072
Position 1038: 0.00043944986093984276
Position 284: 0.00032412132660324935
Position 550: 0.00030871935949884123
Position 475: 0.00029521873886208114
Position 1792: 0.00029133943425956244
Position 498: 0.00025424320381317724
Position 1529: 0.0002369894332945378
Position 1317: 0.00023606570058938095
Position 281: 0.00017008920353629218
Position 1423: 0.00016886651124774368
Position 1822: 0.00015953096603763965
Position 243: 0.00015582065493486972
Position 553: 0.00014524652693419018
Position 433: 0.00014067625347108693
Position 1328: 0.00012213920245781747
Position 418: 0.00011703202790034398
Position 2134: 0.00010324361307032568
Position 1283: 0.00010174202934434403
Position 1093: 0.00010013579959922364
Position 477: 9.734094051728794e-05
Position 107: 8.840857586886046e-05
Position 428: 8.741599911090954e-05
Position 1921: 7.08206142945345e-05
Position 1139: 7.075208755874465e-05
Position 35: 6.695299618002251e-05
Position 1277: 5.9374166280718366e-05
Position 1732: 5.776933806389535e-05
Position 1496: 5.2769707565138915e-05
Position 1516: 5.011950108514796e-05
