Gene = Papss
index = 1359
Annotated 5SS: [ 2311  3106 13200 15048]
Annotated 3SS: [ 2876 13084 13521 15111]
SMsplice 5SS: [  338 13200 15048]
SMsplice 3SS: [13084 13521 15111]
top_k =  1000
Partition function (log Z): 3.0144941450409926

Sorted 5' Splice Sites (High to Low Probability):
Position 15048: 0.9908784791343633
Position 13200: 0.9764125972732333
Position 338: 0.9721783814884647
Position 2311: 0.6713683200765851
Position 3106: 0.5724306545691608
Position 10030: 0.5580531684557911
Position 2984: 0.14088824027075422
Position 994: 0.13983619981755863
Position 2502: 0.13172212445888098
Position 8426: 0.11913865673097458
Position 7661: 0.10262958823444975
Position 9164: 0.07242065385474672
Position 3655: 0.0696170234440614
Position 1654: 0.06769577634335602
Position 2353: 0.06678670016560832
Position 136: 0.05956201341231803
Position 2735: 0.052268371047277516
Position 14407: 0.04954103756776468
Position 14464: 0.04313153142663527
Position 2064: 0.033626373898810055
Position 14855: 0.024499634410296615
Position 14874: 0.021623879882066495
Position 2658: 0.01858917632761716
Position 151: 0.018135636774140863
Position 1348: 0.01640798777933845
Position 2979: 0.01638716610298702
Position 13971: 0.0162376942201451
Position 10380: 0.01224832295535977
Position 2757: 0.01168932533423115
Position 3519: 0.011605727447896381
Position 12: 0.011356181369411154
Position 7430: 0.010736262835618623
Position 3305: 0.010104565484979084
Position 14573: 0.010082908585884894
Position 1237: 0.009692001670762233
Position 14150: 0.009143343391404353
Position 3532: 0.008906444974510952
Position 602: 0.008478282246475606
Position 13762: 0.007835004341838928
Position 1904: 0.006356512760804391
Position 1593: 0.00511706230537247
Position 259: 0.004753479870907861
Position 20: 0.0046503098555086275
Position 14552: 0.004509413849049273
Position 2478: 0.004047767955731968
Position 2344: 0.0035866386227523216
Position 13275: 0.0030372755983755573
Position 1723: 0.00285465008777867
Position 15054: 0.0027437037352993393
Position 13228: 0.002288527504822068
Position 14496: 0.0022111646387833737
Position 569: 0.00220930357004663
Position 2488: 0.0021255871647316432
Position 15315: 0.001963163098510418
Position 4153: 0.0015823059062158944
Position 6290: 0.0013805792789180838
Position 11760: 0.001358695643140009
Position 1431: 0.0013262561389994715
Position 1197: 0.0013140348920048302
Position 3265: 0.0012199867824348376
Position 1567: 0.0011472378371271087
Position 8731: 0.0011328617888291589
Position 13795: 0.0010782215516320515
Position 15498: 0.0008899904829315596
Position 455: 0.0007912316355371685
Position 353: 0.000696073043301896
Position 10482: 0.0006805664430084428
Position 13187: 0.000671358438349396
Position 15360: 0.0006595229315747442
Position 13601: 0.00062206085135284
