Gene = l(2)37Cd
index = 1745
Annotated 5SS: [133 397 584]
Annotated 3SS: [194 453 710]
SMsplice 5SS: [133 397 584]
SMsplice 3SS: [194 453 710]
top_k =  1000
Partition function (log Z): 2.9618777360547863

Sorted 5' Splice Sites (High to Low Probability):
Position 397: 0.9987464653379869
Position 133: 0.9746710851516316
Position 584: 0.9629898241420003
Position 933: 0.09189830235093957
Position 1022: 0.02912287686977091
Position 636: 0.01507435987942206
Position 1948: 0.01476292916756311
Position 1465: 0.014342142676673076
Position 1098: 0.0064741786573372095
Position 928: 0.003988684722864974
Position 588: 0.002552157909703254
Position 79: 0.002063689140849869
Position 877: 0.0019498794491174575
Position 656: 0.0018152027318669723
Position 530: 0.0010202536670107258
Position 1738: 0.0009189747682081474
Position 817: 0.0006581403569251609
Position 150: 0.0006250567406653176
Position 126: 0.0005807382576164208
Position 1361: 0.0005580659755156152
Position 1943: 0.0005059905694496879
Position 1212: 0.0003441530455642157
Position 1200: 0.000319436117016166
Position 859: 0.000221053481171448
Position 401: 0.00020704428698634176
Position 961: 0.00016559474386015652
Position 1216: 0.00014775466578864456
Position 1657: 0.00011115988073950521
Position 1469: 0.00010928439492131881
Position 1909: 9.971379742688261e-05
Position 862: 8.886509902241884e-05
Position 124: 8.423283458756653e-05
Position 837: 6.200167965266376e-05
Position 408: 5.916231392792833e-05
Position 1357: 5.799495091052975e-05
Position 826: 4.2360241409610083e-05
Position 1869: 3.813085600343326e-05
Position 1044: 3.6920108905140953e-05
Position 867: 3.4941499812408885e-05
Position 1900: 3.4533771175883896e-05
Position 1102: 2.430380063587796e-05
Position 1383: 1.9690059586184395e-05
Position 1745: 1.3803749925342834e-05
Position 1778: 1.1396342003812332e-05
Position 780: 9.459731340667283e-06
Position 681: 7.997356292731397e-06
Position 1279: 6.964764365695346e-06
Position 76: 5.275048224504469e-06
Position 545: 4.960126603894409e-06
Position 354: 4.052662141853464e-06
Position 360: 3.820893315874552e-06
Position 63: 3.4188196658005663e-06
Position 831: 3.2518450911704537e-06
Position 499: 2.947103297291239e-06
Position 309: 2.8740515819959135e-06
Position 1938: 2.643605480264252e-06
Position 612: 2.3164167953350824e-06
Position 362: 2.177454178556495e-06
Position 605: 2.053285722734736e-06
Position 1878: 2.0421322621559572e-06
Position 54: 6.175714629632006e-07
Position 29: 4.339205305376223e-07
Position 747: 4.174849513208826e-07
Position 685: 2.1249046637168122e-07
Position 3: 1.7979653848701742e-07
Position 195: 1.2957190923582308e-07
Position 224: 1.2535589729903249e-07
