Gene = Obp22a
index = 1342
Annotated 5SS: [68]
Annotated 3SS: [120]
SMsplice 5SS: [68]
SMsplice 3SS: [120]
top_k =  1000
Partition function (log Z): -4.912761529567919

Sorted 5' Splice Sites (High to Low Probability):
Position 68: 0.9981787732990682
Position 391: 0.07862966223315827
Position 280: 0.01041332703671333
Position 295: 0.0024465127923088727
Position 292: 0.0014224084486796316
Position 139: 0.0010493593336913297
Position 339: 0.0007516341435888727
Position 416: 0.0003436311524816089
Position 234: 0.00018828583893679347
Position 373: 0.00010365721218723575
Position 229: 8.199082663332511e-05
Position 495: 6.70864609388139e-05
Position 341: 5.181846672309757e-05
Position 29: 4.947289486168822e-05
Position 206: 4.394034657529023e-05
Position 72: 4.2259293462587066e-05
Position 616: 3.881265352742812e-05
Position 50: 1.8912049018570688e-05
Position 530: 4.663013232216984e-06
Position 107: 3.58009115950912e-06
Position 166: 2.3385871113957858e-06
Position 147: 1.936649607951411e-06
Position 130: 1.7315886812694047e-06
Position 644: 1.4683258165016555e-06
Position 16: 1.2986477707273703e-06
Position 536: 1.1370939394272945e-06
Position 553: 1.1198897754863063e-06
Position 14: 3.0614085424545166e-07
Position 96: 2.729621439284329e-07
Position 149: 1.0499379623495824e-07
Position 696: 1.0033856441375893e-07
Position 708: 3.045575291431237e-08
Position 489: 2.343469352492354e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 120: 0.9898643850209421
Position 528: 0.068077840286539
Position 461: 0.016708201890089636
Position 474: 0.014280473861684575
Position 173: 0.0010995729454284604
Position 276: 0.0007737206382913427
Position 213: 0.0006955324461909101
Position 147: 0.0003755655302710677
Position 696: 0.0003081550079380167
Position 536: 0.00021154032194001612
Position 591: 0.00018552602070618317
Position 616: 0.0001777046295034575
Position 159: 0.00016916856890125169
Position 481: 0.00012313986308526211
Position 216: 0.0001224118574450487
Position 621: 0.00011697940229264472
Position 327: 0.00011512500863969198
Position 130: 8.834636313869167e-05
Position 541: 7.168157597339407e-05
Position 426: 6.390416017388216e-05
Position 634: 5.2578893471663114e-05
Position 378: 4.751534856023599e-05
Position 346: 4.391500250383685e-05
Position 300: 4.2091440818006386e-05
Position 143: 2.4164969547742575e-05
Position 177: 2.035371075117539e-05
Position 280: 1.7071904656542494e-05
Position 403: 1.1426572969874675e-05
Position 156: 9.90557092333742e-06
Position 644: 9.795198903029115e-06
Position 764: 9.221512970821936e-06
Position 127: 6.385905244173315e-06
Position 339: 6.346556719310807e-06
Position 258: 4.6305956389553945e-06
Position 718: 2.091083204697217e-06
Position 712: 1.8653733310081238e-06
Position 180: 1.4710150984558512e-06
Position 285: 1.4038268177653137e-06
Position 200: 2.3571909721548563e-07
Position 407: 1.4035050689030957e-07
Position 89: 3.3670021714894636e-08
Position 751: 1.0046015654340133e-08
Position 292: 3.313075783042325e-09
Position 96: 1.7151493701138204e-10
Position 64: 5.686033561284807e-11
Position 384: 4.475677090840299e-11
Position 84: 6.880467383848989e-12
Position 391: 4.105765623946113e-13
Position 72: 3.071413705872135e-13
Position 68: 8.772143448598533e-15
