Gene = stai
index = 1895
Annotated 5SS: [20834 21567 21814 22034 22477]
Annotated 3SS: [21396 21627 21886 22320 22600]
SMsplice 5SS: [  173  1422 21567 21814 22034 22477]
SMsplice 3SS: [ 1316 21396 21627 21886 22320 22600]
top_k =  1000
Partition function (log Z): 6.827090074842555

Sorted 5' Splice Sites (High to Low Probability):
Position 21814: 0.9996464635996489
Position 21567: 0.9955312292689003
Position 22034: 0.9706527726469119
Position 173: 0.8153227546731171
Position 1422: 0.7695388105179503
Position 22477: 0.7129320041932078
Position 9848: 0.16443896276469727
Position 10311: 0.08084080263885378
Position 22540: 0.053055354345511514
Position 22247: 0.05085993363262363
Position 12737: 0.044126809227373574
Position 401: 0.03137689403093485
Position 98: 0.02473253583786796
Position 3437: 0.020280688527578857
Position 340: 0.019203268181030814
Position 516: 0.018500266443391176
Position 22233: 0.016551169246260888
Position 22087: 0.015219997605630142
Position 22521: 0.01082304565597386
Position 567: 0.010552955724436871
Position 22465: 0.009942441084467887
Position 22737: 0.00988087906357881
Position 35: 0.005565592787854504
Position 707: 0.005424681002452699
Position 22527: 0.005001569213401744
Position 65: 0.004666263188402103
Position 23341: 0.004288212537223955
Position 9986: 0.004082187465170674
Position 21571: 0.0035197155028489037
Position 372: 0.0032117052282281157
Position 344: 0.003182969541324977
Position 569: 0.0028850849280656547
Position 747: 0.002730528268772726
Position 22413: 0.0025752251857358633
Position 571: 0.002501882499595894
Position 500: 0.0021483496720320684
Position 1261: 0.0020948073535197436
Position 318: 0.002042472482861284
Position 23626: 0.0020186550693279417
Position 756: 0.002007859543784047
Position 336: 0.0020068113477325804
Position 22543: 0.0018826567228996695
Position 415: 0.0018155739702202644
Position 22481: 0.0018125802999578978
Position 23860: 0.0013206633481561139
Position 7891: 0.001299566665806576
Position 24123: 0.0011981601747297322
Position 10067: 0.0011251231133627938
Position 1180: 0.0010859254750478708
Position 109: 0.0009447264572311164
Position 22974: 0.0009398995186415288
Position 22264: 0.0009257558888860799
Position 76: 0.0008745331363310035
Position 22483: 0.0008525302029121436
Position 23294: 0.0008236755255491922
Position 22656: 0.0007484708722237
Position 205: 0.0007341711292594067
Position 1124: 0.0007064826709014851
Position 326: 0.0004768906374886091
Position 825: 0.00047375111431853685
Position 2804: 0.0004729351859977274
Position 9886: 0.0004523571488221166
Position 22091: 0.0004320444670681342
Position 22222: 0.00035137232246251033
Position 102: 0.0003140613341678082
Position 575: 0.00030220700951668044
Position 1103: 0.0002661781968089358
Position 91: 0.0002553065962236148
Position 379: 0.00022961635577907437
Position 300: 0.00021366458379840786
Position 782: 0.00019313708811824075
Position 22012: 0.0001863132291975707
Position 369: 0.00017587736009440816
Position 22841: 0.00014824752224749016
Position 405: 0.00013280126136339823
Position 22057: 0.00012369740992964451
Position 23240: 0.0001226496737764373
Position 100: 0.00012018249138681037
Position 23608: 0.00010157064782736274
Position 531: 9.956234511231208e-05
Position 54: 9.923069328986657e-05
Position 22688: 9.778128866890135e-05
Position 23514: 9.443749409601348e-05
Position 22237: 8.917455520445293e-05
Position 2578: 8.634287460166688e-05
Position 23630: 8.629643399379025e-05
Position 133: 7.876824682243948e-05
Position 449: 7.572648221991335e-05
Position 22245: 6.491979010800236e-05
Position 21843: 6.125567773834942e-05
Position 22038: 5.89626487893208e-05
Position 23115: 5.669253199802228e-05
Position 688: 5.612391252439298e-05
Position 21676: 5.606052112941315e-05
Position 1745: 5.287760337210397e-05
Position 22995: 5.272039508038616e-05
Position 23048: 5.069199611703513e-05
Position 1647: 4.988021905402632e-05
Position 1959: 4.843420451042359e-05
Position 444: 4.2770383874292385e-05
Position 4166: 4.2186104942836924e-05
Position 22289: 3.953460156845116e-05
Position 22073: 3.499823824115729e-05
Position 5012: 2.9224780150100453e-05
Position 578: 2.8915699660182957e-05
Position 5847: 2.8762990784345108e-05
Position 561: 2.818287694238792e-05
Position 22715: 2.8057703913485405e-05
Position 366: 2.7119464384805016e-05
Position 1194: 2.661430557723102e-05
Position 22274: 2.6248499247804132e-05
Position 23874: 2.364255182310151e-05
Position 23328: 2.0977050158249755e-05
Position 573: 2.06373065790838e-05
Position 24114: 2.0467082733686027e-05
Position 22486: 2.044738491983546e-05
Position 2287: 1.902299665031859e-05
Position 93: 1.899459351845764e-05
Position 21967: 1.6316849389360765e-05
Position 1042: 1.5837448251124608e-05
Position 948: 1.5289833462649644e-05
Position 23395: 1.5113048160004124e-05
Position 7767: 1.485292888234853e-05
Position 22370: 1.4466095698975417e-05
Position 279: 1.3119478821892854e-05
Position 1467: 1.2681593728094336e-05
Position 2016: 1.2098044590954943e-05
Position 1898: 1.1216375183465302e-05
Position 1844: 1.0421407457068423e-05
Position 771: 9.994918867734614e-06
Position 338: 9.795193585422986e-06
Position 23092: 9.401732046342197e-06
Position 1889: 9.33737073978486e-06
Position 364: 9.212463266758226e-06
Position 23733: 8.953972194725405e-06
Position 1910: 7.953030979157685e-06
Position 139: 7.908917253874504e-06
Position 23699: 7.340249317182535e-06
Position 2712: 7.182404717519772e-06
Position 437: 7.0711150631733386e-06
Position 22125: 6.928455986139257e-06
Position 791: 5.281476348572448e-06
Position 21791: 4.783717782775289e-06
Position 1661: 4.364711603673293e-06
Position 968: 2.0702182224931044e-06
Position 24174: 1.9093920463199176e-06
Position 21915: 1.68257156834617e-06
Position 3807: 1.466396215423394e-06
Position 21982: 1.3971467421676268e-06
Position 1530: 1.35580188272472e-06
Position 1487: 1.301413366038983e-06
Position 1631: 4.1652771239803777e-07
Position 1397: 3.478350130137518e-07
Position 3372: 1.5352368364876088e-07
Position 23711: 1.4667204882083818e-07
Position 4765: 1.4627657710327082e-07
Position 23669: 1.2191754179049109e-07
Position 5400: 1.1018020569072996e-07
Position 5103: 1.0687400170875112e-07
Position 1279: 7.8601853477271e-08
