Gene = Tsf2
index = 1570
Annotated 5SS: [ 173  674  887 1113 1624 1852]
Annotated 3SS: [ 245  752  951 1171 1686 1917]
SMsplice 5SS: [ 173  674  887 1113 1624 1852]
SMsplice 3SS: [ 245  752  951 1171 1686 1917]
top_k =  1000
Partition function (log Z): 16.248194830975727

Sorted 5' Splice Sites (High to Low Probability):
Position 1624: 0.9994671436353443
Position 674: 0.998498190799126
Position 1852: 0.998023449162575
Position 173: 0.9785410967102184
Position 1113: 0.8580438615948409
Position 887: 0.8532485915580075
Position 2174: 0.13576518914870653
Position 490: 0.057455549952023795
Position 2727: 0.010136647307572605
Position 48: 0.008824137520964588
Position 2535: 0.007047444333103249
Position 798: 0.006039015817083867
Position 371: 0.004895025878313777
Position 2310: 0.004394031741579478
Position 1247: 0.0034209212941784294
Position 2632: 0.0027541013901730077
Position 2950: 0.002549729605417932
Position 2850: 0.0020129532492187442
Position 30: 0.001816895174715169
Position 839: 0.00177336700299121
Position 405: 0.001644229408672417
Position 1082: 0.0015591063833604736
Position 3229: 0.0013600539084036188
Position 1367: 0.0009299416889612913
Position 2089: 0.000659462292515652
Position 35: 0.0006304663485305026
Position 2112: 0.0006161605305390317
Position 1864: 0.0006050313491042236
Position 635: 0.00045563171594685417
Position 335: 0.0004135594867107481
Position 2119: 0.0003771936373945121
Position 830: 0.0003207802370659492
Position 2827: 0.0003024335721714464
Position 651: 0.0002888950334532719
Position 2278: 0.00028168751727744156
Position 415: 0.00027773663972964507
Position 313: 0.0002541842980082523
Position 32: 0.00022122151415198327
Position 1778: 0.00021136524334227085
Position 2954: 0.0001999136209869854
Position 1443: 0.00019980669867712252
Position 2585: 0.00019487588851012304
Position 177: 0.00019338812631123866
Position 42: 0.00019202460184778168
Position 77: 0.0001812060972667054
Position 2500: 0.000176866496903499
Position 2367: 0.00017167378655406923
Position 54: 0.0001439920426688494
Position 832: 0.0001425872871710658
Position 620: 0.00014244851753349123
Position 1461: 0.00013589906274695749
Position 2743: 0.0001320578610632792
Position 1350: 0.00013012587830414345
Position 678: 0.00012773200296151523
Position 2732: 9.561095644920296e-05
Position 2321: 7.543354684866976e-05
Position 284: 5.4682833731979366e-05
Position 1317: 5.3869515870129887e-05
Position 2307: 5.320015319148631e-05
Position 2295: 4.5341023574908496e-05
Position 2348: 4.392929890228203e-05
Position 1117: 4.226001149954325e-05
Position 2756: 3.8824701439403055e-05
Position 1628: 2.983291145682784e-05
Position 2091: 2.8335807505141952e-05
Position 1261: 2.4803928425013192e-05
Position 373: 2.4548786124426432e-05
Position 37: 2.0725616881403468e-05
Position 2337: 1.6457685021061287e-05
Position 1038: 1.6381764400693314e-05
Position 289: 1.3062972392162499e-05
Position 3216: 1.1951206166592622e-05
Position 473: 1.1920139746067138e-05
Position 837: 1.1653586611066112e-05
Position 696: 9.898692113141085e-06
Position 957: 9.760715991459631e-06
Position 197: 8.200184555780387e-06
Position 659: 6.348562228614736e-06
Position 1644: 4.529427626288164e-06
Position 286: 3.5797271635052363e-06
Position 1245: 2.5449907139876487e-06
Position 1326: 2.2996601562487122e-06
Position 777: 1.6223927120940863e-06
Position 1740: 1.3913280532557073e-06
Position 1856: 1.3317348201627957e-06
Position 622: 9.788937601535655e-07
Position 780: 9.681692735687038e-07
Position 1708: 9.443146622602494e-07
Position 1214: 8.192134058427727e-07
Position 703: 7.593624297261266e-07
Position 2122: 7.352750444804215e-07
Position 1220: 6.945121594652269e-07
Position 1572: 6.887002532107769e-07
Position 1208: 6.345038623344733e-07
Position 1488: 6.291846108988936e-07
Position 560: 3.4710455867433087e-07
Position 2071: 2.572262218643699e-07
Position 2082: 2.4865194359887575e-07
Position 1617: 2.1474327130535856e-07
Position 2441: 1.5153599216864949e-07
Position 554: 1.512094496283966e-07
Position 225: 1.4780303097305056e-07
