Gene = rhea
index = 1856
Annotated 5SS: [15322 16617 17085 17336 17474 18036 18188 18634 19095 23744 24001 26084
 26661 27677 28472]
Annotated 3SS: [16357 16685 17143 17394 17531 18098 18544 18977 19155 23809 25966 26144
 27016 27896 28529]
SMsplice 5SS: [   32 10971 16617 17085 17336 17474 18036 18188 18634 19095 19528 23744
 24001 26084 26661 27677 28472]
SMsplice 3SS: [10729 16357 16685 17143 17394 17531 18098 18544 18977 19155 23338 23809
 25966 26144 27016 27896 28529]
top_k =  1000
Partition function (log Z): 50.324992074676395

Sorted 5' Splice Sites (High to Low Probability):
Position 19095: 0.999761083841661
Position 26084: 0.9997402523382041
Position 26661: 0.9992099557436701
Position 17336: 0.9986786715158605
Position 24001: 0.9986168458418709
Position 18036: 0.9972585777134668
Position 18188: 0.9961623484386088
Position 23744: 0.9954197901820973
Position 16617: 0.9902277630650258
Position 17085: 0.9884554817017975
Position 18634: 0.9733554566924894
Position 28472: 0.9717690264222628
Position 10971: 0.9664739731600385
Position 17474: 0.9541806387000816
Position 27677: 0.3616811908513258
Position 32: 0.2991727654199268
Position 18907: 0.28088914296970824
Position 19528: 0.24767033140546615
Position 11916: 0.24732156962727894
Position 19360: 0.2270630051069476
Position 89: 0.22345867106640496
Position 28649: 0.20719529383319596
Position 438: 0.18376794660113852
Position 28078: 0.1766461326588731
Position 27180: 0.16265135612142395
Position 462: 0.1281294262140887
Position 19234: 0.11321247502616706
Position 27652: 0.08154455532598921
Position 13646: 0.07505648692531885
Position 10590: 0.06849825120294585
Position 19372: 0.06348077764677684
Position 28821: 0.06173570827010335
Position 249: 0.06069537968125633
Position 25521: 0.0561214266287148
Position 835: 0.04764168409509233
Position 19532: 0.04656119598096774
Position 28204: 0.04052272860802261
Position 19724: 0.039536791323116584
Position 25252: 0.0369422361476696
Position 27350: 0.034387865051915996
Position 24254: 0.033240872463666346
Position 27098: 0.030364005716211465
Position 27504: 0.027675330172322186
Position 1875: 0.02699248963553711
Position 16827: 0.026722486438778448
Position 27840: 0.025727837647515083
Position 27642: 0.025273406430243655
Position 23059: 0.024906343907844533
Position 27587: 0.02377697660839173
Position 19576: 0.022493154128313653
Position 25: 0.0221477471446988
Position 20215: 0.0203461696571091
Position 753: 0.01940577256683664
Position 12410: 0.017650752211006614
Position 1010: 0.015257485639196298
Position 24231: 0.013426277466935518
Position 12143: 0.013006214547542607
Position 27263: 0.012709191036904011
Position 20071: 0.012066990834850116
Position 12534: 0.011067431148186065
Position 19957: 0.010947341863568164
Position 20044: 0.010814033473942402
Position 10981: 0.01052012476548414
Position 19202: 0.010143588700171338
Position 26944: 0.008977969248233734
Position 12087: 0.008728931773637497
Position 11793: 0.008412790394313781
Position 9576: 0.008354762970812788
Position 446: 0.008349800652275415
Position 12551: 0.008102781213070731
Position 656: 0.007581587283014537
Position 25860: 0.0075643584977169755
Position 12543: 0.007526252312324408
Position 591: 0.007525660765620674
Position 7332: 0.0074677928415085425
Position 27824: 0.007164113790871666
Position 24319: 0.007149830612983894
Position 27543: 0.007040102420424604
Position 12547: 0.006013618035620042
Position 16621: 0.005834061206430392
Position 27817: 0.005823884212946106
Position 7324: 0.005773199826181558
Position 442: 0.005530147498959056
Position 27146: 0.005360812297380996
